customer_id,customer_name,industry,region,contract_value,signed_date,renewal_date,last_contact_date,churn_risk,account_manager_id,status,nps_score
C1024,客户-0024,制造,西南,68.19,2020-03-02,2021-03-02,2021-03-28,med,AM104,active,0
C1025,客户-0025,能源,华东,25.84,2023-07-26,2024-07-25,2027-03-16,low,AM79,active,100
C1026,客户-0026,金融,华南,318.31,2021-02-01,2022-02-01,2022-12-30,high,AM127,active,50
C1027,客户-0027,教育,华东,272.44,2021-03-01,2022-03-01,2024-03-13,low,AM92,active,100
C1028,客户-0028,能源,华东,32.12,2020-11-04,2021-11-04,2024-10-03,low,AM99,active,-50
C1029,客户-0029,物流,华中,1279.82,2024-06-27,2025-06-27,2025-12-01,med,AM98,renewing,100
C1030,客户-0030,物流,华北,1095.47,2020-10-14,2021-10-14,2023-07-31,med,AM73,active,50
C1031,客户-0031,教育,华东,151.0,2021-06-01,2022-06-01,2024-12-12,low,AM102,active,50
C1032,客户-0032,教育,华东,457.24,2020-12-23,2021-12-23,2023-02-04,med,AM134,active,100
C1033,客户-0033,电信,华北,33.97,2025-05-11,2026-05-11,2027-04-18,med,AM111,active,0
C1034,客户-0034,政企,华中,413.94,2022-09-09,2023-09-09,2023-04-13,med,AM124,active,0
C1035,客户-0035,交通,华东,19.98,2025-03-25,2026-03-25,2026-04-06,med,AM68,active,50
C1036,客户-0036,教育,华南,164.49,2023-04-24,2024-04-23,2023-11-03,med,AM141,active,-50
C1037,客户-0037,零售,华南,99.4,2021-03-22,2022-03-22,2023-10-29,low,AM131,renewing,-50
C1038,客户-0038,物流,东北,29.22,2020-02-02,2021-02-01,2023-02-25,low,AM123,active,50
C1039,客户-0039,医疗,西南,810.63,2022-05-19,2023-05-19,2025-09-15,high,AM113,active,0
C1040,客户-0040,政企,东北,247.82,2021-02-08,2022-02-08,2024-05-04,low,AM93,active,50
C1041,客户-0041,电信,华东,610.28,2023-06-04,2024-06-03,2027-03-31,low,AM54,active,100
C1042,客户-0042,零售,华中,225.26,2025-01-11,2026-01-11,2028-10-18,low,AM106,active,50
C1043,客户-0043,教育,华南,499.97,2021-07-11,2022-07-11,2025-06-14,low,AM98,active,0
C1044,客户-0044,电信,华北,664.78,2022-11-29,2023-11-29,2023-01-28,low,AM103,active,50
C1045,客户-0045,物流,西南,249.65,2024-10-05,2025-10-05,2025-05-19,low,AM53,active,-50
C1046,客户-0046,教育,华中,871.01,2022-07-22,2023-07-22,2024-11-09,low,AM106,active,100
C1047,客户-0047,零售,华中,592.57,2024-01-23,2025-01-22,2028-01-19,low,AM102,active,0
C1048,客户-0048,能源,西南,451.71,2020-03-13,2021-03-13,2020-08-09,low,AM140,active,0
C1049,客户-0049,政企,东北,177.77,2023-07-27,2024-07-26,2024-01-07,low,AM90,renewing,50
C1050,客户-0050,能源,华东,1550.64,2021-06-11,2022-06-11,2024-06-08,low,AM74,active,0
C1051,客户-0051,政企,华北,198.63,2021-10-29,2022-10-29,2023-10-07,med,AM76,active,0
C1052,客户-0052,制造,华中,439.41,2021-03-13,2022-03-13,2022-01-05,low,AM90,active,0
C1053,客户-0053,政企,东北,17.48,2025-03-03,2026-03-03,2028-09-12,high,AM122,active,0
C1054,客户-0054,医疗,华北,46.92,2025-05-03,2026-05-03,2029-05-04,low,AM65,active,0
C1055,客户-0055,金融,华中,976.22,2024-12-22,2025-12-22,2026-05-28,low,AM149,churned,50
C1056,客户-0056,零售,东北,80.99,2022-07-08,2023-07-08,2025-02-05,low,AM149,active,50
C1057,客户-0057,政企,华南,153.33,2020-03-11,2021-03-11,2023-11-26,low,AM123,active,100
C1058,客户-0058,制造,华北,248.96,2022-12-03,2023-12-03,2026-07-12,med,AM72,renewing,0
C1059,客户-0059,零售,华东,241.22,2022-10-22,2023-10-22,2025-11-22,low,AM78,active,0
C1060,客户-0060,物流,华东,426.1,2020-06-09,2021-06-09,2023-05-28,low,AM126,active,-50
C1061,客户-0061,交通,东北,628.08,2023-09-30,2024-09-29,2026-02-11,high,AM119,active,50
C1062,客户-0062,物流,西南,648.55,2022-05-09,2023-05-09,2023-04-17,med,AM80,active,-50
C1063,客户-0063,电信,华东,305.08,2022-03-15,2023-03-15,2024-10-30,med,AM66,active,-50
C1064,客户-0064,医疗,东北,185.39,2022-06-05,2023-06-05,2022-09-08,low,AM108,active,-50
C1065,客户-0065,政企,西南,469.94,2020-09-27,2021-09-27,2024-03-19,low,AM65,active,50
C1066,客户-0066,医疗,华南,15.35,2023-11-12,2024-11-11,2025-06-01,med,AM84,active,50
C1067,客户-0067,医疗,东北,236.15,2023-12-04,2024-12-03,2024-12-13,high,AM126,renewing,0
C1068,客户-0068,电信,西南,630.61,2020-07-17,2021-07-17,2024-08-04,low,AM76,active,100
C1069,客户-0069,金融,华东,192.54,2023-06-02,2024-06-01,2026-12-22,med,AM78,active,100
C1070,客户-0070,能源,华南,28.42,2025-01-19,2026-01-19,2028-12-19,low,AM144,renewing,50
C1071,客户-0071,物流,西南,67.3,2024-08-05,2025-08-05,2024-09-16,high,AM129,active,100
C1072,客户-0072,零售,华东,393.48,2020-03-21,2021-03-21,2022-09-06,low,AM75,renewing,50
C1073,客户-0073,电信,华南,18.91,2020-02-22,2021-02-21,2022-05-16,high,AM89,active,0
C1074,客户-0074,制造,东北,689.59,2025-02-16,2026-02-16,2026-10-19,low,AM95,active,100
C1075,客户-0075,能源,华南,537.8,2020-11-03,2021-11-03,2024-06-22,low,AM73,active,-50
C1076,客户-0076,电信,华东,1404.79,2020-09-28,2021-09-28,2020-12-03,low,AM107,active,50
C1077,客户-0077,零售,华中,72.66,2023-12-04,2024-12-03,2027-12-14,med,AM113,active,0
C1078,客户-0078,物流,西南,854.29,2025-05-24,2026-05-24,2028-04-01,low,AM65,renewing,0
C1079,客户-0079,物流,华中,80.53,2024-05-31,2025-05-31,2026-02-25,low,AM129,active,50
C1080,客户-0080,政企,华北,612.0,2024-09-07,2025-09-07,2025-08-31,low,AM138,renewing,50
C1081,客户-0081,零售,华东,1217.3,2024-02-12,2025-02-11,2026-04-11,low,AM121,active,-100
C1082,客户-0082,能源,西南,273.85,2021-12-19,2022-12-19,2025-05-15,med,AM125,renewing,50
C1083,客户-0083,教育,东北,287.57,2022-11-18,2023-11-18,2024-12-13,low,AM95,active,0
C1084,客户-0084,制造,华南,309.77,2022-04-14,2023-04-14,2025-05-16,med,AM111,active,-100
C1085,客户-0085,物流,西南,608.21,2022-04-11,2023-04-11,2025-06-26,low,AM99,active,-100
C1086,客户-0086,政企,华东,155.86,2022-06-29,2023-06-29,2022-11-05,low,AM84,active,0
C1087,客户-0087,金融,华北,60.93,2022-05-20,2023-05-20,2025-08-20,med,AM118,active,50
C1088,客户-0088,政企,华东,492.34,2024-04-17,2025-04-17,2027-12-09,med,AM117,churned,100
C1089,客户-0089,交通,西南,425.9,2023-10-05,2024-10-04,2025-07-30,high,AM143,renewing,-100
C1090,客户-0090,物流,东北,296.8,2022-12-08,2023-12-08,2026-11-13,med,AM132,renewing,-50
C1091,客户-0091,政企,西南,394.69,2024-11-25,2025-11-25,2025-10-11,low,AM69,active,100
C1092,客户-0092,制造,华中,526.41,2022-03-15,2023-03-15,2026-03-15,med,AM117,active,0
C1093,客户-0093,电信,华北,142.34,2022-09-27,2023-09-27,2023-12-24,med,AM92,active,0
C1094,客户-0094,政企,东北,306.06,2020-11-16,2021-11-16,2022-09-04,high,AM119,active,50
C1095,客户-0095,零售,东北,697.6,2024-11-21,2025-11-21,2027-11-28,med,AM76,active,50
C1096,客户-0096,物流,东北,467.18,2021-07-12,2022-07-12,2023-05-07,low,AM83,renewing,0
C1097,客户-0097,能源,西南,1387.17,2022-06-02,2023-06-02,2022-08-10,high,AM64,active,50
C1098,客户-0098,交通,西南,974.66,2023-08-12,2024-08-11,2027-05-07,low,AM73,renewing,100
C1099,客户-0099,政企,西南,389.88,2023-02-17,2024-02-17,2026-11-29,low,AM123,active,-50
C1100,客户-0100,电信,华北,199.2,2023-12-03,2024-12-02,2027-10-15,low,AM104,renewing,50
C1101,客户-0101,教育,东北,1893.14,2022-11-22,2023-11-22,2023-06-10,low,AM137,active,0
C1102,客户-0102,电信,西南,521.26,2020-09-09,2021-09-09,2023-03-16,low,AM106,renewing,50
C1103,客户-0103,交通,华南,262.41,2024-09-29,2025-09-29,2025-08-16,med,AM114,active,0
C1104,客户-0104,零售,华中,28.58,2022-09-30,2023-09-30,2024-10-21,low,AM50,active,-50
C1105,客户-0105,零售,华中,720.79,2020-08-06,2021-08-06,2024-01-03,low,AM51,renewing,0
C1106,客户-0106,制造,华北,580.68,2022-01-14,2023-01-14,2023-10-04,low,AM89,active,100
C1107,客户-0107,零售,西南,73.17,2020-12-20,2021-12-20,2024-01-07,high,AM67,active,0
C1108,客户-0108,物流,东北,2.7,2022-01-11,2023-01-11,2025-09-28,low,AM76,active,50
C1109,客户-0109,金融,华北,190.56,2024-07-08,2025-07-08,2027-08-22,med,AM73,active,100
C1110,客户-0110,零售,华南,2.66,2020-06-01,2021-06-01,2022-07-02,low,AM112,active,-50
C1111,客户-0111,政企,东北,124.82,2022-01-17,2023-01-17,2024-07-14,low,AM54,active,100
C1112,客户-0112,零售,华东,828.63,2020-01-09,2021-01-08,2023-08-03,low,AM76,active,100
C1113,客户-0113,物流,华北,1138.8,2021-08-14,2022-08-14,2022-08-13,low,AM82,active,50
C1114,客户-0114,交通,华中,88.08,2023-08-03,2024-08-02,2027-01-25,low,AM84,renewing,50
C1115,客户-0115,医疗,东北,306.38,2021-08-18,2022-08-18,2023-03-19,low,AM142,active,50
C1116,客户-0116,零售,华北,1006.3,2022-07-18,2023-07-18,2025-02-17,low,AM118,renewing,50
C1117,客户-0117,制造,华中,1326.28,2024-08-27,2025-08-27,2024-10-08,med,AM77,renewing,-50
C1118,客户-0118,教育,华东,214.06,2022-01-22,2023-01-22,2024-06-08,low,AM106,renewing,0
C1119,客户-0119,医疗,东北,394.92,2024-12-31,2025-12-31,2027-03-25,med,AM73,active,50
C1120,客户-0120,能源,东北,156.12,2022-11-06,2023-11-06,2025-07-04,low,AM80,active,50
C1121,客户-0121,政企,东北,977.42,2024-11-16,2025-11-16,2027-12-25,high,AM105,active,50
C1122,客户-0122,政企,华北,22.27,2021-01-28,2022-01-28,2024-10-02,low,AM55,active,100
C1123,客户-0123,制造,东北,161.45,2025-02-28,2026-02-28,2027-04-27,low,AM95,active,100
C1124,客户-0124,政企,东北,235.22,2022-01-02,2023-01-02,2022-08-06,med,AM110,active,0
C1125,客户-0125,电信,华北,1472.09,2021-03-20,2022-03-20,2021-07-14,low,AM82,active,0
C1126,客户-0126,教育,华东,774.94,2025-05-18,2026-05-18,2027-06-28,med,AM148,renewing,50
C1127,客户-0127,医疗,华北,99.44,2021-09-29,2022-09-29,2023-03-26,high,AM83,renewing,50
C1128,客户-0128,医疗,华南,1125.43,2025-02-12,2026-02-12,2026-05-12,low,AM74,active,0
C1129,客户-0129,教育,华南,1512.89,2022-11-09,2023-11-09,2025-07-17,high,AM99,active,100
C1130,客户-0130,零售,华北,591.29,2020-05-22,2021-05-22,2020-07-11,low,AM119,active,-100
C1131,客户-0131,金融,东北,755.43,2020-02-07,2021-02-06,2022-12-07,low,AM104,renewing,0
C1132,客户-0132,物流,华东,971.23,2022-06-17,2023-06-17,2026-04-28,low,AM126,active,0
C1133,客户-0133,交通,西南,41.42,2023-06-22,2024-06-21,2024-12-30,high,AM133,active,-50
C1134,客户-0134,交通,西南,1203.08,2025-04-25,2026-04-25,2028-10-17,low,AM140,renewing,50
C1135,客户-0135,制造,东北,527.38,2022-04-04,2023-04-04,2023-01-29,med,AM143,active,50
C1136,客户-0136,金融,华东,449.37,2025-01-06,2026-01-06,2026-01-13,low,AM132,active,100
C1137,客户-0137,金融,华南,115.81,2025-05-22,2026-05-22,2027-10-07,low,AM90,churned,0
C1138,客户-0138,金融,东北,286.74,2025-02-19,2026-02-19,2027-02-16,low,AM93,active,0
C1139,客户-0139,政企,华中,213.46,2020-07-20,2021-07-20,2021-10-08,low,AM65,active,50
C1140,客户-0140,交通,东北,730.79,2024-10-10,2025-10-10,2026-07-01,low,AM106,renewing,100
C1141,客户-0141,电信,东北,569.71,2021-04-17,2022-04-17,2021-09-27,low,AM106,active,0
C1142,客户-0142,政企,西南,503.31,2025-04-06,2026-04-06,2027-10-03,low,AM59,active,50
C1143,客户-0143,电信,华中,222.51,2023-11-26,2024-11-25,2024-10-18,med,AM134,active,-50
C1144,客户-0144,教育,华东,144.48,2022-11-27,2023-11-27,2025-12-23,high,AM88,active,100
C1145,客户-0145,物流,华东,6.13,2020-06-12,2021-06-12,2023-03-16,low,AM78,active,-50
C1146,客户-0146,医疗,华中,958.92,2023-06-24,2024-06-23,2026-09-25,low,AM106,active,100
C1147,客户-0147,医疗,华南,586.88,2024-08-08,2025-08-08,2028-01-27,med,AM71,active,50
C1148,客户-0148,能源,华北,542.46,2023-01-03,2024-01-03,2024-08-14,low,AM50,active,50
C1149,客户-0149,政企,华北,342.48,2021-12-16,2022-12-16,2022-03-04,low,AM129,renewing,50
C1150,客户-0150,医疗,华南,174.57,2020-11-01,2021-11-01,2023-09-17,low,AM71,active,0
C1151,客户-0151,医疗,华北,96.04,2021-01-25,2022-01-25,2024-09-13,low,AM97,active,100
C1152,客户-0152,能源,东北,173.78,2022-08-10,2023-08-10,2023-03-07,low,AM145,active,-50
C1153,客户-0153,零售,西南,392.34,2024-02-09,2025-02-08,2025-07-16,low,AM54,active,50
C1154,客户-0154,教育,华北,143.22,2020-12-19,2021-12-19,2023-06-29,med,AM81,active,100
C1155,客户-0155,物流,西南,405.96,2022-03-16,2023-03-16,2024-02-24,med,AM56,active,50
C1156,客户-0156,零售,华南,466.12,2024-05-10,2025-05-10,2028-03-31,low,AM115,renewing,100
C1157,客户-0157,零售,华北,1645.92,2020-02-15,2021-02-14,2023-02-22,low,AM104,active,50
C1158,客户-0158,零售,东北,828.25,2023-09-06,2024-09-05,2027-09-23,low,AM106,active,0
C1159,客户-0159,制造,华南,231.46,2022-03-29,2023-03-29,2025-02-12,low,AM136,active,0
C1160,客户-0160,物流,华东,778.83,2021-05-07,2022-05-07,2025-05-03,low,AM56,active,50
C1161,客户-0161,制造,东北,47.75,2022-06-25,2023-06-25,2024-03-31,low,AM118,renewing,-100
C1162,客户-0162,金融,华东,614.71,2022-04-24,2023-04-24,2025-04-26,med,AM96,active,50
C1163,客户-0163,教育,华北,272.05,2022-04-19,2023-04-19,2024-12-09,med,AM147,renewing,50
C1164,客户-0164,政企,西南,473.46,2021-07-04,2022-07-04,2023-04-05,low,AM87,active,50
C1165,客户-0165,政企,西南,1011.05,2022-04-24,2023-04-24,2025-12-05,med,AM67,renewing,50
C1166,客户-0166,物流,西南,255.8,2020-06-20,2021-06-20,2022-08-14,high,AM106,active,100
C1167,客户-0167,金融,东北,131.91,2020-10-04,2021-10-04,2021-05-16,high,AM135,active,100
C1168,客户-0168,零售,华南,1217.44,2022-01-08,2023-01-08,2023-09-15,med,AM81,active,100
C1169,客户-0169,医疗,华东,108.6,2020-12-06,2021-12-06,2021-08-31,med,AM125,active,50
C1170,客户-0170,交通,华东,501.33,2023-05-27,2024-05-26,2026-03-22,high,AM102,active,50
C1171,客户-0171,零售,东北,249.92,2022-06-20,2023-06-20,2024-08-07,low,AM137,active,-50
C1172,客户-0172,交通,东北,567.9,2021-07-10,2022-07-10,2025-07-15,low,AM106,active,50
C1173,客户-0173,零售,华东,103.78,2025-03-27,2026-03-27,2028-03-16,med,AM74,active,-50
C1174,客户-0174,教育,西南,52.43,2024-09-01,2025-09-01,2028-08-01,low,AM133,active,50
C1175,客户-0175,教育,华中,202.12,2025-06-23,2026-06-23,2027-01-27,med,AM72,active,50
C1176,客户-0176,能源,东北,205.21,2023-07-11,2024-07-10,2023-11-19,med,AM129,active,50
C1177,客户-0177,能源,华北,587.47,2023-08-16,2024-08-15,2025-03-18,low,AM115,active,50
C1178,客户-0178,物流,东北,414.63,2024-11-04,2025-11-04,2026-11-10,low,AM117,active,50
C1179,客户-0179,制造,东北,979.34,2023-08-05,2024-08-04,2025-09-01,med,AM141,active,50
C1180,客户-0180,交通,华东,261.46,2022-10-25,2023-10-25,2024-01-17,low,AM122,churned,-50
C1181,客户-0181,政企,东北,1018.28,2024-02-26,2025-02-25,2028-03-24,low,AM131,active,50
C1182,客户-0182,零售,华南,1440.06,2023-06-09,2024-06-08,2024-04-11,low,AM119,renewing,0
C1183,客户-0183,物流,华南,189.03,2024-01-27,2025-01-26,2028-01-03,low,AM133,active,0
C1184,客户-0184,金融,东北,323.99,2025-01-15,2026-01-15,2026-05-16,low,AM95,active,100
C1185,客户-0185,电信,西南,1005.97,2024-04-10,2025-04-10,2025-05-12,med,AM111,active,-50
C1186,客户-0186,制造,华南,85.08,2021-04-15,2022-04-15,2022-02-10,low,AM150,active,-50
C1187,客户-0187,电信,华南,931.42,2022-11-23,2023-11-23,2023-05-02,low,AM60,active,50
C1188,客户-0188,金融,东北,1356.28,2025-05-07,2026-05-07,2026-01-15,low,AM149,renewing,0
C1189,客户-0189,教育,东北,532.42,2025-06-14,2026-06-14,2027-11-10,med,AM90,active,50
C1190,客户-0190,教育,西南,183.96,2023-03-23,2024-03-22,2026-03-27,med,AM119,active,100
C1191,客户-0191,物流,华东,22.41,2022-09-10,2023-09-10,2024-04-01,low,AM115,active,0
C1192,客户-0192,物流,西南,502.29,2024-11-22,2025-11-22,2028-04-26,low,AM80,active,-50
C1193,客户-0193,医疗,华北,1234.59,2022-02-15,2023-02-15,2024-04-16,low,AM56,active,50
C1194,客户-0194,零售,西南,278.99,2025-04-07,2026-04-07,2028-03-20,low,AM94,active,50
C1195,客户-0195,教育,华北,2088.56,2022-11-10,2023-11-10,2024-04-13,med,AM146,active,0
C1196,客户-0196,教育,华南,324.19,2022-02-12,2023-02-12,2023-05-02,low,AM101,active,0
C1197,客户-0197,交通,东北,1704.74,2025-03-25,2026-03-25,2027-04-23,med,AM51,active,0
C1198,客户-0198,金融,华东,110.17,2024-01-21,2025-01-20,2027-11-11,low,AM56,active,100
C1199,客户-0199,医疗,华东,11.73,2022-03-12,2023-03-12,2023-02-27,med,AM60,active,100
C1200,客户-0200,政企,华北,431.77,2022-02-27,2023-02-27,2025-07-02,low,AM91,active,50
C1201,客户-0201,金融,华南,45.12,2024-04-20,2025-04-20,2027-07-15,low,AM135,active,0
C1202,客户-0202,能源,华北,896.57,2025-05-01,2026-05-01,2025-12-21,med,AM111,active,-50
C1203,客户-0203,教育,华南,1709.08,2021-07-11,2022-07-11,2024-06-11,high,AM134,active,0
C1204,客户-0204,制造,东北,320.2,2020-04-12,2021-04-12,2020-10-22,low,AM97,active,50
C1205,客户-0205,制造,华南,529.89,2021-12-31,2022-12-31,2024-07-22,high,AM91,renewing,100
C1206,客户-0206,医疗,华东,722.93,2025-02-02,2026-02-02,2027-11-28,med,AM148,churned,50
C1207,客户-0207,零售,西南,131.69,2023-04-27,2024-04-26,2024-09-23,low,AM101,active,0
C1208,客户-0208,零售,华南,320.8,2023-03-20,2024-03-19,2024-02-28,low,AM76,active,50
C1209,客户-0209,能源,东北,1130.97,2020-12-23,2021-12-23,2023-07-24,med,AM128,active,0
C1210,客户-0210,制造,东北,967.52,2025-02-15,2026-02-15,2027-07-08,low,AM129,active,100
C1211,客户-0211,电信,华中,504.01,2022-09-23,2023-09-23,2025-02-26,high,AM141,renewing,50
C1212,客户-0212,教育,华东,1117.38,2021-12-22,2022-12-22,2023-05-16,low,AM103,renewing,-50
C1213,客户-0213,金融,华南,232.14,2021-05-16,2022-05-16,2025-06-10,med,AM138,active,50
C1214,客户-0214,制造,华北,921.75,2022-12-05,2023-12-05,2024-08-16,high,AM81,active,0
C1215,客户-0215,金融,西南,187.08,2020-06-28,2021-06-28,2022-03-25,low,AM116,churned,50
C1216,客户-0216,交通,西南,653.31,2020-09-18,2021-09-18,2020-12-02,low,AM130,active,0
C1217,客户-0217,制造,东北,854.27,2022-01-29,2023-01-29,2023-10-22,high,AM100,active,-50
C1218,客户-0218,能源,西南,713.29,2022-12-19,2023-12-19,2024-08-02,low,AM100,active,50
C1219,客户-0219,政企,西南,164.71,2023-06-26,2024-06-25,2024-05-24,med,AM68,churned,50
C1220,客户-0220,政企,华南,1271.68,2020-06-24,2021-06-24,2022-12-27,low,AM121,active,0
C1221,客户-0221,医疗,华北,2604.33,2020-06-25,2021-06-25,2021-12-18,med,AM77,active,-50
C1222,客户-0222,金融,华东,746.7,2022-01-15,2023-01-15,2022-10-09,med,AM142,active,50
C1223,客户-0223,金融,华东,515.91,2025-04-18,2026-04-18,2026-07-24,high,AM103,active,-100
C1224,客户-0224,零售,华东,145.24,2022-07-16,2023-07-16,2022-11-03,med,AM150,active,0
C1225,客户-0225,金融,华中,791.92,2024-10-20,2025-10-20,2028-07-08,low,AM138,renewing,50
C1226,客户-0226,交通,华中,2305.11,2024-08-22,2025-08-22,2028-05-21,low,AM113,active,0
C1227,客户-0227,交通,华东,1974.18,2025-03-23,2026-03-23,2028-12-07,low,AM119,active,50
C1228,客户-0228,能源,西南,157.98,2024-07-26,2025-07-26,2024-10-21,low,AM61,renewing,50
C1229,客户-0229,医疗,华东,169.42,2021-06-22,2022-06-22,2023-01-05,low,AM77,active,0
C1230,客户-0230,医疗,西南,442.83,2020-06-07,2021-06-07,2024-02-16,low,AM97,active,0
C1231,客户-0231,政企,华南,635.2,2025-02-15,2026-02-15,2025-10-18,low,AM67,active,50
C1232,客户-0232,政企,西南,934.63,2022-04-03,2023-04-03,2024-08-27,low,AM121,active,50
C1233,客户-0233,电信,华南,554.76,2023-12-09,2024-12-08,2025-08-25,med,AM118,renewing,50
C1234,客户-0234,教育,华中,263.23,2025-05-01,2026-05-01,2026-01-03,med,AM78,active,0
C1235,客户-0235,物流,华北,427.98,2024-02-06,2025-02-05,2027-01-01,low,AM117,active,-100
C1236,客户-0236,零售,华北,90.41,2023-10-28,2024-10-27,2026-09-24,low,AM76,active,0
C1237,客户-0237,金融,华北,1613.34,2022-09-27,2023-09-27,2023-07-28,low,AM103,churned,50
C1238,客户-0238,政企,西南,128.84,2024-01-21,2025-01-20,2026-06-24,med,AM50,active,50
C1239,客户-0239,物流,华中,75.05,2020-01-26,2021-01-25,2021-02-07,low,AM80,active,50
C1240,客户-0240,能源,华南,332.62,2022-02-27,2023-02-27,2025-07-22,low,AM93,active,50
C1241,客户-0241,教育,华北,90.99,2024-01-27,2025-01-26,2024-09-20,low,AM53,renewing,50
C1242,客户-0242,金融,华中,248.28,2025-03-08,2026-03-08,2027-01-07,low,AM68,active,0
C1243,客户-0243,物流,华东,6.69,2020-10-22,2021-10-22,2021-04-11,med,AM106,active,0
C1244,客户-0244,金融,华中,719.72,2023-07-28,2024-07-27,2023-10-16,med,AM134,active,0
C1245,客户-0245,能源,华北,740.02,2020-09-11,2021-09-11,2023-11-15,low,AM62,active,-50
C1246,客户-0246,金融,东北,495.75,2021-10-05,2022-10-05,2025-01-05,med,AM121,renewing,0
C1247,客户-0247,电信,西南,52.29,2023-12-13,2024-12-12,2026-11-30,low,AM104,renewing,0
C1248,客户-0248,零售,华北,775.6,2023-04-19,2024-04-18,2023-06-10,low,AM111,active,0
C1249,客户-0249,政企,华东,67.37,2024-02-11,2025-02-10,2025-12-31,low,AM142,renewing,50
C1250,客户-0250,交通,华北,589.42,2021-04-14,2022-04-14,2024-11-29,low,AM65,active,50
C1251,客户-0251,电信,东北,1114.97,2021-09-09,2022-09-09,2022-10-26,low,AM129,active,0
C1252,客户-0252,电信,华东,1100.55,2021-01-14,2022-01-14,2023-05-16,med,AM70,active,50
C1253,客户-0253,零售,东北,34.22,2021-12-28,2022-12-28,2023-03-29,low,AM58,active,100
C1254,客户-0254,交通,东北,359.69,2021-07-09,2022-07-09,2024-01-13,med,AM107,active,0
C1255,客户-0255,物流,华北,95.72,2023-10-30,2024-10-29,2024-11-17,low,AM136,active,50
C1256,客户-0256,交通,华北,650.07,2023-06-28,2024-06-27,2027-04-19,med,AM132,active,50
C1257,客户-0257,交通,华北,334.8,2024-11-01,2025-11-01,2028-11-28,low,AM133,active,0
C1258,客户-0258,金融,华东,259.95,2023-01-05,2024-01-05,2025-10-10,low,AM149,active,0
C1259,客户-0259,电信,华中,612.0,2024-10-15,2025-10-15,2028-03-03,low,AM63,churned,-100
C1260,客户-0260,制造,西南,307.23,2024-03-06,2025-03-06,2024-11-13,low,AM97,churned,50
C1261,客户-0261,教育,西南,1177.6,2023-11-16,2024-11-15,2026-06-23,low,AM82,active,50
C1262,客户-0262,政企,华南,374.98,2024-05-11,2025-05-11,2025-02-07,low,AM81,active,0
C1263,客户-0263,教育,东北,53.67,2022-03-27,2023-03-27,2025-12-28,low,AM64,active,50
C1264,客户-0264,制造,华南,10.22,2020-02-28,2021-02-27,2022-08-10,high,AM62,active,50
C1265,客户-0265,教育,华中,466.32,2025-04-10,2026-04-10,2025-06-02,low,AM66,active,100
C1266,客户-0266,能源,西南,1210.84,2022-03-31,2023-03-31,2024-01-10,low,AM146,active,0
C1267,客户-0267,医疗,东北,359.18,2024-09-23,2025-09-23,2024-10-25,low,AM139,active,-50
