province,year,total_population_wan,age_group,age_count_wan,age_pct,urban_pct
江苏,2023,4282.9,30-44,991.8,23.16,53.43
江苏,2023,4282.9,45-59,1127.1,26.32,46.54
江苏,2023,4282.9,60+,586.1,13.68,78.16
江苏,2024,8938.7,0-14,1411.4,15.79,81.82
江苏,2024,8938.7,15-29,1881.8,21.05,58.63
江苏,2024,8938.7,30-44,2070.0,23.16,53.11
江苏,2024,8938.7,45-59,2352.3,26.32,63.2
江苏,2024,8938.7,60+,1223.2,13.68,52.11
浙江,2020,4674.0,0-14,738.0,15.79,86.55
浙江,2020,4674.0,15-29,984.0,21.05,88.67
浙江,2020,4674.0,30-44,1082.4,23.16,74.41
浙江,2020,4674.0,45-59,1230.0,26.32,88.82
浙江,2020,4674.0,60+,639.6,13.68,55.99
浙江,2021,2464.9,0-14,389.2,15.79,78.02
浙江,2021,2464.9,15-29,518.9,21.05,59.33
浙江,2021,2464.9,30-44,570.8,23.16,89.22
浙江,2021,2464.9,45-59,648.6,26.32,65.81
浙江,2021,2464.9,60+,337.3,13.68,63.18
浙江,2022,10144.1,0-14,1601.7,15.79,69.17
浙江,2022,10144.1,15-29,2135.6,21.05,64.41
浙江,2022,10144.1,30-44,2349.2,23.16,68.3
浙江,2022,10144.1,45-59,2669.5,26.32,75.46
浙江,2022,10144.1,60+,1388.1,13.68,55.86
浙江,2023,6152.3,0-14,971.4,15.79,54.26
浙江,2023,6152.3,15-29,1295.2,21.05,77.43
浙江,2023,6152.3,30-44,1424.7,23.16,47.84
浙江,2023,6152.3,45-59,1619.0,26.32,69.19
浙江,2023,6152.3,60+,841.9,13.68,69.71
浙江,2024,5344.3,0-14,843.8,15.79,47.35
浙江,2024,5344.3,15-29,1125.1,21.05,67.61
浙江,2024,5344.3,30-44,1237.6,23.16,52.23
浙江,2024,5344.3,45-59,1406.4,26.32,83.95
浙江,2024,5344.3,60+,731.3,13.68,81.81
山东,2020,7658.7,0-14,1209.3,15.79,87.81
山东,2020,7658.7,15-29,1612.4,21.05,87.93
山东,2020,7658.7,30-44,1773.6,23.16,50.84
山东,2020,7658.7,45-59,2015.4,26.32,88.64
山东,2020,7658.7,60+,1048.0,13.68,67.83
山东,2021,8767.5,0-14,1384.3,15.79,66.33
山东,2021,8767.5,15-29,1845.8,21.05,60.03
山东,2021,8767.5,30-44,2030.4,23.16,89.84
山东,2021,8767.5,45-59,2307.2,26.32,65.21
山东,2021,8767.5,60+,1199.8,13.68,68.16
山东,2022,4410.7,0-14,696.4,15.79,65.63
山东,2022,4410.7,15-29,928.6,21.05,64.88
山东,2022,4410.7,30-44,1021.4,23.16,56.55
山东,2022,4410.7,45-59,1160.7,26.32,68.96
山东,2022,4410.7,60+,603.6,13.68,84.25
山东,2023,3458.5,0-14,546.1,15.79,62.45
山东,2023,3458.5,15-29,728.1,21.05,84.75
山东,2023,3458.5,30-44,800.9,23.16,67.92
山东,2023,3458.5,45-59,910.1,26.32,85.83
山东,2023,3458.5,60+,473.3,13.68,73.5
山东,2024,10875.6,0-14,1717.2,15.79,45.23
山东,2024,10875.6,15-29,2289.6,21.05,81.56
山东,2024,10875.6,30-44,2518.6,23.16,73.93
山东,2024,10875.6,45-59,2862.0,26.32,45.78
山东,2024,10875.6,60+,1488.2,13.68,84.57
河南,2020,6773.4,0-14,1069.5,15.79,78.03
河南,2020,6773.4,15-29,1426.0,21.05,75.96
河南,2020,6773.4,30-44,1568.6,23.16,67.5
河南,2020,6773.4,45-59,1782.5,26.32,47.65
河南,2020,6773.4,60+,926.9,13.68,78.3
河南,2021,8884.2,0-14,1402.8,15.79,52.14
河南,2021,8884.2,15-29,1870.4,21.05,49.23
河南,2021,8884.2,30-44,2057.4,23.16,67.66
河南,2021,8884.2,45-59,2337.9,26.32,53.4
河南,2021,8884.2,60+,1215.7,13.68,58.59
河南,2022,2218.2,0-14,350.2,15.79,47.77
河南,2022,2218.2,15-29,467.0,21.05,46.4
河南,2022,2218.2,30-44,513.7,23.16,53.49
河南,2022,2218.2,45-59,583.7,26.32,55.16
河南,2022,2218.2,60+,303.5,13.68,64.62
河南,2023,2856.0,0-14,450.9,15.79,52.37
河南,2023,2856.0,15-29,601.3,21.05,61.98
河南,2023,2856.0,30-44,661.4,23.16,83.06
河南,2023,2856.0,45-59,751.6,26.32,58.03
河南,2023,2856.0,60+,390.8,13.68,74.15
河南,2024,4426.0,0-14,698.8,15.79,58.55
河南,2024,4426.0,15-29,931.8,21.05,71.89
河南,2024,4426.0,30-44,1025.0,23.16,66.32
河南,2024,4426.0,45-59,1164.7,26.32,80.36
河南,2024,4426.0,60+,605.7,13.68,86.35
四川,2020,2115.3,0-14,320.5,15.15,72.37
四川,2020,2115.3,15-29,427.3,20.2,86.14
四川,2020,2115.3,30-44,470.1,22.22,64.06
四川,2020,2115.3,45-59,427.3,20.2,50.85
四川,2020,2115.3,60+,470.1,22.22,81.39
四川,2021,6162.4,0-14,933.7,15.15,89.89
四川,2021,6162.4,15-29,1244.9,20.2,57.27
四川,2021,6162.4,30-44,1369.4,22.22,62.5
四川,2021,6162.4,45-59,1244.9,20.2,82.28
四川,2021,6162.4,60+,1369.4,22.22,73.63
四川,2022,8363.5,0-14,1267.2,15.15,88.64
四川,2022,8363.5,15-29,1689.6,20.2,84.2
四川,2022,8363.5,30-44,1858.6,22.22,49.96
四川,2022,8363.5,45-59,1689.6,20.2,87.01
四川,2022,8363.5,60+,1858.6,22.22,60.09
四川,2023,4964.3,0-14,752.2,15.15,73.67
四川,2023,4964.3,15-29,1002.9,20.2,66.93
四川,2023,4964.3,30-44,1103.2,22.22,46.49
四川,2023,4964.3,45-59,1002.9,20.2,48.48
四川,2023,4964.3,60+,1103.2,22.22,51.98
四川,2024,4056.7,0-14,614.7,15.15,79.54
四川,2024,4056.7,15-29,819.5,20.2,56.92
四川,2024,4056.7,30-44,901.5,22.22,54.99
四川,2024,4056.7,45-59,819.5,20.2,86.46
四川,2024,4056.7,60+,901.5,22.22,50.09
湖北,2020,7994.0,0-14,1262.2,15.79,54.07
湖北,2020,7994.0,15-29,1683.0,21.05,86.43
湖北,2020,7994.0,30-44,1851.3,23.16,50.29
湖北,2020,7994.0,45-59,2103.7,26.32,63.92
湖北,2020,7994.0,60+,1093.9,13.68,48.06
湖北,2021,5075.5,0-14,801.4,15.79,64.29
湖北,2021,5075.5,15-29,1068.5,21.05,77.68
湖北,2021,5075.5,30-44,1175.4,23.16,59.53
湖北,2021,5075.5,45-59,1335.7,26.32,82.46
湖北,2021,5075.5,60+,694.5,13.68,55.54
湖北,2022,10892.8,0-14,1719.9,15.79,74.38
湖北,2022,10892.8,15-29,2293.2,21.05,67.47
湖北,2022,10892.8,30-44,2522.5,23.16,67.75
湖北,2022,10892.8,45-59,2866.5,26.32,70.77
湖北,2022,10892.8,60+,1490.6,13.68,77.35
湖北,2023,9016.7,0-14,1423.7,15.79,48.18
湖北,2023,9016.7,15-29,1898.2,21.05,48.96
湖北,2023,9016.7,30-44,2088.1,23.16,54.65
湖北,2023,9016.7,45-59,2372.8,26.32,58.48
湖北,2023,9016.7,60+,1233.9,13.68,60.91
湖北,2024,9269.2,0-14,1463.6,15.79,47.41
湖北,2024,9269.2,15-29,1951.4,21.05,80.92
湖北,2024,9269.2,30-44,2146.6,23.16,55.95
湖北,2024,9269.2,45-59,2439.3,26.32,54.86
湖北,2024,9269.2,60+,1268.4,13.68,68.19
湖南,2020,7520.0,0-14,1187.4,15.79,64.95
湖南,2020,7520.0,15-29,1583.2,21.05,50.81
湖南,2020,7520.0,30-44,1741.5,23.16,61.68
湖南,2020,7520.0,45-59,1978.9,26.32,54.8
湖南,2020,7520.0,60+,1029.1,13.68,59.04
湖南,2021,6054.0,0-14,955.9,15.79,88.01
湖南,2021,6054.0,15-29,1274.5,21.05,47.16
湖南,2021,6054.0,30-44,1402.0,23.16,61.96
湖南,2021,6054.0,45-59,1593.2,26.32,79.86
湖南,2021,6054.0,60+,828.4,13.68,86.64
湖南,2022,7064.9,0-14,1115.5,15.79,77.36
湖南,2022,7064.9,15-29,1487.3,21.05,69.98
湖南,2022,7064.9,30-44,1636.1,23.16,80.49
湖南,2022,7064.9,45-59,1859.2,26.32,82.04
湖南,2022,7064.9,60+,966.8,13.68,75.22
湖南,2023,8415.7,0-14,1328.8,15.79,56.88
湖南,2023,8415.7,15-29,1771.7,21.05,66.0
湖南,2023,8415.7,30-44,1948.9,23.16,77.74
湖南,2023,8415.7,45-59,2214.7,26.32,86.42
湖南,2023,8415.7,60+,1151.6,13.68,55.83
湖南,2024,10970.4,0-14,1732.2,15.79,61.63
湖南,2024,10970.4,15-29,2309.6,21.05,50.81
湖南,2024,10970.4,30-44,2540.5,23.16,73.82
湖南,2024,10970.4,45-59,2886.9,26.32,73.65
湖南,2024,10970.4,60+,1501.2,13.68,71.55
河北,2020,4574.6,0-14,722.3,15.79,61.95
河北,2020,4574.6,15-29,963.1,21.05,80.59
河北,2020,4574.6,30-44,1059.4,23.16,74.4
河北,2020,4574.6,45-59,1203.9,26.32,86.76
河北,2020,4574.6,60+,626.0,13.68,48.39
河北,2021,5114.5,0-14,807.6,15.79,52.38
河北,2021,5114.5,15-29,1076.7,21.05,83.08
河北,2021,5114.5,30-44,1184.4,23.16,79.57
河北,2021,5114.5,45-59,1345.9,26.32,69.43
河北,2021,5114.5,60+,699.9,13.68,57.61
河北,2022,7375.9,0-14,1164.6,15.79,56.02
河北,2022,7375.9,15-29,1552.8,21.05,53.19
河北,2022,7375.9,30-44,1708.1,23.16,71.28
河北,2022,7375.9,45-59,1941.0,26.32,59.12
河北,2022,7375.9,60+,1009.3,13.68,64.2
河北,2023,2325.1,0-14,367.1,15.79,72.45
河北,2023,2325.1,15-29,489.5,21.05,46.31
河北,2023,2325.1,30-44,538.4,23.16,64.51
河北,2023,2325.1,45-59,611.9,26.32,87.43
河北,2023,2325.1,60+,318.2,13.68,60.59
河北,2024,4737.0,0-14,748.0,15.79,68.14
河北,2024,4737.0,15-29,997.3,21.05,53.57
河北,2024,4737.0,30-44,1097.0,23.16,83.57
河北,2024,4737.0,45-59,1246.6,26.32,47.94
河北,2024,4737.0,60+,648.2,13.68,85.51
福建,2020,8372.5,0-14,1322.0,15.79,77.87
福建,2020,8372.5,15-29,1762.6,21.05,52.71
福建,2020,8372.5,30-44,1938.9,23.16,58.91
福建,2020,8372.5,45-59,2203.3,26.32,87.9
福建,2020,8372.5,60+,1145.7,13.68,79.04
福建,2021,4001.6,0-14,631.8,15.79,56.35
福建,2021,4001.6,15-29,842.4,21.05,74.59
福建,2021,4001.6,30-44,926.7,23.16,62.97
福建,2021,4001.6,45-59,1053.0,26.32,70.13
福建,2021,4001.6,60+,547.6,13.68,52.31
福建,2022,10609.2,0-14,1675.1,15.79,61.04
福建,2022,10609.2,15-29,2233.5,21.05,46.04
福建,2022,10609.2,30-44,2456.9,23.16,61.08
福建,2022,10609.2,45-59,2791.9,26.32,87.73
福建,2022,10609.2,60+,1451.8,13.68,79.87
福建,2023,3547.7,0-14,560.2,15.79,82.96
福建,2023,3547.7,15-29,746.9,21.05,70.49
福建,2023,3547.7,30-44,821.6,23.16,71.89
福建,2023,3547.7,45-59,933.6,26.32,46.61
福建,2023,3547.7,60+,485.5,13.68,80.78
福建,2024,7669.0,0-14,1210.9,15.79,77.97
福建,2024,7669.0,15-29,1614.5,21.05,87.57
福建,2024,7669.0,30-44,1776.0,23.16,82.2
福建,2024,7669.0,45-59,2018.2,26.32,67.89
福建,2024,7669.0,60+,1049.4,13.68,58.69
安徽,2020,10543.6,0-14,1664.8,15.79,87.94
安徽,2020,10543.6,15-29,2219.7,21.05,53.14
安徽,2020,10543.6,30-44,2441.7,23.16,86.6
安徽,2020,10543.6,45-59,2774.6,26.32,49.49
安徽,2020,10543.6,60+,1442.8,13.68,57.18
安徽,2021,2071.0,0-14,327.0,15.79,47.06
安徽,2021,2071.0,15-29,436.0,21.05,56.73
安徽,2021,2071.0,30-44,479.6,23.16,76.74
安徽,2021,2071.0,45-59,545.0,26.32,89.36
安徽,2021,2071.0,60+,283.4,13.68,45.12
安徽,2022,4213.3,0-14,665.3,15.79,62.93
安徽,2022,4213.3,15-29,887.0,21.05,74.93
安徽,2022,4213.3,30-44,975.7,23.16,72.49
安徽,2022,4213.3,45-59,1108.8,26.32,86.48
安徽,2022,4213.3,60+,576.6,13.68,60.14
安徽,2023,4635.6,0-14,731.9,15.79,58.75
安徽,2023,4635.6,15-29,975.9,21.05,82.5
安徽,2023,4635.6,30-44,1073.5,23.16,75.37
安徽,2023,4635.6,45-59,1219.9,26.32,46.73
安徽,2023,4635.6,60+,634.3,13.68,62.75
安徽,2024,8419.8,0-14,1329.4,15.79,65.99
安徽,2024,8419.8,15-29,1772.6,21.05,80.03
安徽,2024,8419.8,30-44,1949.8,23.16,54.62
安徽,2024,8419.8,45-59,2215.7,26.32,79.16
安徽,2024,8419.8,60+,1152.2,13.68,88.61
陕西,2020,2713.4,0-14,428.4,15.79,72.28
陕西,2020,2713.4,15-29,571.2,21.05,51.67
陕西,2020,2713.4,30-44,628.4,23.16,47.67
陕西,2020,2713.4,45-59,714.0,26.32,64.49
陕西,2020,2713.4,60+,371.3,13.68,45.63
陕西,2021,10485.3,0-14,1655.6,15.79,61.34
陕西,2021,10485.3,15-29,2207.4,21.05,87.29
陕西,2021,10485.3,30-44,2428.2,23.16,46.15
陕西,2021,10485.3,45-59,2759.3,26.32,55.95
陕西,2021,10485.3,60+,1434.8,13.68,71.74
陕西,2022,3837.5,0-14,605.9,15.79,82.94
陕西,2022,3837.5,15-29,807.9,21.05,88.01
陕西,2022,3837.5,30-44,888.7,23.16,61.87
陕西,2022,3837.5,45-59,1009.9,26.32,68.97
陕西,2022,3837.5,60+,525.1,13.68,74.66
陕西,2023,5418.0,0-14,855.5,15.79,75.06
陕西,2023,5418.0,15-29,1140.6,21.05,53.85
陕西,2023,5418.0,30-44,1254.7,23.16,70.03
陕西,2023,5418.0,45-59,1425.8,26.32,75.47
陕西,2023,5418.0,60+,741.4,13.68,78.31
陕西,2024,3011.4,0-14,475.5,15.79,57.54
陕西,2024,3011.4,15-29,634.0,21.05,65.49
陕西,2024,3011.4,30-44,697.4,23.16,70.42
陕西,2024,3011.4,45-59,792.5,26.32,87.32
陕西,2024,3011.4,60+,412.1,13.68,56.25
辽宁,2020,3543.3,0-14,536.9,15.15,61.41
辽宁,2020,3543.3,15-29,715.8,20.2,75.23
辽宁,2020,3543.3,30-44,787.4,22.22,76.64
辽宁,2020,3543.3,45-59,715.8,20.2,56.38
辽宁,2020,3543.3,60+,787.4,22.22,55.91
辽宁,2021,9783.1,0-14,1482.3,15.15,66.47
辽宁,2021,9783.1,15-29,1976.4,20.2,89.44
辽宁,2021,9783.1,30-44,2174.0,22.22,81.91
辽宁,2021,9783.1,45-59,1976.4,20.2,77.47
辽宁,2021,9783.1,60+,2174.0,22.22,77.32
辽宁,2022,9781.9,0-14,1482.1,15.15,54.41
辽宁,2022,9781.9,15-29,1976.1,20.2,64.38
辽宁,2022,9781.9,30-44,2173.8,22.22,61.3
辽宁,2022,9781.9,45-59,1976.1,20.2,81.56
辽宁,2022,9781.9,60+,2173.8,22.22,45.4
辽宁,2023,4406.2,0-14,667.6,15.15,77.32
辽宁,2023,4406.2,15-29,890.1,20.2,87.16
辽宁,2023,4406.2,30-44,979.2,22.22,79.83
辽宁,2023,4406.2,45-59,890.1,20.2,82.69
辽宁,2023,4406.2,60+,979.2,22.22,83.67
辽宁,2024,8343.8,0-14,1264.2,15.15,55.64
辽宁,2024,8343.8,15-29,1685.6,20.2,68.71
辽宁,2024,8343.8,30-44,1854.2,22.22,58.14
辽宁,2024,8343.8,45-59,1685.6,20.2,65.79
辽宁,2024,8343.8,60+,1854.2,22.22,68.23
江西,2020,2433.8,0-14,384.3,15.79,63.16
江西,2020,2433.8,15-29,512.4,21.05,63.09
江西,2020,2433.8,30-44,563.6,23.16,86.22
江西,2020,2433.8,45-59,640.5,26.32,77.93
江西,2020,2433.8,60+,333.0,13.68,56.06
江西,2021,10042.9,0-14,1585.7,15.79,74.66
江西,2021,10042.9,15-29,2114.3,21.05,84.14
江西,2021,10042.9,30-44,2325.7,23.16,52.53
江西,2021,10042.9,45-59,2642.9,26.32,65.97
江西,2021,10042.9,60+,1374.3,13.68,49.0
江西,2022,10443.5,0-14,1649.0,15.79,52.76
江西,2022,10443.5,15-29,2198.6,21.05,89.91
江西,2022,10443.5,30-44,2418.5,23.16,78.8
江西,2022,10443.5,45-59,2748.3,26.32,47.31
江西,2022,10443.5,60+,1429.1,13.68,70.9
江西,2023,7095.1,0-14,1120.3,15.79,78.21
江西,2023,7095.1,15-29,1493.7,21.05,56.68
江西,2023,7095.1,30-44,1643.1,23.16,80.26
江西,2023,7095.1,45-59,1867.1,26.32,89.46
江西,2023,7095.1,60+,970.9,13.68,64.8
江西,2024,3036.9,0-14,479.5,15.79,51.29
江西,2024,3036.9,15-29,639.4,21.05,49.11
江西,2024,3036.9,30-44,703.3,23.16,64.74
江西,2024,3036.9,45-59,799.2,26.32,87.26
江西,2024,3036.9,60+,415.6,13.68,65.81
广西,2020,5500.3,0-14,868.5,15.79,51.92
广西,2020,5500.3,15-29,1158.0,21.05,54.41
广西,2020,5500.3,30-44,1273.8,23.16,45.47
广西,2020,5500.3,45-59,1447.4,26.32,62.25
广西,2020,5500.3,60+,752.7,13.68,75.12
广西,2021,3572.3,0-14,564.0,15.79,48.53
广西,2021,3572.3,15-29,752.1,21.05,73.99
广西,2021,3572.3,30-44,827.3,23.16,83.49
广西,2021,3572.3,45-59,940.1,26.32,51.3
广西,2021,3572.3,60+,488.8,13.68,56.88
广西,2022,6328.1,0-14,999.2,15.79,49.26
广西,2022,6328.1,15-29,1332.2,21.05,75.34
广西,2022,6328.1,30-44,1465.4,23.16,53.87
广西,2022,6328.1,45-59,1665.3,26.32,65.3
广西,2022,6328.1,60+,865.9,13.68,83.72
广西,2023,7842.2,0-14,1238.2,15.79,54.14
广西,2023,7842.2,15-29,1651.0,21.05,52.06
广西,2023,7842.2,30-44,1816.1,23.16,67.29
广西,2023,7842.2,45-59,2063.7,26.32,72.08
广西,2023,7842.2,60+,1073.1,13.68,70.18
广西,2024,6749.9,0-14,1065.8,15.79,71.69
广西,2024,6749.9,15-29,1421.0,21.05,63.98
广西,2024,6749.9,30-44,1563.1,23.16,57.68
广西,2024,6749.9,45-59,1776.3,26.32,78.52
广西,2024,6749.9,60+,923.7,13.68,48.19
云南,2020,10274.7,0-14,1622.3,15.79,88.85
云南,2020,10274.7,15-29,2163.1,21.05,69.01
云南,2020,10274.7,30-44,2379.4,23.16,46.96
云南,2020,10274.7,45-59,2703.9,26.32,87.03
云南,2020,10274.7,60+,1406.0,13.68,77.19
云南,2021,2708.7,0-14,427.7,15.79,84.04
云南,2021,2708.7,15-29,570.3,21.05,51.97
云南,2021,2708.7,30-44,627.3,23.16,64.66
云南,2021,2708.7,45-59,712.8,26.32,54.67
云南,2021,2708.7,60+,370.7,13.68,64.8
云南,2022,9764.9,0-14,1541.8,15.79,52.48
云南,2022,9764.9,15-29,2055.8,21.05,79.96
云南,2022,9764.9,30-44,2261.3,23.16,83.49
云南,2022,9764.9,45-59,2569.7,26.32,49.68
云南,2022,9764.9,60+,1336.2,13.68,86.33
云南,2023,5039.6,0-14,795.7,15.79,79.74
云南,2023,5039.6,15-29,1061.0,21.05,48.74
云南,2023,5039.6,30-44,1167.1,23.16,82.87
云南,2023,5039.6,45-59,1326.2,26.32,45.39
云南,2023,5039.6,60+,689.6,13.68,64.83
云南,2024,6344.1,0-14,1001.7,15.79,75.8
云南,2024,6344.1,15-29,1335.6,21.05,76.97
云南,2024,6344.1,30-44,1469.2,23.16,64.01
云南,2024,6344.1,45-59,1669.5,26.32,60.05
云南,2024,6344.1,60+,868.1,13.68,87.89
重庆,2020,4890.9,0-14,741.0,15.15,64.67
重庆,2020,4890.9,15-29,988.1,20.2,59.87
重庆,2020,4890.9,30-44,1086.9,22.22,72.14
重庆,2020,4890.9,45-59,988.1,20.2,47.33
重庆,2020,4890.9,60+,1086.9,22.22,77.24
重庆,2021,7358.3,0-14,1114.9,15.15,59.59
重庆,2021,7358.3,15-29,1486.5,20.2,89.61
重庆,2021,7358.3,30-44,1635.2,22.22,60.81
重庆,2021,7358.3,45-59,1486.5,20.2,60.91
重庆,2021,7358.3,60+,1635.2,22.22,47.83
重庆,2022,10459.3,0-14,1584.7,15.15,66.55
重庆,2022,10459.3,15-29,2113.0,20.2,75.73
重庆,2022,10459.3,30-44,2324.3,22.22,77.2
重庆,2022,10459.3,45-59,2113.0,20.2,49.76
重庆,2022,10459.3,60+,2324.3,22.22,66.56
重庆,2023,6963.7,0-14,1055.1,15.15,72.48
重庆,2023,6963.7,15-29,1406.8,20.2,87.44
重庆,2023,6963.7,30-44,1547.5,22.22,67.89
重庆,2023,6963.7,45-59,1406.8,20.2,70.83
重庆,2023,6963.7,60+,1547.5,22.22,57.9
重庆,2024,7508.2,0-14,1137.6,15.15,53.66
重庆,2024,7508.2,15-29,1516.8,20.2,70.87
重庆,2024,7508.2,30-44,1668.5,22.22,49.37
重庆,2024,7508.2,45-59,1516.8,20.2,57.12
重庆,2024,7508.2,60+,1668.5,22.22,82.89
天津,2020,10385.7,0-14,1639.9,15.79,48.31
天津,2020,10385.7,15-29,2186.5,21.05,89.72
天津,2020,10385.7,30-44,2405.1,23.16,80.8
天津,2020,10385.7,45-59,2733.1,26.32,51.41
天津,2020,10385.7,60+,1421.2,13.68,64.69
天津,2021,10887.3,0-14,1719.1,15.79,77.02
天津,2021,10887.3,15-29,2292.1,21.05,52.18
天津,2021,10887.3,30-44,2521.3,23.16,70.85
天津,2021,10887.3,45-59,2865.1,26.32,76.42
天津,2021,10887.3,60+,1489.8,13.68,49.64
天津,2022,3960.6,0-14,625.4,15.79,60.27
天津,2022,3960.6,15-29,833.8,21.05,69.21
天津,2022,3960.6,30-44,917.2,23.16,64.33
天津,2022,3960.6,45-59,1042.3,26.32,88.86
天津,2022,3960.6,60+,542.0,13.68,66.92
天津,2023,7397.6,0-14,1168.0,15.79,72.06
天津,2023,7397.6,15-29,1557.4,21.05,61.26
天津,2023,7397.6,30-44,1713.1,23.16,83.83
天津,2023,7397.6,45-59,1946.7,26.32,45.58
天津,2023,7397.6,60+,1012.3,13.68,70.18
天津,2024,5763.4,0-14,910.0,15.79,78.53
天津,2024,5763.4,15-29,1213.4,21.05,68.99
天津,2024,5763.4,30-44,1334.7,23.16,46.89
天津,2024,5763.4,45-59,1516.7,26.32,74.27
