movie_id,title,release_year,release_date,genre,director,country,runtime_min,rating,opening_weekend_yi,total_box_office_yi
M1030,电影-0030,2021,2021-12-08,喜剧,导演-30,英国,83,5.9,2.17,14.43
M1031,电影-0031,2022,2022-03-20,动作,导演-38,韩国,81,8.5,0.69,3.3
M1032,电影-0032,2020,2020-10-19,动画,导演-26,中国,157,9.8,1.83,4.77
M1033,电影-0033,2020,2020-03-04,动作,导演-45,法国,143,6.0,0.85,4.06
M1034,电影-0034,2022,2022-05-08,爱情,导演-52,韩国,176,8.9,5.32,21.34
M1035,电影-0035,2021,2021-11-10,动画,导演-60,美国,164,6.3,0.89,4.99
M1036,电影-0036,2020,2020-09-07,纪录片,导演-63,法国,102,8.1,4.01,19.37
M1037,电影-0037,2022,2022-09-27,动画,导演-65,英国,143,7.4,3.89,21.96
M1038,电影-0038,2020,2020-05-24,悬疑,导演-47,法国,99,7.8,2.03,4.26
M1039,电影-0039,2024,2024-04-07,喜剧,导演-67,中国,96,6.3,2.62,12.7
M1040,电影-0040,2020,2020-01-21,科幻,导演-29,法国,101,6.8,0.52,3.23
M1041,电影-0041,2020,2020-10-14,科幻,导演-35,韩国,166,6.4,1.67,10.91
M1042,电影-0042,2023,2023-05-12,纪录片,导演-64,美国,104,7.4,0.03,0.2
M1043,电影-0043,2023,2023-07-11,科幻,导演-20,中国,177,7.2,0.07,0.29
M1044,电影-0044,2021,2021-09-20,喜剧,导演-68,中国,136,7.9,0.82,2.3
M1045,电影-0045,2022,2022-12-06,科幻,导演-72,韩国,118,5.0,0.1,0.71
M1046,电影-0046,2022,2022-02-25,动作,导演-47,英国,159,7.3,2.47,14.67
M1047,电影-0047,2022,2022-12-18,喜剧,导演-78,法国,91,5.7,1.67,3.39
M1048,电影-0048,2021,2021-07-06,纪录片,导演-40,美国,86,6.0,0.74,4.33
M1049,电影-0049,2022,2022-06-21,剧情,导演-48,美国,107,7.4,0.97,5.54
M1050,电影-0050,2021,2021-08-07,动画,导演-29,美国,167,6.9,1.8,7.88
M1051,电影-0051,2024,2024-01-02,科幻,导演-61,美国,92,7.2,0.51,3.97
M1052,电影-0052,2022,2022-02-20,动画,导演-17,中国,133,6.5,0.3,1.53
M1053,电影-0053,2023,2023-03-15,纪录片,导演-31,日本,93,6.1,1.09,3.63
M1054,电影-0054,2021,2021-02-20,剧情,导演-12,法国,172,5.7,2.11,7.6
M1055,电影-0055,2023,2023-07-18,动作,导演-4,韩国,173,6.8,0.64,2.96
M1056,电影-0056,2021,2021-12-03,爱情,导演-57,韩国,99,5.7,0.34,1.22
M1057,电影-0057,2023,2023-08-14,剧情,导演-21,韩国,128,6.7,0.3,1.97
M1058,电影-0058,2024,2024-10-09,动作,导演-2,英国,103,6.5,1.59,8.83
M1059,电影-0059,2022,2022-12-16,喜剧,导演-39,中国,146,7.6,0.54,2.28
M1060,电影-0060,2023,2023-09-12,爱情,导演-8,法国,127,7.6,1.53,11.89
M1061,电影-0061,2024,2024-03-02,喜剧,导演-52,日本,153,8.1,0.77,3.34
M1062,电影-0062,2023,2023-03-23,科幻,导演-9,日本,178,7.7,1.42,11.05
M1063,电影-0063,2023,2023-01-11,剧情,导演-10,法国,118,6.1,2.56,10.19
M1064,电影-0064,2023,2023-11-23,纪录片,导演-51,英国,142,6.8,0.41,3.07
M1065,电影-0065,2023,2023-09-13,科幻,导演-57,中国,99,7.5,0.48,2.96
M1066,电影-0066,2024,2024-04-19,爱情,导演-18,英国,99,9.5,0.75,3.1
M1067,电影-0067,2023,2023-01-17,爱情,导演-78,英国,129,6.4,0.41,3.08
M1068,电影-0068,2021,2021-10-14,科幻,导演-16,美国,142,6.0,0.36,1.74
M1069,电影-0069,2022,2022-08-21,悬疑,导演-40,日本,141,8.0,1.06,4.44
M1070,电影-0070,2023,2023-06-07,悬疑,导演-78,英国,170,7.0,0.12,0.52
M1071,电影-0071,2022,2022-11-12,悬疑,导演-54,法国,178,6.2,3.51,23.2
M1072,电影-0072,2022,2022-01-08,悬疑,导演-21,法国,100,5.9,2.04,7.07
M1073,电影-0073,2023,2023-08-19,喜剧,导演-49,中国,111,5.2,1.23,8.74
M1074,电影-0074,2023,2023-11-27,悬疑,导演-67,法国,156,6.7,0.28,2.01
M1075,电影-0075,2021,2021-10-22,动作,导演-20,韩国,136,6.5,3.61,16.39
M1076,电影-0076,2024,2024-05-04,喜剧,导演-31,法国,112,5.9,0.9,3.2
M1077,电影-0077,2023,2023-10-08,爱情,导演-11,英国,83,5.5,0.89,7.01
M1078,电影-0078,2020,2020-05-21,科幻,导演-41,美国,123,7.0,0.26,1.45
M1079,电影-0079,2024,2024-04-14,喜剧,导演-41,中国,163,7.7,2.5,16.98
M1080,电影-0080,2021,2021-06-06,爱情,导演-65,美国,151,5.8,2.55,19.14
M1081,电影-0081,2022,2022-06-11,喜剧,导演-76,韩国,163,7.4,4.67,26.63
M1082,电影-0082,2022,2022-04-04,喜剧,导演-37,英国,131,6.8,0.69,4.91
M1083,电影-0083,2023,2023-08-20,悬疑,导演-16,法国,113,4.6,3.72,10.72
M1084,电影-0084,2023,2023-11-03,悬疑,导演-16,法国,109,6.7,2.32,12.6
M1085,电影-0085,2021,2021-09-26,纪录片,导演-11,韩国,120,8.6,0.1,0.66
M1086,电影-0086,2023,2023-12-25,爱情,导演-66,日本,176,6.4,1.31,7.41
M1087,电影-0087,2021,2021-09-15,悬疑,导演-72,英国,133,8.7,0.42,2.44
M1088,电影-0088,2021,2021-09-25,动画,导演-45,美国,104,4.4,2.72,10.6
M1089,电影-0089,2022,2022-02-14,喜剧,导演-22,英国,133,7.6,4.4,14.94
M1090,电影-0090,2023,2023-08-02,动画,导演-38,美国,94,6.6,0.69,3.79
M1091,电影-0091,2020,2020-05-19,动作,导演-53,美国,142,6.6,0.33,1.87
M1092,电影-0092,2022,2022-04-16,喜剧,导演-80,美国,140,5.8,2.8,21.53
M1093,电影-0093,2020,2020-09-08,爱情,导演-37,法国,86,6.7,6.58,31.76
M1094,电影-0094,2022,2022-03-10,喜剧,导演-8,法国,97,6.4,2.72,14.32
M1095,电影-0095,2021,2021-06-24,纪录片,导演-43,日本,172,7.4,0.06,0.46
M1096,电影-0096,2024,2024-05-18,动画,导演-70,日本,113,5.4,1.42,5.03
M1097,电影-0097,2020,2020-11-26,纪录片,导演-60,日本,156,6.9,1.37,9.96
M1098,电影-0098,2020,2020-06-15,科幻,导演-66,法国,103,5.2,0.36,2.42
M1099,电影-0099,2024,2024-12-19,动作,导演-55,韩国,122,6.0,0.47,1.79
M1100,电影-0100,2023,2023-03-19,爱情,导演-7,日本,89,7.9,1.56,9.08
M1101,电影-0101,2024,2024-08-16,动作,导演-58,韩国,149,8.4,0.18,1.31
M1102,电影-0102,2021,2021-06-26,剧情,导演-44,美国,151,7.9,3.35,21.06
M1103,电影-0103,2020,2020-10-23,剧情,导演-69,英国,170,6.5,8.83,66.29
M1104,电影-0104,2022,2022-07-06,动画,导演-5,中国,135,6.7,0.24,0.7
M1105,电影-0105,2020,2020-05-10,动画,导演-80,法国,112,8.2,5.64,39.34
M1106,电影-0106,2021,2021-03-24,动作,导演-39,美国,142,6.8,2.51,10.22
M1107,电影-0107,2023,2023-12-27,爱情,导演-71,中国,170,8.3,1.03,3.39
M1108,电影-0108,2021,2021-12-09,剧情,导演-44,英国,152,6.8,0.02,0.14
M1109,电影-0109,2022,2022-12-05,爱情,导演-40,韩国,157,6.5,1.01,6.16
M1110,电影-0110,2023,2023-12-22,纪录片,导演-37,日本,171,5.4,0.16,0.44
M1111,电影-0111,2023,2023-05-18,动画,导演-22,韩国,104,6.3,3.69,18.32
M1112,电影-0112,2022,2022-05-26,动作,导演-75,英国,116,8.0,0.36,1.64
M1113,电影-0113,2021,2021-07-26,动作,导演-42,美国,134,7.1,0.06,0.26
M1114,电影-0114,2020,2020-07-25,纪录片,导演-20,法国,148,6.3,0.54,3.9
M1115,电影-0115,2020,2020-06-11,纪录片,导演-71,中国,93,5.3,1.47,8.56
M1116,电影-0116,2023,2023-08-01,爱情,导演-18,美国,137,7.2,0.31,1.17
M1117,电影-0117,2022,2022-07-09,动画,导演-70,韩国,159,6.9,2.62,15.73
M1118,电影-0118,2021,2021-12-10,喜剧,导演-63,中国,80,5.0,0.27,1.48
M1119,电影-0119,2023,2023-11-19,动作,导演-52,韩国,101,4.9,1.24,6.03
M1120,电影-0120,2020,2020-11-08,剧情,导演-17,法国,92,6.9,0.44,2.34
M1121,电影-0121,2024,2024-04-07,剧情,导演-6,法国,169,7.6,0.71,2.43
M1122,电影-0122,2022,2022-02-17,剧情,导演-42,中国,83,7.0,2.27,14.95
M1123,电影-0123,2020,2020-07-06,科幻,导演-4,英国,84,5.7,2.67,15.81
M1124,电影-0124,2021,2021-01-16,剧情,导演-32,法国,160,7.9,1.35,2.92
M1125,电影-0125,2020,2020-11-13,喜剧,导演-22,美国,132,6.9,0.31,1.49
M1126,电影-0126,2022,2022-09-18,纪录片,导演-3,法国,133,6.4,0.21,1.35
M1127,电影-0127,2022,2022-04-15,科幻,导演-43,英国,171,7.8,0.13,0.67
M1128,电影-0128,2023,2023-09-24,动作,导演-46,美国,133,8.9,1.33,4.93
M1129,电影-0129,2024,2024-10-02,纪录片,导演-78,中国,93,5.6,0.47,2.32
M1130,电影-0130,2021,2021-12-16,爱情,导演-22,法国,93,7.2,0.42,0.9
M1131,电影-0131,2022,2022-04-11,动作,导演-63,日本,174,6.9,0.96,2.36
M1132,电影-0132,2024,2024-04-04,喜剧,导演-41,英国,110,4.8,1.51,10.7
M1133,电影-0133,2024,2024-02-03,纪录片,导演-70,韩国,106,3.5,2.76,9.79
M1134,电影-0134,2021,2021-04-02,剧情,导演-54,韩国,135,8.1,0.04,0.15
M1135,电影-0135,2023,2023-01-18,喜剧,导演-5,法国,113,6.2,0.09,0.58
M1136,电影-0136,2021,2021-10-21,动画,导演-77,美国,145,5.8,3.21,23.2
M1137,电影-0137,2022,2022-07-11,悬疑,导演-46,法国,129,5.5,3.58,18.03
M1138,电影-0138,2022,2022-06-19,喜剧,导演-3,日本,87,6.5,0.54,3.39
M1139,电影-0139,2021,2021-06-05,喜剧,导演-77,法国,120,7.1,1.59,11.13
M1140,电影-0140,2020,2020-05-11,喜剧,导演-68,英国,163,8.2,0.25,1.31
M1141,电影-0141,2021,2021-06-24,科幻,导演-44,中国,109,7.8,0.22,0.58
M1142,电影-0142,2021,2021-06-22,动画,导演-59,英国,132,6.9,1.98,11.62
M1143,电影-0143,2020,2020-06-02,喜剧,导演-61,英国,98,7.1,1.86,12.72
M1144,电影-0144,2022,2022-06-01,爱情,导演-74,法国,177,7.6,1.81,12.99
M1145,电影-0145,2023,2023-11-19,喜剧,导演-12,日本,97,6.9,0.4,1.83
M1146,电影-0146,2023,2023-05-06,动作,导演-2,美国,101,7.0,2.68,7.57
M1147,电影-0147,2024,2024-01-01,动画,导演-18,英国,162,8.0,0.7,3.76
M1148,电影-0148,2021,2021-11-09,剧情,导演-56,美国,108,6.9,1.34,8.7
M1149,电影-0149,2023,2023-06-10,爱情,导演-11,日本,106,8.0,2.47,9.85
M1150,电影-0150,2022,2022-02-08,爱情,导演-69,韩国,138,6.7,1.16,3.69
M1151,电影-0151,2022,2022-05-01,爱情,导演-49,英国,154,6.7,0.52,2.38
M1152,电影-0152,2020,2020-07-17,爱情,导演-69,韩国,91,6.8,6.79,38.48
M1153,电影-0153,2023,2023-07-10,动作,导演-73,美国,169,7.2,1.56,3.69
M1154,电影-0154,2021,2021-05-06,动作,导演-16,中国,156,7.5,0.32,2.09
M1155,电影-0155,2023,2023-07-05,动作,导演-31,美国,135,5.3,2.19,16.39
M1156,电影-0156,2022,2022-05-06,纪录片,导演-4,日本,176,6.9,0.35,1.26
M1157,电影-0157,2021,2021-01-05,喜剧,导演-75,韩国,121,7.2,0.29,1.89
M1158,电影-0158,2022,2022-08-03,爱情,导演-8,日本,130,7.7,0.32,2.25
M1159,电影-0159,2021,2021-02-24,剧情,导演-32,英国,148,7.3,0.98,3.56
M1160,电影-0160,2020,2020-10-11,科幻,导演-67,中国,127,5.9,0.19,1.24
M1161,电影-0161,2024,2024-10-04,纪录片,导演-10,英国,173,9.2,0.3,0.73
M1162,电影-0162,2024,2024-05-14,悬疑,导演-25,中国,89,5.7,0.37,2.33
M1163,电影-0163,2024,2024-01-23,动作,导演-72,法国,130,6.1,0.34,1.87
M1164,电影-0164,2022,2022-04-22,悬疑,导演-23,韩国,109,8.3,0.02,0.1
M1165,电影-0165,2024,2024-11-16,纪录片,导演-68,英国,98,4.0,5.56,26.12
M1166,电影-0166,2022,2022-03-18,剧情,导演-64,中国,103,6.7,0.01,0.06
M1167,电影-0167,2020,2020-08-27,悬疑,导演-41,日本,128,8.7,0.22,0.84
M1168,电影-0168,2022,2022-05-05,动作,导演-48,中国,110,7.4,5.32,39.66
M1169,电影-0169,2024,2024-09-13,剧情,导演-65,韩国,113,5.1,0.67,2.83
M1170,电影-0170,2021,2021-06-12,爱情,导演-16,法国,137,8.1,0.42,2.08
M1171,电影-0171,2023,2023-08-25,科幻,导演-34,美国,146,6.8,1.52,5.3
M1172,电影-0172,2023,2023-10-12,喜剧,导演-43,法国,80,7.6,1.22,9.07
M1173,电影-0173,2023,2023-05-20,动作,导演-25,英国,139,8.3,0.21,0.73
M1174,电影-0174,2022,2022-05-02,爱情,导演-14,英国,128,8.5,0.23,1.82
M1175,电影-0175,2024,2024-02-11,爱情,导演-42,中国,157,5.5,1.09,5.61
M1176,电影-0176,2020,2020-10-14,爱情,导演-5,中国,94,7.0,1.06,6.17
M1177,电影-0177,2022,2022-10-23,悬疑,导演-36,法国,144,7.1,1.4,6.8
M1178,电影-0178,2023,2023-08-17,喜剧,导演-17,法国,141,6.7,0.17,0.91
M1179,电影-0179,2022,2022-02-08,喜剧,导演-39,英国,155,9.2,1.34,8.12
M1180,电影-0180,2021,2021-07-15,动画,导演-37,中国,112,6.6,4.28,23.41
M1181,电影-0181,2024,2024-06-26,剧情,导演-34,日本,172,6.2,0.05,0.34
M1182,电影-0182,2024,2024-10-19,科幻,导演-50,美国,84,7.7,0.73,5.64
M1183,电影-0183,2021,2021-01-08,喜剧,导演-71,中国,124,8.5,1.15,3.67
M1184,电影-0184,2022,2022-05-24,喜剧,导演-79,韩国,116,8.1,0.45,3.54
M1185,电影-0185,2021,2021-12-20,喜剧,导演-40,英国,123,8.3,3.63,22.34
M1186,电影-0186,2023,2023-11-03,科幻,导演-57,英国,112,9.0,0.98,7.08
M1187,电影-0187,2020,2020-10-18,剧情,导演-80,美国,162,6.6,7.52,48.68
M1188,电影-0188,2024,2024-06-15,喜剧,导演-78,美国,150,5.0,1.75,12.73
M1189,电影-0189,2022,2022-01-14,喜剧,导演-47,韩国,170,7.1,4.87,21.35
M1190,电影-0190,2023,2023-02-21,悬疑,导演-54,韩国,180,7.0,0.29,1.03
M1191,电影-0191,2023,2023-11-13,科幻,导演-61,法国,175,7.1,1.07,4.63
M1192,电影-0192,2020,2020-06-09,爱情,导演-65,日本,179,6.9,1.39,9.58
M1193,电影-0193,2020,2020-01-01,剧情,导演-9,日本,98,8.2,0.17,1.13
M1194,电影-0194,2022,2022-12-04,科幻,导演-67,英国,89,5.6,0.29,1.02
M1195,电影-0195,2023,2023-05-24,爱情,导演-65,法国,102,5.0,1.14,6.07
M1196,电影-0196,2021,2021-08-27,悬疑,导演-70,日本,131,7.9,2.07,8.12
M1197,电影-0197,2021,2021-11-23,悬疑,导演-79,中国,85,6.9,1.47,9.21
M1198,电影-0198,2022,2022-09-12,纪录片,导演-71,法国,130,8.1,0.1,0.43
M1199,电影-0199,2020,2020-08-12,喜剧,导演-47,韩国,160,5.6,1.98,13.3
M1200,电影-0200,2024,2024-10-25,动作,导演-68,美国,174,6.4,1.3,8.82
M1201,电影-0201,2023,2023-02-15,爱情,导演-32,英国,131,7.7,2.38,13.29
M1202,电影-0202,2020,2020-02-09,动作,导演-24,英国,94,5.1,1.92,7.29
M1203,电影-0203,2022,2022-08-14,爱情,导演-40,日本,123,9.0,0.43,1.46
M1204,电影-0204,2023,2023-10-04,爱情,导演-54,中国,131,5.7,3.0,6.71
M1205,电影-0205,2022,2022-08-20,喜剧,导演-65,日本,106,6.7,5.55,38.68
M1206,电影-0206,2024,2024-06-02,爱情,导演-2,美国,130,8.3,4.7,15.3
M1207,电影-0207,2020,2020-03-18,爱情,导演-45,英国,178,8.2,1.88,6.54
M1208,电影-0208,2023,2023-10-23,动画,导演-24,中国,116,6.5,0.65,4.98
M1209,电影-0209,2022,2022-09-11,喜剧,导演-41,美国,136,6.6,1.16,3.44
M1210,电影-0210,2022,2022-07-14,剧情,导演-7,中国,104,8.1,0.32,1.21
M1211,电影-0211,2024,2024-10-24,纪录片,导演-10,法国,85,6.2,3.17,23.22
M1212,电影-0212,2020,2020-05-16,爱情,导演-56,韩国,119,4.1,2.03,9.23
M1213,电影-0213,2022,2022-02-10,悬疑,导演-10,美国,102,8.5,0.03,0.19
M1214,电影-0214,2023,2023-06-17,科幻,导演-12,日本,134,6.7,2.14,5.29
M1215,电影-0215,2021,2021-09-01,纪录片,导演-60,法国,108,7.3,2.03,14.39
M1216,电影-0216,2023,2023-12-02,动画,导演-46,日本,110,7.2,0.37,0.83
M1217,电影-0217,2023,2023-07-02,爱情,导演-15,日本,157,7.1,0.66,4.22
M1218,电影-0218,2021,2021-09-22,爱情,导演-50,日本,114,8.3,2.74,21.37
M1219,电影-0219,2022,2022-07-26,动作,导演-73,中国,124,6.6,1.77,6.58
M1220,电影-0220,2020,2020-05-21,喜剧,导演-80,法国,171,5.5,0.02,0.11
M1221,电影-0221,2020,2020-04-06,爱情,导演-10,日本,172,8.0,0.03,0.11
M1222,电影-0222,2024,2024-12-21,动画,导演-7,美国,155,5.8,0.73,4.21
M1223,电影-0223,2020,2020-10-02,剧情,导演-1,法国,154,5.5,0.92,4.75
M1224,电影-0224,2024,2024-05-20,科幻,导演-3,英国,165,6.4,0.95,7.53
M1225,电影-0225,2022,2022-12-25,剧情,导演-36,韩国,104,6.5,0.82,3.79
M1226,电影-0226,2022,2022-12-03,科幻,导演-70,日本,140,5.8,3.06,20.44
M1227,电影-0227,2021,2021-06-23,剧情,导演-11,中国,164,5.1,0.66,2.37
M1228,电影-0228,2023,2023-10-17,纪录片,导演-26,美国,86,5.7,2.09,4.46
M1229,电影-0229,2020,2020-08-21,科幻,导演-7,英国,121,8.4,0.57,1.43
M1230,电影-0230,2023,2023-01-04,科幻,导演-51,韩国,159,5.7,2.45,16.37
M1231,电影-0231,2021,2021-08-22,纪录片,导演-27,中国,153,6.0,0.04,0.29
M1232,电影-0232,2023,2023-03-14,悬疑,导演-26,中国,136,7.5,1.62,7.32
M1233,电影-0233,2020,2020-12-22,喜剧,导演-74,韩国,130,6.7,4.28,26.62
M1234,电影-0234,2021,2021-02-09,喜剧,导演-75,韩国,133,6.7,2.96,17.47
M1235,电影-0235,2021,2021-01-10,悬疑,导演-35,韩国,115,8.3,0.27,0.91
M1236,电影-0236,2020,2020-01-07,动画,导演-10,中国,100,6.2,1.82,10.09
M1237,电影-0237,2020,2020-09-23,动画,导演-51,英国,174,7.5,1.31,5.42
M1238,电影-0238,2022,2022-06-06,动画,导演-48,法国,99,7.0,0.36,2.49
M1239,电影-0239,2022,2022-12-23,动画,导演-51,英国,166,7.2,2.8,21.77
M1240,电影-0240,2024,2024-08-23,剧情,导演-22,美国,163,6.8,1.07,2.73
M1241,电影-0241,2021,2021-04-09,科幻,导演-7,中国,87,8.8,1.68,5.64
M1242,电影-0242,2023,2023-07-12,悬疑,导演-5,中国,154,7.3,0.6,3.14
M1243,电影-0243,2020,2020-01-03,爱情,导演-12,中国,121,7.0,2.1,16.07
M1244,电影-0244,2023,2023-09-06,悬疑,导演-57,美国,93,6.0,0.6,1.78
M1245,电影-0245,2024,2024-09-13,剧情,导演-65,中国,174,7.8,0.47,3.73
M1246,电影-0246,2024,2024-06-16,纪录片,导演-44,美国,173,7.5,0.77,2.19
M1247,电影-0247,2024,2024-04-16,悬疑,导演-80,中国,149,4.2,2.13,5.26
M1248,电影-0248,2021,2021-07-02,喜剧,导演-19,法国,100,6.1,2.76,15.97
M1249,电影-0249,2023,2023-01-18,悬疑,导演-50,法国,84,4.8,0.45,1.63
M1250,电影-0250,2022,2022-11-16,喜剧,导演-4,日本,116,6.5,2.99,7.62
M1251,电影-0251,2021,2021-11-23,剧情,导演-56,中国,116,5.9,1.64,12.11
M1252,电影-0252,2022,2022-03-11,动作,导演-5,美国,123,8.4,1.65,8.18
M1253,电影-0253,2020,2020-05-07,喜剧,导演-17,美国,172,6.2,2.93,9.37
M1254,电影-0254,2021,2021-08-05,剧情,导演-59,美国,98,6.1,0.75,3.27
M1255,电影-0255,2024,2024-12-26,爱情,导演-30,韩国,179,7.4,1.26,7.52
M1256,电影-0256,2022,2022-06-17,科幻,导演-46,法国,80,7.4,0.04,0.19
M1257,电影-0257,2023,2023-03-24,纪录片,导演-38,美国,162,9.5,0.33,2.48
M1258,电影-0258,2023,2023-05-11,动作,导演-67,美国,106,8.0,0.7,1.95
M1259,电影-0259,2024,2024-04-16,动作,导演-74,美国,130,6.3,0.99,4.88
M1260,电影-0260,2022,2022-10-09,爱情,导演-77,日本,153,6.5,0.35,2.36
M1261,电影-0261,2024,2024-02-19,悬疑,导演-4,日本,115,6.8,0.57,2.08
M1262,电影-0262,2023,2023-06-19,爱情,导演-59,韩国,103,6.9,0.35,1.07
M1263,电影-0263,2020,2020-03-01,剧情,导演-12,中国,156,6.1,1.03,3.75
M1264,电影-0264,2023,2023-03-02,动作,导演-2,韩国,172,6.7,0.01,0.07
M1265,电影-0265,2023,2023-12-24,爱情,导演-47,中国,116,7.7,0.4,2.43
M1266,电影-0266,2020,2020-02-06,动作,导演-34,日本,169,7.1,0.38,1.43
M1267,电影-0267,2022,2022-05-24,喜剧,导演-54,美国,99,8.4,1.55,6.82
M1268,电影-0268,2023,2023-02-01,喜剧,导演-41,法国,155,5.6,0.42,3.0
M1269,电影-0269,2022,2022-03-18,悬疑,导演-68,美国,82,8.0,2.83,10.17
M1270,电影-0270,2023,2023-12-07,动画,导演-58,法国,128,5.1,1.34,6.07
M1271,电影-0271,2024,2024-05-04,悬疑,导演-76,法国,94,6.4,4.52,26.91
M1272,电影-0272,2020,2020-02-16,纪录片,导演-16,美国,112,6.3,0.53,2.22
M1273,电影-0273,2023,2023-04-07,科幻,导演-57,日本,157,6.9,0.17,0.78
M1274,电影-0274,2023,2023-09-20,纪录片,导演-11,韩国,172,6.9,0.64,3.16
M1275,电影-0275,2021,2021-03-12,爱情,导演-59,美国,139,8.7,1.1,8.27
M1276,电影-0276,2024,2024-07-26,悬疑,导演-52,日本,101,9.3,0.02,0.12
M1277,电影-0277,2021,2021-12-18,科幻,导演-20,美国,108,6.1,0.02,0.06
M1278,电影-0278,2022,2022-11-17,科幻,导演-5,英国,136,7.8,0.25,0.98
M1279,电影-0279,2022,2022-07-08,剧情,导演-21,法国,175,7.0,1.19,7.26
M1280,电影-0280,2020,2020-05-21,动作,导演-47,法国,117,7.1,2.88,7.53
M1281,电影-0281,2020,2020-02-20,动画,导演-42,韩国,90,6.5,4.5,25.06
M1282,电影-0282,2022,2022-04-18,喜剧,导演-55,美国,117,6.6,1.4,9.61
M1283,电影-0283,2022,2022-09-02,动画,导演-48,美国,156,6.4,2.21,13.89
M1284,电影-0284,2022,2022-10-06,动作,导演-42,中国,108,8.1,0.49,2.4
M1285,电影-0285,2021,2021-11-27,爱情,导演-7,中国,105,7.6,0.55,1.56
M1286,电影-0286,2022,2022-01-04,剧情,导演-31,法国,146,6.9,1.09,6.57
M1287,电影-0287,2023,2023-03-07,科幻,导演-40,英国,147,8.3,0.13,0.28
M1288,电影-0288,2022,2022-03-14,爱情,导演-43,美国,120,5.9,1.13,7.41
M1289,电影-0289,2022,2022-04-18,科幻,导演-52,英国,134,8.4,2.41,7.45
M1290,电影-0290,2021,2021-11-05,动画,导演-63,法国,173,6.8,1.93,12.47
M1291,电影-0291,2021,2021-03-24,纪录片,导演-77,法国,136,8.2,2.67,8.92
M1292,电影-0292,2023,2023-05-18,动作,导演-67,英国,82,6.9,1.36,5.84
M1293,电影-0293,2021,2021-11-08,科幻,导演-60,韩国,97,7.2,1.91,4.13
M1294,电影-0294,2023,2023-04-20,剧情,导演-30,英国,172,7.9,0.97,7.18
M1295,电影-0295,2022,2022-08-18,爱情,导演-19,英国,120,8.7,4.14,13.81
M1296,电影-0296,2023,2023-08-12,纪录片,导演-36,日本,134,5.0,3.17,11.08
M1297,电影-0297,2022,2022-05-02,喜剧,导演-31,韩国,113,6.9,5.5,28.6
M1298,电影-0298,2020,2020-10-27,动画,导演-19,日本,135,6.4,0.27,1.12
M1299,电影-0299,2024,2024-09-01,科幻,导演-33,中国,165,8.8,2.28,4.6
