sku_id,sku_name,category,warehouse_id,stock_qty,reorder_point,unit_cost,last_restock_date,turnover_days,is_low_stock
SKU30031,商品-0031,食品,W06,64,83,80.9,2026-04-20,15.1,0
SKU30032,商品-0032,运动,W08,103,91,47.17,2026-01-27,48.9,0
SKU30033,商品-0033,运动,W07,366,32,205.85,2026-02-16,51.3,0
SKU30034,商品-0034,食品,W10,55,69,432.75,2026-04-11,44.3,0
SKU30035,商品-0035,食品,W01,127,78,398.7,2026-03-14,21.5,0
SKU30036,商品-0036,美妆,W03,433,80,69.69,2026-04-26,29.7,0
SKU30037,商品-0037,美妆,W05,296,92,322.36,2026-04-24,59.4,0
SKU30038,商品-0038,母婴,W05,52,84,465.29,2026-01-18,68.4,0
SKU30039,商品-0039,运动,W05,69,40,9.67,2026-02-25,40.6,1
SKU30040,商品-0040,电子,W07,8,79,142.54,2026-03-07,15.2,0
SKU30041,商品-0041,图书,W06,469,88,288.93,2026-01-16,70.9,0
SKU30042,商品-0042,母婴,W04,139,76,426.84,2026-01-16,11.0,0
SKU30043,商品-0043,美妆,W08,1010,56,73.1,2026-01-22,14.8,0
SKU30044,商品-0044,母婴,W03,73,89,49.93,2026-04-24,47.5,0
SKU30045,商品-0045,美妆,W03,132,24,180.94,2026-02-15,63.5,0
SKU30046,商品-0046,电子,W07,71,65,63.01,2026-02-10,11.9,0
SKU30047,商品-0047,服装,W10,323,70,113.44,2026-05-01,82.1,0
SKU30048,商品-0048,美妆,W01,470,96,106.33,2026-01-10,28.3,0
SKU30049,商品-0049,服装,W03,100,59,414.33,2026-02-17,37.1,0
SKU30050,商品-0050,运动,W02,216,28,208.68,2026-04-23,82.3,0
SKU30051,商品-0051,运动,W04,63,90,122.73,2026-03-13,26.8,0
SKU30052,商品-0052,家居,W10,113,95,452.62,2026-01-05,65.6,0
SKU30053,商品-0053,家居,W03,198,56,368.03,2026-01-06,53.0,0
SKU30054,商品-0054,电子,W02,24,39,471.4,2026-02-10,79.1,0
SKU30055,商品-0055,食品,W09,88,94,315.69,2026-04-16,68.2,0
SKU30056,商品-0056,图书,W02,661,57,94.72,2026-01-23,24.0,0
SKU30057,商品-0057,食品,W01,282,79,345.41,2026-04-09,64.0,0
SKU30058,商品-0058,图书,W06,246,34,44.6,2026-01-25,14.3,0
SKU30059,商品-0059,母婴,W07,95,54,85.73,2026-01-11,37.9,0
SKU30060,商品-0060,母婴,W08,128,73,377.15,2026-01-28,50.4,0
SKU30061,商品-0061,母婴,W03,253,64,174.69,2026-02-06,12.6,0
SKU30062,商品-0062,食品,W04,131,53,326.26,2026-03-22,65.5,0
SKU30063,商品-0063,母婴,W06,298,85,24.13,2026-03-17,88.3,0
SKU30064,商品-0064,母婴,W08,39,23,479.57,2026-02-24,67.0,1
SKU30065,商品-0065,服装,W07,524,84,488.01,2026-03-27,70.2,0
SKU30066,商品-0066,电子,W06,139,86,48.85,2026-03-29,76.1,0
SKU30067,商品-0067,电子,W04,897,99,231.88,2026-01-30,72.4,0
SKU30068,商品-0068,电子,W06,141,62,291.6,2026-02-22,78.5,0
SKU30069,商品-0069,运动,W02,38,25,207.17,2026-02-20,77.2,0
SKU30070,商品-0070,美妆,W04,36,61,349.57,2026-02-19,48.6,0
SKU30071,商品-0071,电子,W05,251,42,140.41,2026-03-15,50.1,1
SKU30072,商品-0072,运动,W10,34,43,61.37,2026-04-26,33.2,1
SKU30073,商品-0073,服装,W10,24,50,237.79,2026-01-28,31.0,0
SKU30074,商品-0074,图书,W02,327,38,442.96,2026-01-11,15.6,0
SKU30075,商品-0075,美妆,W02,157,92,438.93,2026-01-21,17.9,0
SKU30076,商品-0076,服装,W08,88,61,428.96,2026-03-04,18.0,0
SKU30077,商品-0077,电子,W06,247,27,325.0,2026-03-14,18.1,0
SKU30078,商品-0078,电子,W08,64,40,166.52,2026-03-04,43.9,1
SKU30079,商品-0079,服装,W10,251,96,264.86,2026-01-07,32.1,0
SKU30080,商品-0080,运动,W07,126,83,496.39,2026-01-08,72.4,0
SKU30081,商品-0081,母婴,W04,403,93,254.56,2026-01-09,43.4,0
SKU30082,商品-0082,食品,W07,37,76,442.3,2026-03-28,81.8,0
SKU30083,商品-0083,母婴,W05,254,83,474.91,2026-01-11,64.3,0
SKU30084,商品-0084,图书,W09,213,43,345.95,2026-02-19,34.8,0
SKU30085,商品-0085,图书,W08,118,91,251.11,2026-02-14,15.9,1
SKU30086,商品-0086,服装,W03,681,46,284.39,2026-04-15,18.1,0
SKU30087,商品-0087,服装,W04,160,38,94.29,2026-01-01,18.7,0
SKU30088,商品-0088,母婴,W09,202,47,183.12,2026-04-10,69.7,0
SKU30089,商品-0089,食品,W10,557,66,15.2,2026-02-19,51.9,0
SKU30090,商品-0090,母婴,W08,93,37,484.39,2026-04-04,32.5,1
SKU30091,商品-0091,图书,W09,77,84,305.92,2026-03-11,40.1,1
SKU30092,商品-0092,家居,W06,97,68,286.16,2026-02-07,36.8,0
SKU30093,商品-0093,图书,W09,61,35,168.53,2026-02-04,43.0,0
SKU30094,商品-0094,美妆,W07,51,86,41.25,2026-04-18,35.4,0
SKU30095,商品-0095,图书,W09,602,48,424.78,2026-03-13,86.9,1
SKU30096,商品-0096,家居,W04,145,82,216.86,2026-03-19,53.2,1
SKU30097,商品-0097,母婴,W02,133,52,475.6,2026-01-04,52.7,0
SKU30098,商品-0098,家居,W05,43,34,485.74,2026-02-15,35.2,0
SKU30099,商品-0099,运动,W01,209,23,201.38,2026-03-04,80.7,0
SKU30100,商品-0100,运动,W05,20,88,222.37,2026-04-04,24.9,0
SKU30101,商品-0101,母婴,W04,132,26,306.69,2026-03-21,16.7,1
SKU30102,商品-0102,母婴,W09,118,83,27.95,2026-01-14,32.1,0
SKU30103,商品-0103,图书,W02,84,71,259.57,2026-03-04,38.4,0
SKU30104,商品-0104,美妆,W05,490,71,388.48,2026-01-30,58.0,0
SKU30105,商品-0105,美妆,W10,328,38,261.94,2026-03-20,24.9,0
SKU30106,商品-0106,服装,W04,99,39,347.91,2026-04-04,18.0,0
SKU30107,商品-0107,服装,W10,371,77,52.48,2026-02-10,68.1,0
SKU30108,商品-0108,母婴,W10,95,92,156.77,2026-03-15,35.0,0
SKU30109,商品-0109,运动,W06,57,70,103.88,2026-04-30,27.8,1
SKU30110,商品-0110,家居,W01,215,29,5.41,2026-03-05,80.5,0
SKU30111,商品-0111,美妆,W02,250,86,247.9,2026-02-14,40.2,0
SKU30112,商品-0112,母婴,W08,795,27,55.87,2026-01-03,38.9,0
SKU30113,商品-0113,家居,W02,78,31,436.4,2026-02-15,48.4,0
SKU30114,商品-0114,图书,W04,84,95,80.39,2026-04-27,43.0,1
SKU30115,商品-0115,家居,W07,218,35,458.27,2026-02-09,22.1,0
SKU30116,商品-0116,图书,W06,56,87,41.38,2026-04-08,70.9,0
SKU30117,商品-0117,运动,W10,903,69,411.3,2026-01-20,88.4,0
SKU30118,商品-0118,图书,W10,942,48,394.22,2026-02-04,75.8,0
SKU30119,商品-0119,图书,W10,335,93,414.8,2026-04-17,55.3,0
SKU30120,商品-0120,图书,W10,282,41,223.11,2026-01-30,72.2,0
SKU30121,商品-0121,美妆,W05,27,98,471.43,2026-04-07,78.4,0
SKU30122,商品-0122,运动,W05,259,79,488.93,2026-01-13,60.6,1
SKU30123,商品-0123,母婴,W04,188,32,194.33,2026-02-15,62.4,0
SKU30124,商品-0124,食品,W09,276,38,409.39,2026-04-19,16.5,0
SKU30125,商品-0125,电子,W04,57,67,311.74,2026-03-05,83.0,1
SKU30126,商品-0126,运动,W05,257,51,303.78,2026-01-19,74.0,0
SKU30127,商品-0127,服装,W06,178,67,370.12,2026-04-06,19.2,0
SKU30128,商品-0128,美妆,W03,22,68,226.68,2026-03-30,16.9,0
SKU30129,商品-0129,运动,W04,384,91,107.69,2026-03-30,12.0,0
SKU30130,商品-0130,母婴,W06,107,63,226.0,2026-01-05,27.6,0
SKU30131,商品-0131,食品,W03,42,53,229.53,2026-02-05,52.9,0
SKU30132,商品-0132,运动,W10,45,45,491.82,2026-04-28,43.2,0
SKU30133,商品-0133,家居,W05,57,99,214.52,2026-04-21,67.9,0
SKU30134,商品-0134,母婴,W09,660,27,263.81,2026-04-23,19.4,0
SKU30135,商品-0135,母婴,W02,313,93,315.99,2026-04-07,68.6,0
SKU30136,商品-0136,图书,W03,32,52,30.24,2026-04-05,65.6,1
SKU30137,商品-0137,食品,W10,417,56,407.96,2026-03-11,74.0,0
SKU30138,商品-0138,运动,W04,107,26,434.86,2026-02-12,74.9,1
SKU30139,商品-0139,电子,W09,55,64,386.97,2026-03-19,30.6,0
SKU30140,商品-0140,运动,W03,9,69,372.45,2026-02-01,15.0,0
SKU30141,商品-0141,母婴,W09,464,35,21.61,2026-02-10,59.2,0
SKU30142,商品-0142,电子,W10,295,86,356.29,2026-01-31,46.8,1
SKU30143,商品-0143,图书,W10,112,33,191.31,2026-03-06,76.2,0
SKU30144,商品-0144,母婴,W05,212,46,416.57,2026-03-03,31.5,0
SKU30145,商品-0145,母婴,W05,123,60,213.45,2026-03-23,42.2,1
SKU30146,商品-0146,食品,W09,53,97,310.4,2026-01-29,38.0,0
SKU30147,商品-0147,电子,W09,38,47,111.39,2026-03-22,14.2,0
SKU30148,商品-0148,运动,W10,6,37,311.5,2026-04-03,9.1,0
SKU30149,商品-0149,家居,W04,7,38,494.05,2026-01-30,16.3,0
SKU30150,商品-0150,服装,W08,336,61,489.74,2026-01-14,77.4,0
SKU30151,商品-0151,家居,W06,148,21,397.21,2026-02-24,35.2,0
SKU30152,商品-0152,服装,W06,52,69,189.38,2026-01-12,16.6,0
SKU30153,商品-0153,家居,W06,262,73,148.24,2026-02-26,31.4,0
SKU30154,商品-0154,食品,W09,103,98,202.6,2026-04-19,10.1,0
SKU30155,商品-0155,服装,W01,124,55,375.55,2026-03-21,65.9,0
SKU30156,商品-0156,服装,W02,245,100,227.91,2026-02-12,80.8,0
SKU30157,商品-0157,家居,W04,124,22,248.82,2026-03-20,13.3,1
SKU30158,商品-0158,家居,W04,282,50,389.04,2026-02-13,8.2,0
SKU30159,商品-0159,家居,W05,100,96,219.19,2026-01-14,16.1,0
SKU30160,商品-0160,图书,W06,724,73,16.48,2026-04-01,39.7,1
SKU30161,商品-0161,食品,W03,176,85,255.59,2026-04-08,11.1,0
SKU30162,商品-0162,美妆,W08,21,64,482.43,2026-03-22,40.0,0
SKU30163,商品-0163,家居,W04,201,57,405.54,2026-04-14,50.7,0
SKU30164,商品-0164,电子,W04,330,20,467.25,2026-03-06,66.0,1
SKU30165,商品-0165,服装,W06,68,76,333.7,2026-01-03,40.5,0
SKU30166,商品-0166,美妆,W04,140,67,204.78,2026-01-07,57.9,0
SKU30167,商品-0167,图书,W10,343,43,302.66,2026-04-24,85.3,1
SKU30168,商品-0168,母婴,W01,442,95,52.31,2026-04-29,40.6,0
SKU30169,商品-0169,运动,W03,197,55,169.15,2026-03-20,74.9,0
SKU30170,商品-0170,食品,W07,47,69,292.54,2026-03-08,83.3,0
SKU30171,商品-0171,运动,W03,309,65,280.23,2026-04-02,14.4,0
SKU30172,商品-0172,母婴,W01,439,56,17.39,2026-04-09,73.2,0
SKU30173,商品-0173,家居,W08,61,71,238.52,2026-02-16,32.9,0
SKU30174,商品-0174,食品,W08,886,78,358.86,2026-03-16,68.3,0
SKU30175,商品-0175,食品,W09,219,36,195.39,2026-03-08,61.6,0
SKU30176,商品-0176,服装,W02,320,78,54.18,2026-01-07,16.6,0
SKU30177,商品-0177,食品,W09,495,51,141.23,2026-04-30,12.0,0
SKU30178,商品-0178,电子,W03,816,69,67.41,2026-01-26,60.1,0
SKU30179,商品-0179,母婴,W09,134,27,42.7,2026-04-12,12.6,0
SKU30180,商品-0180,运动,W08,37,71,469.66,2026-02-19,21.6,0
SKU30181,商品-0181,家居,W04,94,40,368.75,2026-03-25,48.0,0
SKU30182,商品-0182,食品,W01,44,89,267.77,2026-01-24,41.9,0
SKU30183,商品-0183,图书,W03,9,68,69.82,2026-03-20,54.9,1
SKU30184,商品-0184,运动,W07,90,49,84.18,2026-03-03,49.3,0
SKU30185,商品-0185,服装,W06,16,64,141.91,2026-03-14,7.0,0
SKU30186,商品-0186,美妆,W04,309,60,492.33,2026-01-16,56.1,1
SKU30187,商品-0187,食品,W10,87,65,44.49,2026-02-03,36.0,0
SKU30188,商品-0188,服装,W07,73,59,339.41,2026-02-27,59.6,0
SKU30189,商品-0189,家居,W07,556,83,383.64,2026-04-27,63.8,0
SKU30190,商品-0190,电子,W05,99,81,113.3,2026-01-21,85.3,1
SKU30191,商品-0191,图书,W05,425,86,363.07,2026-02-19,52.1,0
SKU30192,商品-0192,母婴,W07,121,23,488.4,2026-01-02,56.4,0
SKU30193,商品-0193,电子,W07,45,22,453.96,2026-02-22,37.0,0
SKU30194,商品-0194,图书,W03,312,46,302.13,2026-01-12,76.4,0
SKU30195,商品-0195,食品,W10,35,69,177.72,2026-03-17,68.4,1
SKU30196,商品-0196,食品,W06,20,95,411.82,2026-04-16,49.4,0
SKU30197,商品-0197,美妆,W05,135,36,44.77,2026-01-26,35.8,0
SKU30198,商品-0198,食品,W01,79,86,97.15,2026-01-04,13.2,0
SKU30199,商品-0199,图书,W01,126,98,50.8,2026-03-06,44.7,0
SKU30200,商品-0200,运动,W07,224,37,310.04,2026-01-03,53.5,0
SKU30201,商品-0201,图书,W05,76,32,294.7,2026-02-23,7.3,0
SKU30202,商品-0202,美妆,W09,176,83,304.42,2026-04-04,11.2,0
SKU30203,商品-0203,美妆,W08,188,68,282.25,2026-03-26,38.0,1
SKU30204,商品-0204,食品,W01,438,79,427.04,2026-01-31,60.4,0
SKU30205,商品-0205,母婴,W04,566,92,247.03,2026-04-07,31.6,0
SKU30206,商品-0206,服装,W10,654,46,294.15,2026-04-16,70.8,0
SKU30207,商品-0207,食品,W08,522,89,54.19,2026-03-30,38.7,0
SKU30208,商品-0208,食品,W05,382,48,466.22,2026-03-30,18.4,0
SKU30209,商品-0209,图书,W05,124,52,390.7,2026-04-18,58.7,0
SKU30210,商品-0210,服装,W05,74,69,375.06,2026-04-19,78.4,0
SKU30211,商品-0211,母婴,W06,270,99,127.67,2026-04-25,27.8,0
SKU30212,商品-0212,运动,W05,122,35,427.36,2026-01-12,78.6,0
SKU30213,商品-0213,美妆,W06,1069,82,83.89,2026-03-31,65.9,1
SKU30214,商品-0214,家居,W03,181,98,384.75,2026-04-25,51.8,1
SKU30215,商品-0215,图书,W10,159,37,200.53,2026-03-18,73.6,0
SKU30216,商品-0216,母婴,W02,446,49,91.5,2026-04-09,88.5,0
SKU30217,商品-0217,电子,W10,59,40,355.64,2026-02-08,87.0,0
SKU30218,商品-0218,家居,W05,62,97,474.17,2026-02-13,81.0,0
SKU30219,商品-0219,运动,W06,272,45,348.39,2026-01-08,45.7,0
SKU30220,商品-0220,美妆,W07,206,28,382.65,2026-04-27,7.3,0
SKU30221,商品-0221,母婴,W07,195,45,452.28,2026-04-27,87.2,0
SKU30222,商品-0222,母婴,W01,69,43,384.61,2026-02-03,60.2,0
SKU30223,商品-0223,食品,W01,94,24,107.28,2026-02-12,82.8,1
SKU30224,商品-0224,电子,W05,98,51,392.34,2026-03-10,71.4,0
SKU30225,商品-0225,电子,W01,20,46,324.94,2026-01-01,82.0,0
SKU30226,商品-0226,食品,W02,12,22,255.99,2026-03-09,18.6,0
SKU30227,商品-0227,运动,W08,522,71,43.29,2026-04-21,89.0,0
SKU30228,商品-0228,食品,W04,332,67,472.94,2026-03-17,77.4,0
SKU30229,商品-0229,图书,W08,620,84,336.22,2026-02-18,47.9,0
SKU30230,商品-0230,服装,W08,266,49,490.57,2026-02-28,32.5,0
SKU30231,商品-0231,电子,W04,324,66,387.06,2026-01-18,64.8,1
SKU30232,商品-0232,电子,W04,162,84,273.0,2026-01-03,15.2,0
SKU30233,商品-0233,家居,W10,272,86,10.68,2026-01-18,16.1,0
SKU30234,商品-0234,电子,W02,13,23,290.58,2026-03-01,22.0,0
SKU30235,商品-0235,服装,W04,87,91,434.78,2026-03-20,87.4,0
SKU30236,商品-0236,服装,W09,91,61,322.13,2026-01-22,68.2,0
SKU30237,商品-0237,食品,W04,109,39,172.16,2026-03-08,76.7,0
SKU30238,商品-0238,家居,W08,13,81,95.7,2026-02-09,58.7,0
SKU30239,商品-0239,家居,W09,523,52,87.81,2026-04-28,65.5,0
SKU30240,商品-0240,运动,W07,68,48,76.91,2026-02-11,41.2,0
SKU30241,商品-0241,美妆,W05,249,51,14.59,2026-01-25,12.2,0
SKU30242,商品-0242,食品,W08,343,61,308.01,2026-02-05,28.3,0
SKU30243,商品-0243,母婴,W01,49,76,494.42,2026-01-07,25.0,0
SKU30244,商品-0244,运动,W06,69,62,472.84,2026-04-30,67.4,0
SKU30245,商品-0245,母婴,W04,152,25,246.13,2026-04-24,87.2,0
SKU30246,商品-0246,服装,W07,289,92,428.87,2026-01-26,83.8,0
SKU30247,商品-0247,运动,W01,71,52,227.88,2026-01-29,83.3,0
SKU30248,商品-0248,电子,W03,343,80,440.01,2026-04-24,88.8,0
SKU30249,商品-0249,运动,W10,113,79,256.08,2026-01-28,83.9,1
SKU30250,商品-0250,电子,W05,702,53,126.47,2026-04-17,13.2,0
SKU30251,商品-0251,电子,W05,499,90,99.01,2026-03-29,39.9,0
SKU30252,商品-0252,美妆,W08,111,44,52.25,2026-03-18,62.1,0
SKU30253,商品-0253,母婴,W07,169,32,184.06,2026-01-25,89.2,0
SKU30254,商品-0254,食品,W07,42,20,259.35,2026-01-06,26.7,0
SKU30255,商品-0255,运动,W04,516,60,232.34,2026-01-28,11.3,1
SKU30256,商品-0256,食品,W09,191,82,325.32,2026-02-03,10.8,0
SKU30257,商品-0257,食品,W03,310,92,24.2,2026-03-15,67.7,0
SKU30258,商品-0258,服装,W07,331,28,358.41,2026-03-02,76.5,0
SKU30259,商品-0259,家居,W08,463,65,176.65,2026-03-17,41.1,0
SKU30260,商品-0260,运动,W03,31,77,149.0,2026-01-06,15.4,1
SKU30261,商品-0261,服装,W03,30,80,298.81,2026-03-15,72.8,0
SKU30262,商品-0262,美妆,W05,3,79,128.17,2026-04-27,10.6,0
SKU30263,商品-0263,母婴,W10,669,41,422.74,2026-03-27,46.7,1
SKU30264,商品-0264,家居,W08,69,43,14.64,2026-03-15,65.0,1
SKU30265,商品-0265,食品,W03,197,47,170.6,2026-04-19,66.7,0
SKU30266,商品-0266,家居,W10,110,86,408.56,2026-01-22,72.4,0
SKU30267,商品-0267,服装,W06,137,29,106.14,2026-02-16,72.7,0
SKU30268,商品-0268,美妆,W05,199,95,154.13,2026-03-19,70.0,0
SKU30269,商品-0269,美妆,W05,437,34,131.48,2026-03-15,76.0,1
SKU30270,商品-0270,电子,W06,48,96,242.49,2026-01-22,61.1,0
SKU30271,商品-0271,图书,W05,310,92,61.69,2026-01-06,60.2,0
SKU30272,商品-0272,家居,W01,169,85,405.78,2026-04-21,90.0,0
SKU30273,商品-0273,美妆,W10,691,91,96.44,2026-01-08,52.2,0
SKU30274,商品-0274,电子,W03,341,51,205.41,2026-04-26,8.6,0
SKU30275,商品-0275,食品,W05,327,69,480.77,2026-04-28,31.7,0
SKU30276,商品-0276,食品,W06,414,21,252.11,2026-03-26,61.1,0
SKU30277,商品-0277,运动,W10,225,74,134.2,2026-01-16,24.8,0
SKU30278,商品-0278,运动,W06,63,26,495.45,2026-02-08,27.0,0
SKU30279,商品-0279,家居,W05,110,36,204.62,2026-02-03,12.7,0
SKU30280,商品-0280,美妆,W02,268,68,22.2,2026-02-05,16.3,0
SKU30281,商品-0281,服装,W06,111,33,364.47,2026-03-23,17.4,0
SKU30282,商品-0282,电子,W09,35,48,342.68,2026-03-04,52.4,0
SKU30283,商品-0283,母婴,W01,765,45,83.37,2026-04-12,21.4,1
SKU30284,商品-0284,服装,W10,117,56,495.97,2026-03-30,42.0,0
SKU30285,商品-0285,运动,W07,103,48,472.73,2026-03-12,54.3,0
SKU30286,商品-0286,运动,W04,7,87,237.82,2026-02-23,20.4,0
SKU30287,商品-0287,图书,W05,232,65,290.54,2026-04-20,66.9,1
SKU30288,商品-0288,母婴,W10,3,58,398.77,2026-02-06,55.1,0
SKU30289,商品-0289,电子,W06,548,83,33.11,2026-02-21,24.9,0
SKU30290,商品-0290,运动,W01,535,97,242.84,2026-02-07,60.5,0
SKU30291,商品-0291,母婴,W04,66,90,47.11,2026-03-20,70.9,0
SKU30292,商品-0292,电子,W04,0,55,419.13,2026-01-11,78.2,0
SKU30293,商品-0293,服装,W01,289,76,26.05,2026-03-21,37.8,1
SKU30294,商品-0294,美妆,W05,349,100,393.94,2026-04-20,39.0,0
SKU30295,商品-0295,电子,W01,66,83,126.14,2026-02-07,80.9,0
SKU30296,商品-0296,图书,W06,21,60,6.18,2026-04-27,54.4,1
SKU30297,商品-0297,图书,W01,373,55,92.29,2026-02-18,17.7,0
SKU30298,商品-0298,图书,W09,130,99,153.92,2026-04-24,21.2,0
SKU30299,商品-0299,图书,W10,252,59,258.47,2026-03-30,54.6,0
SKU30300,商品-0300,服装,W04,277,56,433.76,2026-04-30,26.6,0
SKU30301,商品-0301,图书,W03,89,62,238.26,2026-02-25,12.9,0
SKU30302,商品-0302,运动,W04,1,72,198.97,2026-04-09,13.3,0
SKU30303,商品-0303,服装,W08,210,87,251.05,2026-01-07,72.8,1
SKU30304,商品-0304,运动,W10,186,44,117.52,2026-02-03,74.8,0
SKU30305,商品-0305,图书,W08,17,59,341.93,2026-01-15,74.6,0
SKU30306,商品-0306,美妆,W04,24,21,42.81,2026-03-24,43.7,0
SKU30307,商品-0307,美妆,W01,285,22,498.15,2026-04-14,46.1,0
SKU30308,商品-0308,运动,W07,62,92,360.75,2026-02-16,68.7,0
SKU30309,商品-0309,图书,W07,159,30,389.84,2026-03-22,14.1,0
SKU30310,商品-0310,图书,W02,69,25,359.54,2026-03-12,78.9,1
SKU30311,商品-0311,服装,W05,246,57,96.8,2026-03-26,85.1,0
SKU30312,商品-0312,食品,W09,72,56,308.1,2026-01-25,68.1,0
SKU30313,商品-0313,电子,W06,150,92,251.56,2026-02-15,80.7,0
SKU30314,商品-0314,运动,W05,83,84,194.14,2026-02-06,49.2,0
SKU30315,商品-0315,美妆,W02,50,90,273.04,2026-02-28,70.9,0
SKU30316,商品-0316,食品,W03,57,78,160.72,2026-03-01,65.2,0
SKU30317,商品-0317,家居,W09,807,67,266.13,2026-02-23,37.6,0
SKU30318,商品-0318,图书,W06,88,29,157.29,2026-04-13,68.7,0
SKU30319,商品-0319,运动,W05,416,92,499.5,2026-03-05,22.6,0
SKU30320,商品-0320,家居,W02,137,28,40.69,2026-03-13,16.9,1
SKU30321,商品-0321,食品,W08,72,28,239.54,2026-04-26,19.7,0
SKU30322,商品-0322,家居,W06,53,96,200.99,2026-04-16,28.7,0
SKU30323,商品-0323,食品,W02,8,64,321.3,2026-04-06,70.0,0
SKU30324,商品-0324,电子,W10,29,98,191.42,2026-04-13,13.8,0
SKU30325,商品-0325,图书,W10,91,20,97.45,2026-01-24,89.9,0
SKU30326,商品-0326,食品,W01,51,90,118.5,2026-03-19,15.3,0
SKU30327,商品-0327,运动,W03,497,64,21.46,2026-04-09,55.9,0
SKU30328,商品-0328,电子,W07,205,62,322.62,2026-01-30,28.7,0
SKU30329,商品-0329,母婴,W10,38,56,115.69,2026-03-08,64.0,0
SKU30330,商品-0330,家居,W08,227,34,180.88,2026-04-03,70.2,0
SKU30331,商品-0331,美妆,W10,460,38,432.65,2026-02-02,7.7,0
SKU30332,商品-0332,家居,W08,208,38,31.14,2026-03-24,22.0,0
SKU30333,商品-0333,服装,W06,140,77,162.13,2026-03-11,57.1,0
SKU30334,商品-0334,电子,W08,350,30,123.79,2026-04-30,89.2,0
SKU30335,商品-0335,食品,W07,30,99,496.24,2026-02-26,18.2,0
SKU30336,商品-0336,食品,W03,56,84,128.88,2026-02-28,81.7,0
SKU30337,商品-0337,母婴,W09,286,85,37.71,2026-01-11,19.0,0
SKU30338,商品-0338,图书,W04,59,62,209.58,2026-02-20,57.2,0
SKU30339,商品-0339,图书,W02,368,25,71.19,2026-03-16,86.7,0
SKU30340,商品-0340,服装,W04,546,38,392.76,2026-02-12,33.5,0
SKU30341,商品-0341,美妆,W02,417,49,179.98,2026-01-04,44.7,0
SKU30342,商品-0342,电子,W10,415,48,19.51,2026-01-17,20.9,0
SKU30343,商品-0343,服装,W10,48,76,185.61,2026-02-13,74.3,0
SKU30344,商品-0344,美妆,W09,55,24,269.08,2026-01-01,38.8,0
SKU30345,商品-0345,服装,W03,457,57,237.39,2026-03-31,53.8,0
SKU30346,商品-0346,母婴,W02,31,99,392.32,2026-02-19,48.4,1
SKU30347,商品-0347,服装,W01,235,37,88.52,2026-04-20,62.8,1
SKU30348,商品-0348,运动,W07,65,44,8.14,2026-03-20,77.7,1
SKU30349,商品-0349,运动,W01,29,39,478.46,2026-03-25,12.5,0
SKU30350,商品-0350,美妆,W05,83,61,407.19,2026-04-23,68.6,0
SKU30351,商品-0351,美妆,W05,84,94,18.07,2026-04-15,52.9,0
SKU30352,商品-0352,服装,W06,117,24,259.57,2026-01-03,33.9,0
