dept_id,dept_name,month,year,period,category,budget,actual,variance,variance_pct
D03,市场部,11,2024,2024Q4,差旅,866.6,875.5,8.9,1.03
D03,市场部,12,2024,2024Q4,其他,408.4,427.5,19.1,4.68
D03,市场部,1,2025,2025Q1,其他,256.2,222.2,-34.0,-13.27
D03,市场部,2,2025,2025Q1,设备,611.4,532.2,-79.2,-12.95
D03,市场部,3,2025,2025Q1,设备,475.2,418.3,-56.9,-11.97
D03,市场部,4,2025,2025Q2,其他,1009.8,887.7,-122.1,-12.09
D03,市场部,5,2025,2025Q2,人力成本,1333.3,1460.5,127.2,9.54
D03,市场部,6,2025,2025Q2,营销,1267.6,1239.1,-28.5,-2.25
D03,市场部,7,2025,2025Q3,人力成本,736.3,674.2,-62.1,-8.43
D03,市场部,8,2025,2025Q3,其他,259.0,256.0,-3.0,-1.16
D03,市场部,9,2025,2025Q3,差旅,960.8,927.9,-32.9,-3.42
D03,市场部,10,2025,2025Q4,设备,253.3,236.8,-16.5,-6.51
D03,市场部,11,2025,2025Q4,其他,581.0,549.2,-31.8,-5.47
D03,市场部,12,2025,2025Q4,设备,1391.0,1396.8,5.8,0.42
D03,市场部,1,2026,2026Q1,差旅,1106.3,1093.6,-12.7,-1.15
D03,市场部,2,2026,2026Q1,其他,1125.8,1200.7,74.9,6.65
D03,市场部,3,2026,2026Q1,其他,624.3,647.2,22.9,3.67
D04,客服部,1,2024,2024Q1,营销,250.0,216.5,-33.5,-13.4
D04,客服部,2,2024,2024Q1,外包,1101.0,1069.6,-31.4,-2.85
D04,客服部,3,2024,2024Q1,差旅,1034.4,1022.4,-12.0,-1.16
D04,客服部,4,2024,2024Q2,人力成本,471.3,450.2,-21.1,-4.48
D04,客服部,5,2024,2024Q2,设备,337.0,300.7,-36.3,-10.77
D04,客服部,6,2024,2024Q2,设备,1294.7,1323.3,28.6,2.21
D04,客服部,7,2024,2024Q3,其他,1350.6,1261.3,-89.3,-6.61
D04,客服部,8,2024,2024Q3,人力成本,1326.6,1176.9,-149.7,-11.28
D04,客服部,9,2024,2024Q3,设备,897.9,832.1,-65.8,-7.33
D04,客服部,10,2024,2024Q4,人力成本,417.5,356.7,-60.8,-14.56
D04,客服部,11,2024,2024Q4,其他,905.8,991.0,85.2,9.41
D04,客服部,12,2024,2024Q4,营销,688.1,637.9,-50.2,-7.3
D04,客服部,1,2025,2025Q1,设备,561.4,550.0,-11.4,-2.03
D04,客服部,2,2025,2025Q1,营销,493.2,466.5,-26.7,-5.41
D04,客服部,3,2025,2025Q1,设备,991.6,1047.9,56.3,5.68
D04,客服部,4,2025,2025Q2,差旅,1247.7,1261.8,14.1,1.13
D04,客服部,5,2025,2025Q2,人力成本,527.7,503.3,-24.4,-4.62
D04,客服部,6,2025,2025Q2,营销,1117.9,1129.0,11.1,0.99
D04,客服部,7,2025,2025Q3,外包,523.4,540.7,17.3,3.31
D04,客服部,8,2025,2025Q3,外包,840.9,870.8,29.9,3.56
D04,客服部,9,2025,2025Q3,营销,921.0,842.6,-78.4,-8.51
D04,客服部,10,2025,2025Q4,人力成本,290.0,255.2,-34.8,-12.0
D04,客服部,11,2025,2025Q4,外包,290.5,247.2,-43.3,-14.91
D04,客服部,12,2025,2025Q4,设备,1162.1,1046.7,-115.4,-9.93
D04,客服部,1,2026,2026Q1,设备,278.4,239.1,-39.3,-14.12
D04,客服部,2,2026,2026Q1,设备,367.4,352.9,-14.5,-3.95
D04,客服部,3,2026,2026Q1,营销,1081.0,957.7,-123.3,-11.41
D05,供应链,1,2024,2024Q1,设备,832.0,879.3,47.3,5.69
D05,供应链,2,2024,2024Q1,人力成本,1013.4,949.8,-63.6,-6.28
D05,供应链,3,2024,2024Q1,营销,405.8,367.5,-38.3,-9.44
D05,供应链,4,2024,2024Q2,差旅,723.4,655.7,-67.7,-9.36
D05,供应链,5,2024,2024Q2,人力成本,1174.9,1235.6,60.7,5.17
D05,供应链,6,2024,2024Q2,外包,253.5,249.5,-4.0,-1.58
D05,供应链,7,2024,2024Q3,设备,1093.3,1034.9,-58.4,-5.34
D05,供应链,8,2024,2024Q3,外包,1498.5,1606.0,107.5,7.17
D05,供应链,9,2024,2024Q3,外包,1386.9,1308.5,-78.4,-5.65
D05,供应链,10,2024,2024Q4,差旅,320.5,278.2,-42.3,-13.2
D05,供应链,11,2024,2024Q4,差旅,1497.2,1588.0,90.8,6.06
D05,供应链,12,2024,2024Q4,差旅,1194.2,1147.8,-46.4,-3.89
D05,供应链,1,2025,2025Q1,营销,348.2,354.2,6.0,1.72
D05,供应链,2,2025,2025Q1,外包,815.1,781.0,-34.1,-4.18
D05,供应链,3,2025,2025Q1,营销,1421.8,1287.5,-134.3,-9.45
D05,供应链,4,2025,2025Q2,差旅,207.0,184.2,-22.8,-11.01
D05,供应链,5,2025,2025Q2,人力成本,1069.7,1017.6,-52.1,-4.87
D05,供应链,6,2025,2025Q2,人力成本,214.3,229.5,15.2,7.09
D05,供应链,7,2025,2025Q3,营销,1309.5,1356.2,46.7,3.57
D05,供应链,8,2025,2025Q3,外包,270.7,292.2,21.5,7.94
D05,供应链,9,2025,2025Q3,营销,782.0,759.3,-22.7,-2.9
D05,供应链,10,2025,2025Q4,其他,636.8,683.6,46.8,7.35
D05,供应链,11,2025,2025Q4,外包,307.7,307.2,-0.5,-0.16
D05,供应链,12,2025,2025Q4,差旅,269.0,236.7,-32.3,-12.01
D05,供应链,1,2026,2026Q1,营销,1281.9,1175.5,-106.4,-8.3
D05,供应链,2,2026,2026Q1,其他,673.4,698.9,25.5,3.79
D05,供应链,3,2026,2026Q1,人力成本,1357.7,1183.4,-174.3,-12.84
D06,财务部,1,2024,2024Q1,营销,971.9,909.4,-62.5,-6.43
D06,财务部,2,2024,2024Q1,营销,1220.9,1321.8,100.9,8.26
D06,财务部,3,2024,2024Q1,外包,1157.6,1063.1,-94.5,-8.16
D06,财务部,4,2024,2024Q2,外包,468.2,428.3,-39.9,-8.52
D06,财务部,5,2024,2024Q2,外包,1468.4,1486.5,18.1,1.23
D06,财务部,6,2024,2024Q2,设备,845.7,881.5,35.8,4.23
D06,财务部,7,2024,2024Q3,人力成本,1281.6,1268.7,-12.9,-1.01
D06,财务部,8,2024,2024Q3,营销,421.4,394.8,-26.6,-6.31
D06,财务部,9,2024,2024Q3,外包,746.0,812.2,66.2,8.87
D06,财务部,10,2024,2024Q4,设备,632.2,678.6,46.4,7.34
D06,财务部,11,2024,2024Q4,差旅,567.1,604.0,36.9,6.51
D06,财务部,12,2024,2024Q4,其他,437.0,403.8,-33.2,-7.6
D06,财务部,1,2025,2025Q1,其他,413.2,438.4,25.2,6.1
D06,财务部,2,2025,2025Q1,营销,1136.8,1177.3,40.5,3.56
D06,财务部,3,2025,2025Q1,其他,1024.8,977.7,-47.1,-4.6
D06,财务部,4,2025,2025Q2,营销,746.5,804.3,57.8,7.74
D06,财务部,5,2025,2025Q2,其他,813.1,815.9,2.8,0.34
D06,财务部,6,2025,2025Q2,其他,1172.7,1219.5,46.8,3.99
D06,财务部,7,2025,2025Q3,差旅,1442.7,1469.1,26.4,1.83
D06,财务部,8,2025,2025Q3,外包,701.4,643.2,-58.2,-8.3
D06,财务部,9,2025,2025Q3,人力成本,373.9,386.3,12.4,3.32
D06,财务部,10,2025,2025Q4,其他,880.1,862.3,-17.8,-2.02
D06,财务部,11,2025,2025Q4,营销,1235.3,1194.4,-40.9,-3.31
D06,财务部,12,2025,2025Q4,营销,219.3,238.2,18.9,8.62
D06,财务部,1,2026,2026Q1,其他,540.7,588.0,47.3,8.75
D06,财务部,2,2026,2026Q1,设备,901.7,802.0,-99.7,-11.06
D06,财务部,3,2026,2026Q1,设备,784.4,826.4,42.0,5.35
D07,HR部,1,2024,2024Q1,营销,211.4,223.6,12.2,5.77
D07,HR部,2,2024,2024Q1,外包,1144.6,1143.1,-1.5,-0.13
D07,HR部,3,2024,2024Q1,其他,1128.2,1043.6,-84.6,-7.5
D07,HR部,4,2024,2024Q2,外包,1037.4,973.3,-64.1,-6.18
D07,HR部,5,2024,2024Q2,外包,861.2,857.4,-3.8,-0.44
D07,HR部,6,2024,2024Q2,营销,802.0,786.0,-16.0,-2.0
D07,HR部,7,2024,2024Q3,设备,564.4,586.1,21.7,3.84
D07,HR部,8,2024,2024Q3,其他,1161.9,1188.7,26.8,2.31
D07,HR部,9,2024,2024Q3,其他,1020.9,994.1,-26.8,-2.63
D07,HR部,10,2024,2024Q4,营销,908.6,828.0,-80.6,-8.87
D07,HR部,11,2024,2024Q4,设备,439.2,389.9,-49.3,-11.22
D07,HR部,12,2024,2024Q4,差旅,631.7,621.2,-10.5,-1.66
D07,HR部,1,2025,2025Q1,外包,1220.6,1134.6,-86.0,-7.05
D07,HR部,2,2025,2025Q1,其他,1356.6,1344.0,-12.6,-0.93
D07,HR部,3,2025,2025Q1,营销,738.6,669.7,-68.9,-9.33
D07,HR部,4,2025,2025Q2,营销,1100.9,1010.7,-90.2,-8.19
D07,HR部,5,2025,2025Q2,外包,1406.3,1486.2,79.9,5.68
D07,HR部,6,2025,2025Q2,差旅,1379.9,1237.2,-142.7,-10.34
D07,HR部,7,2025,2025Q3,外包,1290.1,1385.3,95.2,7.38
D07,HR部,8,2025,2025Q3,其他,450.4,435.3,-15.1,-3.35
D07,HR部,9,2025,2025Q3,营销,708.0,754.0,46.0,6.5
D07,HR部,10,2025,2025Q4,差旅,758.2,805.0,46.8,6.17
D07,HR部,11,2025,2025Q4,差旅,511.3,545.3,34.0,6.65
D07,HR部,12,2025,2025Q4,设备,431.0,473.9,42.9,9.95
D07,HR部,1,2026,2026Q1,外包,1058.1,930.4,-127.7,-12.07
D07,HR部,2,2026,2026Q1,外包,705.0,730.2,25.2,3.57
D07,HR部,3,2026,2026Q1,外包,1327.1,1233.3,-93.8,-7.07
D08,法务部,1,2024,2024Q1,设备,811.0,752.3,-58.7,-7.24
D08,法务部,2,2024,2024Q1,设备,270.3,258.2,-12.1,-4.48
D08,法务部,3,2024,2024Q1,差旅,956.5,823.8,-132.7,-13.87
D08,法务部,4,2024,2024Q2,其他,1287.2,1295.1,7.9,0.61
D08,法务部,5,2024,2024Q2,设备,355.8,305.5,-50.3,-14.14
D08,法务部,6,2024,2024Q2,设备,763.1,666.6,-96.5,-12.65
D08,法务部,7,2024,2024Q3,营销,1172.5,1209.4,36.9,3.15
D08,法务部,8,2024,2024Q3,外包,871.3,756.2,-115.1,-13.21
D08,法务部,9,2024,2024Q3,差旅,267.8,288.8,21.0,7.84
D08,法务部,10,2024,2024Q4,营销,855.7,791.9,-63.8,-7.46
D08,法务部,11,2024,2024Q4,外包,828.5,821.6,-6.9,-0.83
D08,法务部,12,2024,2024Q4,外包,722.4,616.2,-106.2,-14.7
D08,法务部,1,2025,2025Q1,其他,275.4,300.5,25.1,9.11
D08,法务部,2,2025,2025Q1,营销,810.6,796.0,-14.6,-1.8
D08,法务部,3,2025,2025Q1,外包,768.9,695.5,-73.4,-9.55
D08,法务部,4,2025,2025Q2,营销,877.8,902.8,25.0,2.85
D08,法务部,5,2025,2025Q2,外包,717.4,727.2,9.8,1.37
D08,法务部,6,2025,2025Q2,差旅,1268.0,1211.2,-56.8,-4.48
D08,法务部,7,2025,2025Q3,外包,957.7,1014.1,56.4,5.89
D08,法务部,8,2025,2025Q3,外包,720.4,710.5,-9.9,-1.37
D08,法务部,9,2025,2025Q3,设备,549.9,562.4,12.5,2.27
D08,法务部,10,2025,2025Q4,设备,1263.0,1260.8,-2.2,-0.17
D08,法务部,11,2025,2025Q4,设备,971.9,911.1,-60.8,-6.26
D08,法务部,12,2025,2025Q4,其他,600.7,613.6,12.9,2.15
D08,法务部,1,2026,2026Q1,差旅,872.9,770.7,-102.2,-11.71
D08,法务部,2,2026,2026Q1,营销,1042.0,1138.8,96.8,9.29
D08,法务部,3,2026,2026Q1,外包,847.0,884.1,37.1,4.38
D09,战略部,1,2024,2024Q1,其他,1428.5,1456.0,27.5,1.93
D09,战略部,2,2024,2024Q1,设备,1131.3,1026.5,-104.8,-9.26
D09,战略部,3,2024,2024Q1,外包,1453.2,1434.1,-19.1,-1.31
D09,战略部,4,2024,2024Q2,营销,1128.9,1240.3,111.4,9.87
D09,战略部,5,2024,2024Q2,设备,540.9,571.0,30.1,5.56
D09,战略部,6,2024,2024Q2,其他,1140.3,1095.3,-45.0,-3.95
D09,战略部,7,2024,2024Q3,差旅,1358.9,1402.6,43.7,3.22
D09,战略部,8,2024,2024Q3,营销,276.9,254.2,-22.7,-8.2
D09,战略部,9,2024,2024Q3,外包,1228.2,1335.7,107.5,8.75
D09,战略部,10,2024,2024Q4,外包,860.3,870.6,10.3,1.2
D09,战略部,11,2024,2024Q4,营销,1229.1,1265.6,36.5,2.97
D09,战略部,12,2024,2024Q4,其他,632.5,661.2,28.7,4.54
D09,战略部,1,2025,2025Q1,设备,796.7,812.0,15.3,1.92
D09,战略部,2,2025,2025Q1,营销,524.5,512.5,-12.0,-2.29
D09,战略部,3,2025,2025Q1,差旅,780.3,775.3,-5.0,-0.64
D09,战略部,4,2025,2025Q2,设备,743.8,757.4,13.6,1.83
D09,战略部,5,2025,2025Q2,人力成本,1272.9,1191.2,-81.7,-6.42
D09,战略部,6,2025,2025Q2,其他,585.1,641.8,56.7,9.69
D09,战略部,7,2025,2025Q3,差旅,684.3,583.4,-100.9,-14.74
D09,战略部,8,2025,2025Q3,营销,1139.1,1218.9,79.8,7.01
D09,战略部,9,2025,2025Q3,外包,629.5,566.7,-62.8,-9.98
D09,战略部,10,2025,2025Q4,营销,1226.3,1324.1,97.8,7.98
D09,战略部,11,2025,2025Q4,营销,548.9,567.1,18.2,3.32
D09,战略部,12,2025,2025Q4,外包,409.4,425.9,16.5,4.03
D09,战略部,1,2026,2026Q1,营销,1415.0,1555.9,140.9,9.96
D09,战略部,2,2026,2026Q1,外包,625.1,657.2,32.1,5.14
D09,战略部,3,2026,2026Q1,设备,851.7,915.0,63.3,7.43
D10,国际部,1,2024,2024Q1,人力成本,268.7,242.7,-26.0,-9.68
D10,国际部,2,2024,2024Q1,人力成本,596.3,652.5,56.2,9.42
D10,国际部,3,2024,2024Q1,设备,1062.5,933.8,-128.7,-12.11
D10,国际部,4,2024,2024Q2,外包,849.7,933.8,84.1,9.9
D10,国际部,5,2024,2024Q2,其他,1315.4,1232.7,-82.7,-6.29
D10,国际部,6,2024,2024Q2,差旅,1153.0,1057.1,-95.9,-8.32
D10,国际部,7,2024,2024Q3,人力成本,1051.5,967.6,-83.9,-7.98
D10,国际部,8,2024,2024Q3,外包,331.2,356.9,25.7,7.76
D10,国际部,9,2024,2024Q3,其他,1221.9,1086.4,-135.5,-11.09
D10,国际部,10,2024,2024Q4,营销,1453.3,1257.2,-196.1,-13.49
D10,国际部,11,2024,2024Q4,其他,487.6,470.8,-16.8,-3.45
D10,国际部,12,2024,2024Q4,设备,382.9,329.9,-53.0,-13.84
D10,国际部,1,2025,2025Q1,其他,351.2,329.9,-21.3,-6.06
D10,国际部,2,2025,2025Q1,外包,1402.0,1268.3,-133.7,-9.54
D10,国际部,3,2025,2025Q1,差旅,1008.2,1107.3,99.1,9.83
D10,国际部,4,2025,2025Q2,设备,760.0,682.6,-77.4,-10.18
D10,国际部,5,2025,2025Q2,其他,920.5,917.8,-2.7,-0.29
D10,国际部,6,2025,2025Q2,设备,1216.1,1046.2,-169.9,-13.97
D10,国际部,7,2025,2025Q3,营销,842.6,863.5,20.9,2.48
D10,国际部,8,2025,2025Q3,人力成本,333.8,302.7,-31.1,-9.32
D10,国际部,9,2025,2025Q3,营销,694.3,758.9,64.6,9.3
D10,国际部,10,2025,2025Q4,差旅,1014.6,1092.4,77.8,7.67
D10,国际部,11,2025,2025Q4,差旅,751.1,770.5,19.4,2.58
D10,国际部,12,2025,2025Q4,差旅,1000.4,854.5,-145.9,-14.58
D10,国际部,1,2026,2026Q1,外包,292.1,293.0,0.9,0.31
D10,国际部,2,2026,2026Q1,设备,579.3,576.1,-3.2,-0.55
D10,国际部,3,2026,2026Q1,差旅,994.7,898.7,-96.0,-9.65
