ticket_id,customer_id,category,priority,channel,created_at,resolved_at,sla_hours,resolution_time_hours,sla_met,escalated,csat_score,agent_id
T500051,C3565,投诉,P3,热线,2026-04-05 10:00:00,2026-04-05 15:10:40,24,5.18,1,0,4,A240
T500052,C3563,其他,P1,邮件,2026-01-24 09:00:00,2026-01-24 09:54:46,4,0.91,1,0,4,A262
T500053,C1313,退订,P2,在线,2026-02-25 01:00:00,2026-02-25 03:21:28,8,2.36,1,0,4,A140
T500054,C2400,其他,P1,App,2026-01-25 00:00:00,2026-01-25 00:30:00,4,0.5,1,0,3,A206
T500055,C3956,故障申报,P3,在线,2026-02-25 20:00:00,2026-02-25 21:42:00,24,1.7,1,0,5,A118
T500056,C3894,故障申报,P3,邮件,2026-04-26 21:00:00,2026-04-27 06:26:58,24,9.45,1,0,4,A210
T500057,C3626,业务变更,P2,邮件,2026-02-01 15:00:00,2026-02-01 22:24:37,8,7.41,1,0,4,A126
T500058,C3114,投诉,P2,邮件,2026-01-11 06:00:00,2026-01-11 12:36:03,8,6.6,1,0,5,A240
T500059,C3779,业务变更,P1,在线,2026-04-21 05:00:00,2026-04-21 05:56:07,4,0.94,1,0,4,A124
T500060,C2193,咨询,P4,在线,2026-02-26 22:00:00,2026-02-27 07:46:26,72,9.77,1,0,2,A194
T500061,C2096,咨询,P2,邮件,2026-01-01 16:00:00,2026-01-01 16:36:37,8,0.61,1,0,5,A120
T500062,C2618,投诉,P3,App,2026-04-09 05:00:00,2026-04-09 13:16:10,24,8.27,1,0,4,A117
T500063,C1161,咨询,P1,邮件,2026-03-11 15:00:00,2026-03-11 23:18:37,4,8.31,0,0,2,A115
T500064,C1648,业务变更,P2,在线,2026-02-14 02:00:00,2026-02-14 03:20:38,8,1.34,1,0,4,A281
T500065,C2020,退订,P2,热线,2026-01-23 19:00:00,2026-01-23 20:59:57,8,2.0,1,0,5,A126
T500066,C2330,故障申报,P1,热线,2026-02-24 17:00:00,2026-02-24 17:30:00,4,0.5,1,1,4,A103
T500067,C2865,退订,P3,热线,2026-02-25 06:00:00,2026-02-25 07:56:28,24,1.94,1,0,5,A220
T500068,C2173,退订,P2,在线,2026-01-08 01:00:00,2026-01-08 02:23:07,8,1.39,1,0,4,A224
T500069,C3412,咨询,P2,在线,2026-01-11 11:00:00,2026-01-11 18:00:42,8,7.01,1,0,4,A271
T500070,C1043,其他,P1,App,2026-04-15 04:00:00,2026-04-15 04:30:00,4,0.5,1,1,5,A118
T500071,C2022,业务变更,P4,App,2026-01-11 18:00:00,2026-01-11 23:18:20,72,5.31,1,0,5,A289
T500072,C2331,业务变更,P3,热线,2026-01-26 17:00:00,2026-01-27 14:01:04,24,21.02,1,0,4,A250
T500073,C3877,故障申报,P4,热线,2026-04-09 21:00:00,2026-04-11 08:17:04,72,35.28,1,0,5,A158
T500074,C3038,业务变更,P2,热线,2026-01-26 03:00:00,2026-01-26 12:25:24,8,9.42,0,0,4,A279
T500075,C3163,故障申报,P4,热线,2026-02-23 01:00:00,2026-02-23 02:27:08,72,1.45,1,0,5,A104
T500076,C2747,业务变更,P1,热线,2026-04-09 10:00:00,2026-04-09 10:30:00,4,0.5,1,1,4,A225
T500077,C2370,退订,P4,邮件,2026-04-13 17:00:00,2026-04-14 16:13:44,72,23.23,1,0,4,A117
T500078,C3183,咨询,P1,App,2026-04-27 05:00:00,2026-04-27 06:30:31,4,1.51,1,0,5,A202
T500079,C1193,故障申报,P1,App,2026-04-26 14:00:00,2026-04-26 15:18:38,4,1.31,1,0,4,A211
T500080,C2955,投诉,P1,邮件,2026-04-13 15:00:00,2026-04-13 15:41:18,4,0.69,1,0,5,A119
T500081,C2355,咨询,P3,热线,2026-01-23 13:00:00,2026-01-24 01:06:54,24,12.12,1,0,4,A220
T500082,C2873,退订,P4,在线,2026-01-11 13:00:00,2026-01-11 13:30:00,72,0.5,1,0,5,A117
T500083,C2245,其他,P2,热线,2026-04-19 04:00:00,2026-04-19 05:47:16,8,1.79,1,0,4,A193
T500084,C1993,投诉,P3,热线,2026-01-18 05:00:00,2026-01-19 00:20:49,24,19.35,1,0,5,A197
T500085,C3719,故障申报,P3,在线,2026-03-26 00:00:00,2026-03-26 04:12:13,24,4.2,1,0,3,A152
T500086,C3463,其他,P3,邮件,2026-04-19 23:00:00,2026-04-20 08:19:37,24,9.33,1,0,3,A148
T500087,C3443,故障申报,P3,热线,2026-02-27 02:00:00,2026-02-27 18:15:28,24,16.26,1,1,2,A195
T500088,C2144,故障申报,P4,App,2026-03-14 09:00:00,2026-03-15 15:54:08,72,30.9,1,0,4,A245
T500089,C1657,咨询,P2,在线,2026-04-18 19:00:00,2026-04-18 22:38:13,8,3.64,1,0,5,A180
T500090,C3254,故障申报,P4,App,2026-02-23 16:00:00,2026-02-25 02:47:24,72,34.79,1,0,3,A134
T500091,C1494,退订,P4,在线,2026-01-19 15:00:00,2026-01-19 15:30:00,72,0.5,1,1,4,A168
T500092,C1562,故障申报,P1,在线,2026-03-04 01:00:00,2026-03-04 03:28:12,4,2.47,1,0,5,A229
T500093,C3385,咨询,P1,App,2026-02-12 12:00:00,2026-02-12 17:15:17,4,5.25,0,0,2,A169
T500094,C3328,退订,P4,在线,2026-01-15 03:00:00,2026-01-15 21:13:21,72,18.22,1,0,3,A273
T500095,C3793,退订,P4,邮件,2026-01-01 23:00:00,2026-01-04 02:50:01,72,51.83,1,0,5,A185
T500096,C3625,咨询,P2,App,2026-04-24 12:00:00,2026-04-24 20:45:09,8,8.75,0,0,5,A223
T500097,C3326,咨询,P1,在线,2026-03-05 07:00:00,2026-03-05 17:48:35,4,10.81,0,0,5,A227
T500098,C2150,投诉,P1,App,2026-02-10 23:00:00,2026-02-11 00:31:18,4,1.52,1,0,4,A243
T500099,C3638,投诉,P4,邮件,2026-01-03 13:00:00,2026-01-04 16:41:57,72,27.7,1,0,5,A250
T500100,C2206,退订,P3,热线,2026-03-26 05:00:00,2026-03-27 01:24:50,24,20.41,1,0,5,A131
T500101,C2985,投诉,P3,热线,2026-03-23 12:00:00,2026-03-24 01:09:00,24,13.15,1,0,5,A132
T500102,C3456,咨询,P1,App,2026-04-12 17:00:00,2026-04-12 17:31:20,4,0.52,1,0,4,A201
T500103,C1729,业务变更,P3,热线,2026-01-10 05:00:00,2026-01-10 05:30:00,24,0.5,1,0,4,A158
T500104,C2747,业务变更,P2,邮件,2026-01-13 12:00:00,2026-01-13 21:59:32,8,9.99,0,0,4,A212
T500105,C1554,投诉,P1,邮件,2026-04-15 10:00:00,2026-04-15 11:04:37,4,1.08,1,1,4,A116
T500106,C3665,退订,P4,在线,2026-01-17 06:00:00,2026-01-17 12:52:13,72,6.87,1,0,4,A267
T500107,C3816,业务变更,P1,在线,2026-03-23 12:00:00,2026-03-23 13:21:42,4,1.36,1,0,4,A126
T500108,C2777,其他,P1,App,2026-02-06 17:00:00,2026-02-06 17:44:57,4,0.75,1,0,1,A117
T500109,C1961,业务变更,P2,App,2026-04-09 21:00:00,2026-04-09 23:01:44,8,2.03,1,0,5,A257
T500110,C1196,投诉,P1,App,2026-01-27 23:00:00,2026-01-28 01:55:54,4,2.93,1,0,5,A126
T500111,C1762,故障申报,P2,在线,2026-02-10 10:00:00,2026-02-10 11:06:19,8,1.11,1,0,4,A138
T500112,C2688,咨询,P4,热线,2026-01-12 19:00:00,2026-01-15 08:41:33,72,61.69,1,0,5,A272
T500113,C3456,投诉,P1,热线,2026-03-13 03:00:00,2026-03-13 05:20:20,4,2.34,1,0,2,A244
T500114,C2415,业务变更,P2,热线,2026-03-05 05:00:00,2026-03-05 06:18:45,8,1.31,1,0,5,A104
T500115,C3457,退订,P2,邮件,2026-04-08 03:00:00,2026-04-08 07:05:23,8,4.09,1,0,5,A170
T500116,C3580,投诉,P4,在线,2026-02-21 21:00:00,2026-02-26 08:02:02,72,107.03,0,0,5,A146
T500117,C2130,其他,P4,热线,2026-02-26 14:00:00,2026-02-26 23:09:27,72,9.16,1,1,5,A210
T500118,C2325,投诉,P2,App,2026-02-11 05:00:00,2026-02-11 05:30:00,8,0.5,1,0,5,A121
T500119,C1645,投诉,P3,在线,2026-03-19 03:00:00,2026-03-19 06:22:50,24,3.38,1,0,3,A269
T500120,C1304,退订,P1,热线,2026-02-26 03:00:00,2026-02-26 03:30:00,4,0.5,1,0,5,A171
T500121,C1578,其他,P2,App,2026-02-19 08:00:00,2026-02-19 09:59:38,8,1.99,1,0,5,A264
T500122,C3030,其他,P4,在线,2026-03-02 10:00:00,2026-03-03 07:44:36,72,21.74,1,0,4,A202
T500123,C2769,咨询,P4,App,2026-02-06 04:00:00,2026-02-06 22:24:03,72,18.4,1,0,2,A226
T500124,C2255,投诉,P2,邮件,2026-02-20 18:00:00,2026-02-21 04:26:53,8,10.45,0,0,4,A198
T500125,C3868,其他,P2,邮件,2026-01-27 20:00:00,2026-01-28 00:11:03,8,4.18,1,0,3,A226
T500126,C3424,投诉,P1,在线,2026-04-14 12:00:00,2026-04-14 15:24:31,4,3.41,1,0,4,A289
T500127,C2509,投诉,P1,邮件,2026-03-11 13:00:00,2026-03-11 14:31:24,4,1.52,1,1,4,A296
T500128,C2772,其他,P3,热线,2026-02-07 22:00:00,2026-02-08 17:36:27,24,19.61,1,0,4,A131
T500129,C3882,退订,P2,热线,2026-03-02 21:00:00,2026-03-03 00:18:16,8,3.3,1,0,4,A255
T500130,C1603,投诉,P1,App,2026-04-03 18:00:00,2026-04-03 20:01:49,4,2.03,1,0,3,A137
T500131,C1888,投诉,P1,热线,2026-03-09 23:00:00,2026-03-10 00:39:36,4,1.66,1,0,4,A213
T500132,C1006,业务变更,P2,App,2026-04-04 09:00:00,2026-04-04 17:48:49,8,8.81,0,0,4,A247
T500133,C1651,投诉,P1,在线,2026-04-21 21:00:00,2026-04-22 00:19:39,4,3.33,1,0,5,A139
T500134,C1741,投诉,P4,邮件,2026-04-09 11:00:00,2026-04-10 07:02:56,72,20.05,1,0,4,A132
T500135,C2305,其他,P2,邮件,2026-01-10 11:00:00,2026-01-10 11:55:27,8,0.92,1,0,4,A264
T500136,C3020,投诉,P3,在线,2026-01-23 02:00:00,2026-01-24 02:39:02,24,24.65,0,0,4,A185
T500137,C2700,咨询,P4,App,2026-04-04 16:00:00,2026-04-09 15:49:04,72,119.82,0,0,4,A266
T500138,C1592,退订,P3,在线,2026-04-27 19:00:00,2026-04-28 22:09:32,24,27.16,0,0,4,A146
T500139,C2649,故障申报,P4,App,2026-02-20 12:00:00,2026-02-21 09:56:54,72,21.95,1,0,5,A201
T500140,C3353,投诉,P3,邮件,2026-04-27 08:00:00,2026-04-27 23:14:26,24,15.24,1,0,5,A198
T500141,C2587,退订,P4,App,2026-02-18 11:00:00,2026-02-23 10:14:31,72,119.24,0,0,4,A277
T500142,C2396,业务变更,P4,在线,2026-04-02 21:00:00,2026-04-03 03:36:21,72,6.61,1,0,5,A155
T500143,C3678,业务变更,P3,App,2026-02-09 13:00:00,2026-02-09 16:57:53,24,3.96,1,0,4,A208
T500144,C1642,咨询,P3,App,2026-04-04 06:00:00,2026-04-06 01:02:40,24,43.04,0,0,4,A212
T500145,C3427,退订,P1,App,2026-03-14 10:00:00,2026-03-14 10:47:17,4,0.79,1,0,3,A203
T500146,C3174,投诉,P3,在线,2026-02-08 11:00:00,2026-02-10 22:45:56,24,59.77,0,0,4,A174
T500147,C3120,其他,P4,在线,2026-03-24 09:00:00,2026-03-25 18:08:19,72,33.14,1,0,3,A280
T500148,C2389,投诉,P3,在线,2026-01-18 08:00:00,2026-01-18 11:18:23,24,3.31,1,0,3,A199
T500149,C2281,退订,P1,在线,2026-03-20 12:00:00,2026-03-20 17:28:22,4,5.47,0,0,5,A161
T500150,C3806,其他,P2,在线,2026-04-19 03:00:00,2026-04-19 08:51:12,8,5.85,1,0,5,A249
T500151,C2307,退订,P3,邮件,2026-02-03 10:00:00,2026-02-04 03:44:24,24,17.74,1,0,4,A107
T500152,C2354,业务变更,P1,邮件,2026-02-22 14:00:00,2026-02-22 15:49:05,4,1.82,1,0,4,A204
T500153,C1470,故障申报,P4,在线,2026-02-07 21:00:00,2026-02-08 04:12:39,72,7.21,1,0,4,A205
T500154,C3169,退订,P1,热线,2026-02-15 06:00:00,2026-02-15 06:30:00,4,0.5,1,1,4,A118
T500155,C2071,其他,P2,在线,2026-04-17 20:00:00,2026-04-17 20:44:26,8,0.74,1,1,4,A212
T500156,C2102,其他,P4,App,2026-03-16 00:00:00,2026-03-17 08:04:50,72,32.08,1,0,4,A132
T500157,C2995,业务变更,P3,邮件,2026-03-17 13:00:00,2026-03-18 03:31:53,24,14.53,1,0,5,A199
T500158,C2204,投诉,P4,在线,2026-01-02 07:00:00,2026-01-03 09:31:48,72,26.53,1,0,5,A274
T500159,C2169,业务变更,P3,热线,2026-02-13 07:00:00,2026-02-13 09:24:54,24,2.42,1,0,5,A123
T500160,C3977,咨询,P1,热线,2026-04-27 05:00:00,2026-04-27 05:30:00,4,0.5,1,0,5,A287
T500161,C1568,其他,P2,在线,2026-02-22 02:00:00,2026-02-22 06:54:20,8,4.91,1,0,4,A178
T500162,C3030,退订,P2,热线,2026-04-16 12:00:00,2026-04-16 13:25:39,8,1.43,1,0,4,A233
T500163,C1575,业务变更,P1,热线,2026-03-23 15:00:00,2026-03-23 18:11:08,4,3.19,1,0,1,A219
T500164,C2300,咨询,P1,邮件,2026-04-23 00:00:00,2026-04-23 02:45:22,4,2.76,1,0,4,A173
T500165,C3982,退订,P2,App,2026-01-13 01:00:00,2026-01-13 04:26:42,8,3.45,1,0,1,A154
T500166,C3093,退订,P4,App,2026-04-04 10:00:00,2026-04-05 14:21:38,72,28.36,1,0,3,A139
T500167,C2810,业务变更,P1,在线,2026-03-15 15:00:00,2026-03-15 15:30:00,4,0.5,1,0,2,A243
T500168,C3535,故障申报,P2,在线,2026-04-16 20:00:00,2026-04-16 21:25:12,8,1.42,1,0,3,A109
T500169,C2432,咨询,P1,App,2026-04-27 18:00:00,2026-04-27 18:30:00,4,0.5,1,0,4,A226
T500170,C2189,退订,P1,App,2026-01-14 13:00:00,2026-01-14 14:48:06,4,1.8,1,0,5,A103
T500171,C3165,其他,P1,App,2026-04-03 04:00:00,2026-04-03 04:30:00,4,0.5,1,0,4,A118
T500172,C1531,故障申报,P2,在线,2026-04-06 10:00:00,2026-04-07 10:56:25,8,24.94,0,0,1,A239
T500173,C1062,其他,P3,App,2026-02-15 20:00:00,2026-02-16 21:03:11,24,25.05,0,0,5,A144
T500174,C2602,咨询,P1,App,2026-02-04 02:00:00,2026-02-04 02:30:00,4,0.5,1,0,5,A275
T500175,C3344,业务变更,P2,在线,2026-04-13 20:00:00,2026-04-13 22:52:44,8,2.88,1,1,5,A213
T500176,C2148,故障申报,P4,邮件,2026-01-15 13:00:00,2026-01-19 10:46:23,72,93.77,0,0,4,A139
T500177,C3022,业务变更,P1,热线,2026-03-05 21:00:00,2026-03-05 21:38:06,4,0.64,1,0,1,A186
T500178,C2565,退订,P1,热线,2026-04-05 14:00:00,2026-04-05 16:00:11,4,2.0,1,0,5,A248
T500179,C3708,退订,P1,在线,2026-02-02 11:00:00,2026-02-02 22:46:47,4,11.78,0,0,4,A126
T500180,C3692,其他,P3,App,2026-02-04 11:00:00,2026-02-04 13:54:24,24,2.91,1,0,3,A299
T500181,C2648,投诉,P2,热线,2026-03-24 11:00:00,2026-03-24 23:20:59,8,12.35,0,0,5,A160
T500182,C2371,投诉,P3,App,2026-01-14 14:00:00,2026-01-14 16:24:58,24,2.42,1,0,5,A206
T500183,C2804,其他,P3,邮件,2026-04-15 12:00:00,2026-04-18 00:19:33,24,60.33,0,0,5,A259
T500184,C3300,退订,P4,App,2026-01-23 16:00:00,2026-01-24 19:59:04,72,27.98,1,0,4,A202
T500185,C1981,投诉,P3,在线,2026-02-04 18:00:00,2026-02-06 13:47:13,24,43.79,0,0,4,A118
T500186,C3079,故障申报,P3,邮件,2026-02-05 15:00:00,2026-02-06 06:06:43,24,15.11,1,0,4,A154
T500187,C2191,其他,P1,邮件,2026-04-13 14:00:00,2026-04-13 14:30:00,4,0.5,1,0,4,A206
T500188,C2372,退订,P4,热线,2026-04-08 09:00:00,2026-04-08 11:36:34,72,2.61,1,0,1,A288
T500189,C2241,退订,P2,热线,2026-02-14 06:00:00,2026-02-14 11:23:12,8,5.39,1,0,5,A169
T500190,C2122,退订,P4,邮件,2026-02-16 11:00:00,2026-02-18 02:08:09,72,39.14,1,0,4,A272
T500191,C3579,故障申报,P1,邮件,2026-02-17 10:00:00,2026-02-17 13:33:02,4,3.55,1,0,4,A108
T500192,C2821,故障申报,P3,在线,2026-02-02 06:00:00,2026-02-02 16:09:36,24,10.16,1,0,4,A183
T500193,C2354,故障申报,P4,热线,2026-04-06 09:00:00,2026-04-12 09:24:53,72,144.41,0,0,4,A127
T500194,C1744,咨询,P4,邮件,2026-02-07 12:00:00,2026-02-08 23:56:42,72,35.95,1,0,4,A136
T500195,C2961,投诉,P4,热线,2026-04-13 08:00:00,2026-04-14 21:16:52,72,37.28,1,0,3,A128
T500196,C2608,退订,P4,热线,2026-03-10 08:00:00,2026-03-14 13:56:05,72,101.93,0,0,5,A133
T500197,C2262,投诉,P2,热线,2026-03-03 16:00:00,2026-03-03 16:30:00,8,0.5,1,0,5,A295
T500198,C3544,投诉,P3,App,2026-03-14 13:00:00,2026-03-14 21:26:00,24,8.43,1,0,5,A246
T500199,C3382,故障申报,P4,热线,2026-02-21 13:00:00,2026-02-24 19:52:50,72,78.88,0,0,5,A160
T500200,C2553,退订,P3,在线,2026-03-09 15:00:00,2026-03-11 03:49:51,24,36.83,0,0,5,A193
T500201,C2100,故障申报,P2,邮件,2026-02-14 04:00:00,2026-02-14 05:40:56,8,1.68,1,0,4,A206
T500202,C1424,投诉,P3,在线,2026-02-01 21:00:00,2026-02-02 03:52:17,24,6.87,1,0,5,A155
T500203,C1551,业务变更,P1,邮件,2026-02-16 06:00:00,2026-02-16 07:06:57,4,1.12,1,0,5,A227
T500204,C2069,业务变更,P3,热线,2026-03-08 23:00:00,2026-03-09 10:30:36,24,11.51,1,0,4,A104
T500205,C1531,咨询,P1,App,2026-03-23 04:00:00,2026-03-23 04:30:00,4,0.5,1,1,5,A119
T500206,C3588,故障申报,P3,App,2026-02-20 18:00:00,2026-02-21 07:00:21,24,13.01,1,0,2,A133
T500207,C2227,投诉,P1,邮件,2026-02-03 15:00:00,2026-02-03 15:30:00,4,0.5,1,1,5,A112
T500208,C2356,业务变更,P4,App,2026-04-04 06:00:00,2026-04-04 09:27:17,72,3.45,1,0,5,A132
T500209,C2400,投诉,P4,App,2026-01-26 22:00:00,2026-01-27 03:24:43,72,5.41,1,0,5,A149
T500210,C1261,其他,P1,在线,2026-01-05 12:00:00,2026-01-05 13:07:02,4,1.12,1,0,4,A287
T500211,C2210,业务变更,P3,App,2026-01-11 21:00:00,2026-01-12 08:03:17,24,11.05,1,0,5,A171
T500212,C2832,故障申报,P1,热线,2026-03-13 03:00:00,2026-03-13 07:49:56,4,4.83,0,0,3,A239
T500213,C3415,咨询,P4,在线,2026-02-07 07:00:00,2026-02-07 12:21:45,72,5.36,1,0,4,A260
T500214,C2099,退订,P3,热线,2026-04-06 10:00:00,2026-04-06 16:02:31,24,6.04,1,0,5,A187
T500215,C3318,咨询,P3,邮件,2026-03-12 18:00:00,2026-03-12 18:36:24,24,0.61,1,0,5,A124
T500216,C1276,咨询,P4,在线,2026-02-03 16:00:00,2026-02-05 07:30:10,72,39.5,1,0,1,A278
T500217,C3305,退订,P3,在线,2026-04-01 13:00:00,2026-04-02 02:13:42,24,13.23,1,0,1,A290
T500218,C1350,故障申报,P2,App,2026-04-21 04:00:00,2026-04-21 05:05:45,8,1.1,1,0,4,A244
T500219,C1840,故障申报,P4,热线,2026-04-18 11:00:00,2026-04-19 14:56:53,72,27.95,1,0,4,A247
T500220,C2046,业务变更,P1,热线,2026-01-04 01:00:00,2026-01-04 05:56:47,4,4.95,0,1,5,A157
T500221,C2634,业务变更,P4,热线,2026-04-13 18:00:00,2026-04-14 04:33:29,72,10.56,1,0,5,A232
T500222,C3650,退订,P1,在线,2026-04-06 20:00:00,2026-04-06 21:24:50,4,1.41,1,0,4,A259
T500223,C1586,投诉,P4,在线,2026-04-09 07:00:00,2026-04-09 22:25:58,72,15.43,1,0,2,A111
T500224,C2827,其他,P4,邮件,2026-04-01 03:00:00,2026-04-06 21:41:55,72,138.7,0,0,4,A106
T500225,C3313,退订,P2,在线,2026-02-17 09:00:00,2026-02-17 10:17:31,8,1.29,1,0,5,A252
T500226,C2376,业务变更,P3,在线,2026-02-19 02:00:00,2026-02-20 00:49:12,24,22.82,1,0,1,A180
T500227,C3951,其他,P2,热线,2026-03-23 05:00:00,2026-03-23 09:18:06,8,4.3,1,1,5,A102
T500228,C2043,咨询,P1,热线,2026-02-16 20:00:00,2026-02-16 22:46:27,4,2.77,1,0,4,A183
T500229,C1344,投诉,P1,热线,2026-01-13 10:00:00,2026-01-13 18:12:54,4,8.22,0,0,4,A169
T500230,C2048,投诉,P4,在线,2026-04-16 04:00:00,2026-04-16 22:00:43,72,18.01,1,0,5,A176
T500231,C2305,其他,P4,App,2026-03-11 02:00:00,2026-03-12 18:39:00,72,40.65,1,0,4,A111
T500232,C3645,故障申报,P4,App,2026-03-11 22:00:00,2026-03-18 22:03:27,72,168.06,0,0,5,A282
T500233,C2617,咨询,P3,邮件,2026-01-11 20:00:00,2026-01-12 15:52:17,24,19.87,1,0,5,A174
T500234,C3143,业务变更,P3,热线,2026-03-15 05:00:00,2026-03-17 05:10:29,24,48.17,0,0,3,A271
