order_id,customer_id,region_l1,region_l2,bu_id,product_line,amount,order_date,period,channel,sales_manager_id,status
SO200099,C3667,华中,东线,BU-5,云平台,16.01,2025-08-24,2025Q3,渠道,SM139,closed
SO200100,C3027,华东,中线,BU-2,运营商网关,65.32,2025-04-02,2025Q2,直销,SM152,closed
SO200101,C2957,华东,南线,BU-1,数据中台,23.13,2026-03-25,2026Q1,电商,SM245,closed
SO200102,C2129,西南,北线,BU-1,运营商网关,33.33,2025-07-07,2025Q3,渠道,SM233,closed
SO200103,C2057,华东,南线,BU-6,智能客服,45.83,2026-01-12,2026Q1,电商,SM203,closed
SO200104,C3482,东北,北线,BU-1,BSS-OSS,73.58,2026-01-13,2026Q1,电商,SM116,shipping
SO200105,C3009,华东,南线,BU-4,BSS-OSS,22.27,2026-03-21,2026Q1,项目集采,SM140,closed
SO200106,C2776,东北,南线,BU-3,BSS-OSS,35.09,2025-03-01,2025Q1,项目集采,SM230,closed
SO200107,C2199,西南,东线,BU-6,AI 助理,80.34,2026-01-25,2026Q1,渠道,SM178,closed
SO200108,C3161,华北,中线,BU-2,运营商网关,12.89,2025-01-07,2025Q1,电商,SM231,closed
SO200109,C1880,华北,东线,BU-6,IT 服务,88.78,2026-01-23,2026Q1,直销,SM127,closed
SO200110,C1036,华东,北线,BU-1,IT 服务,50.45,2025-05-17,2025Q2,直销,SM216,shipping
SO200111,C2381,华中,中线,BU-5,云平台,155.87,2026-02-20,2026Q1,项目集采,SM137,closed
SO200112,C3450,华北,中线,BU-4,智能客服,16.78,2024-03-11,2024Q1,直销,SM188,closed
SO200113,C2885,华北,中线,BU-5,运营商网关,0.57,2025-06-16,2025Q2,项目集采,SM240,closed
SO200114,C2216,华东,北线,BU-3,云平台,114.86,2026-03-06,2026Q1,电商,SM163,closed
SO200115,C1058,华南,南线,BU-5,运营商网关,15.25,2026-03-06,2026Q1,直销,SM247,closed
SO200116,C1068,华南,东线,BU-1,数据中台,68.18,2026-02-21,2026Q1,电商,SM180,closed
SO200117,C2726,华中,南线,BU-4,AI 助理,1.83,2026-01-08,2026Q1,电商,SM166,closed
SO200118,C2791,华北,中线,BU-1,数据中台,129.88,2026-03-16,2026Q1,电商,SM143,closed
SO200119,C3452,西南,中线,BU-2,AI 助理,40.93,2025-07-23,2025Q3,渠道,SM185,closed
SO200120,C3448,华中,东线,BU-3,BSS-OSS,4.14,2025-02-17,2025Q1,渠道,SM139,closed
SO200121,C2976,东北,北线,BU-5,云平台,74.25,2025-02-18,2025Q1,项目集采,SM130,shipping
SO200122,C2068,华东,中线,BU-5,BSS-OSS,24.53,2024-07-19,2024Q3,渠道,SM233,closed
SO200123,C1525,华东,北线,BU-3,运营商网关,26.54,2025-03-21,2025Q1,电商,SM155,closed
SO200124,C2201,华东,东线,BU-6,运营商网关,76.11,2025-01-20,2025Q1,项目集采,SM246,closed
SO200125,C3549,华北,东线,BU-1,云平台,83.71,2025-03-19,2025Q1,电商,SM164,closed
SO200126,C2403,华南,北线,BU-6,AI 助理,84.94,2025-09-05,2025Q3,电商,SM128,closed
SO200127,C1760,华北,南线,BU-5,运营商网关,85.58,2024-10-25,2024Q4,电商,SM104,shipping
SO200128,C2548,东北,东线,BU-5,智能客服,74.61,2025-08-16,2025Q3,渠道,SM159,closed
SO200129,C1303,华北,北线,BU-5,运营商网关,25.97,2024-02-16,2024Q1,项目集采,SM227,closed
SO200130,C1185,华东,北线,BU-6,运营商网关,9.22,2025-03-04,2025Q1,项目集采,SM145,closed
SO200131,C2316,华北,南线,BU-2,运营商网关,78.63,2025-02-26,2025Q1,渠道,SM130,closed
SO200132,C2956,华北,北线,BU-3,BSS-OSS,118.5,2025-10-22,2025Q4,项目集采,SM190,closed
SO200133,C2302,西南,东线,BU-3,云平台,103.18,2024-06-04,2024Q2,项目集采,SM155,closed
SO200134,C3072,华北,北线,BU-3,IT 服务,68.92,2026-02-17,2026Q1,项目集采,SM150,closed
SO200135,C1468,华中,中线,BU-5,AI 助理,39.15,2025-07-25,2025Q3,项目集采,SM132,closed
SO200136,C3433,华东,东线,BU-2,智能客服,9.78,2024-12-14,2024Q4,渠道,SM123,closed
SO200137,C1122,华南,北线,BU-4,智能客服,91.82,2026-02-25,2026Q1,电商,SM114,closed
SO200138,C3451,华中,东线,BU-2,IT 服务,78.15,2025-02-12,2025Q1,渠道,SM168,closed
SO200139,C2750,华中,中线,BU-3,智能客服,57.6,2025-07-05,2025Q3,电商,SM185,closed
SO200140,C3418,西南,南线,BU-5,AI 助理,166.94,2026-02-10,2026Q1,渠道,SM137,closed
SO200141,C2230,华北,东线,BU-1,BSS-OSS,6.83,2026-02-02,2026Q1,项目集采,SM108,closed
SO200142,C3882,华北,东线,BU-6,BSS-OSS,316.26,2026-01-03,2026Q1,渠道,SM155,closed
SO200143,C1328,华南,中线,BU-1,AI 助理,126.7,2025-07-23,2025Q3,渠道,SM244,closed
SO200144,C1979,华东,南线,BU-4,AI 助理,16.63,2025-04-01,2025Q2,直销,SM135,closed
SO200145,C1973,华东,中线,BU-1,数据中台,60.18,2024-10-18,2024Q4,电商,SM112,closed
SO200146,C2442,华南,东线,BU-5,IT 服务,82.74,2026-01-02,2026Q1,电商,SM245,closed
SO200147,C1361,西南,南线,BU-3,IT 服务,10.74,2025-05-27,2025Q2,项目集采,SM210,closed
SO200148,C2765,华中,东线,BU-3,智能客服,42.03,2026-03-08,2026Q1,渠道,SM164,closed
SO200149,C2984,华南,中线,BU-6,运营商网关,61.53,2025-11-25,2025Q4,渠道,SM231,closed
SO200150,C2321,华南,中线,BU-3,IT 服务,55.71,2024-10-24,2024Q4,电商,SM187,closed
SO200151,C3290,华东,南线,BU-1,数据中台,91.89,2026-02-19,2026Q1,电商,SM184,closed
SO200152,C2905,华中,南线,BU-6,IT 服务,25.95,2024-08-25,2024Q3,项目集采,SM172,shipping
SO200153,C3016,华南,南线,BU-6,数据中台,30.9,2026-03-07,2026Q1,渠道,SM214,closed
SO200154,C2875,华东,南线,BU-4,智能客服,83.19,2024-01-11,2024Q1,电商,SM167,closed
SO200155,C3040,华中,中线,BU-3,BSS-OSS,30.36,2025-04-17,2025Q2,项目集采,SM194,shipping
SO200156,C3332,华东,南线,BU-1,BSS-OSS,7.6,2025-03-19,2025Q1,项目集采,SM167,closed
SO200157,C2189,华南,中线,BU-2,数据中台,31.64,2026-02-09,2026Q1,渠道,SM144,closed
SO200158,C1858,华中,南线,BU-3,BSS-OSS,2.44,2024-05-25,2024Q2,项目集采,SM146,closed
SO200159,C2418,华东,南线,BU-4,AI 助理,39.57,2025-01-11,2025Q1,渠道,SM183,closed
SO200160,C1090,华南,中线,BU-2,云平台,177.03,2026-01-17,2026Q1,电商,SM130,closed
SO200161,C1507,华南,南线,BU-3,IT 服务,1.21,2024-02-22,2024Q1,渠道,SM191,shipping
SO200162,C2500,华北,北线,BU-1,BSS-OSS,45.36,2026-01-15,2026Q1,电商,SM209,closed
SO200163,C1330,华北,北线,BU-4,数据中台,9.14,2025-11-19,2025Q4,电商,SM147,closed
SO200164,C1894,华南,南线,BU-3,IT 服务,2.646,2026-03-25,2026Q1,直销,SM147,closed
SO200165,C2125,东北,中线,BU-2,IT 服务,85.93,2026-02-04,2026Q1,电商,SM234,closed
SO200166,C3415,华北,南线,BU-3,数据中台,34.1,2026-02-21,2026Q1,渠道,SM199,closed
SO200167,C1998,华北,北线,BU-4,运营商网关,48.54,2024-11-25,2024Q4,直销,SM198,closed
SO200168,C1659,西南,东线,BU-1,AI 助理,19.71,2025-08-17,2025Q3,直销,SM195,closed
SO200169,C2155,华北,北线,BU-4,运营商网关,74.27,2026-02-27,2026Q1,电商,SM221,closed
SO200170,C1702,华北,北线,BU-6,运营商网关,90.85,2026-01-26,2026Q1,项目集采,SM192,closed
SO200171,C2069,西南,东线,BU-1,数据中台,8.17,2026-02-18,2026Q1,电商,SM143,closed
SO200172,C3768,华北,南线,BU-1,智能客服,68.77,2025-09-16,2025Q3,直销,SM109,closed
SO200173,C2881,华东,北线,BU-3,云平台,48.42,2025-12-21,2025Q4,直销,SM245,closed
SO200174,C2092,华北,东线,BU-3,智能客服,13.78,2026-01-13,2026Q1,渠道,SM192,closed
SO200175,C2410,西南,北线,BU-1,云平台,90.71,2026-01-23,2026Q1,直销,SM163,closed
SO200176,C3727,华东,北线,BU-5,智能客服,31.44,2025-02-22,2025Q1,电商,SM122,closed
SO200177,C2499,华南,东线,BU-5,云平台,33.5,2026-03-10,2026Q1,项目集采,SM129,closed
SO200178,C3541,华东,北线,BU-2,数据中台,24.91,2024-05-12,2024Q2,项目集采,SM102,closed
SO200179,C2859,华北,南线,BU-2,运营商网关,23.82,2026-02-07,2026Q1,项目集采,SM116,closed
SO200180,C2870,华东,南线,BU-4,数据中台,2.54,2025-08-08,2025Q3,电商,SM162,closed
SO200181,C3723,西南,中线,BU-5,BSS-OSS,53.33,2024-10-24,2024Q4,电商,SM177,closed
SO200182,C1611,西南,南线,BU-3,数据中台,51.31,2026-03-05,2026Q1,项目集采,SM173,closed
SO200183,C1998,华南,南线,BU-3,运营商网关,34.293,2026-03-19,2026Q1,电商,SM107,closed
SO200184,C3102,西南,北线,BU-1,云平台,84.97,2025-07-01,2025Q3,直销,SM230,closed
SO200185,C3278,华东,中线,BU-6,BSS-OSS,255.68,2026-02-27,2026Q1,电商,SM132,pending
SO200186,C2293,华东,南线,BU-5,运营商网关,11.08,2026-03-18,2026Q1,项目集采,SM180,shipping
SO200187,C1571,华北,中线,BU-6,IT 服务,53.63,2026-01-26,2026Q1,渠道,SM199,shipping
SO200188,C2268,华南,北线,BU-3,BSS-OSS,40.809999999999995,2026-03-04,2026Q1,渠道,SM113,closed
SO200189,C1736,西南,东线,BU-4,云平台,171.65,2025-02-10,2025Q1,项目集采,SM237,closed
SO200190,C1776,西南,北线,BU-5,云平台,22.76,2026-03-04,2026Q1,渠道,SM161,closed
SO200191,C2037,华南,南线,BU-4,IT 服务,35.79,2025-08-20,2025Q3,项目集采,SM170,closed
SO200192,C2088,华南,南线,BU-5,运营商网关,13.98,2025-07-05,2025Q3,直销,SM189,closed
SO200193,C3384,华中,东线,BU-3,智能客服,109.64,2026-03-18,2026Q1,项目集采,SM147,closed
SO200194,C2499,华东,中线,BU-5,云平台,134.22,2025-02-04,2025Q1,项目集采,SM118,closed
SO200195,C2937,西南,东线,BU-2,云平台,32.02,2026-02-13,2026Q1,项目集采,SM150,closed
SO200196,C3249,华南,东线,BU-2,AI 助理,23.36,2024-09-12,2024Q3,项目集采,SM121,closed
SO200197,C1363,华南,中线,BU-4,数据中台,247.75,2026-01-12,2026Q1,渠道,SM136,closed
SO200198,C3767,华北,东线,BU-2,BSS-OSS,147.1,2026-03-22,2026Q1,项目集采,SM193,closed
SO200199,C2963,华东,东线,BU-6,智能客服,29.9,2026-02-07,2026Q1,项目集采,SM150,closed
SO200200,C1029,华北,南线,BU-5,AI 助理,15.11,2026-03-13,2026Q1,渠道,SM102,closed
SO200201,C3363,华南,东线,BU-6,IT 服务,8.35,2025-12-09,2025Q4,渠道,SM106,closed
SO200202,C2579,西南,中线,BU-4,AI 助理,78.3,2024-03-06,2024Q1,渠道,SM220,closed
SO200203,C3395,西南,北线,BU-1,智能客服,135.58,2025-08-16,2025Q3,电商,SM130,closed
SO200204,C2107,西南,东线,BU-2,BSS-OSS,26.02,2026-02-14,2026Q1,直销,SM118,closed
SO200205,C3432,华东,东线,BU-5,BSS-OSS,29.8,2026-02-08,2026Q1,项目集采,SM185,closed
SO200206,C3125,华东,北线,BU-3,IT 服务,69.64,2026-02-02,2026Q1,渠道,SM121,closed
SO200207,C3455,西南,中线,BU-2,IT 服务,27.3,2024-05-14,2024Q2,渠道,SM231,closed
SO200208,C1544,华东,中线,BU-2,BSS-OSS,84.56,2026-02-16,2026Q1,直销,SM117,closed
SO200209,C3478,华东,中线,BU-1,BSS-OSS,20.4,2024-01-15,2024Q1,渠道,SM165,closed
SO200210,C1654,华东,南线,BU-1,智能客服,2.23,2024-05-04,2024Q2,电商,SM212,closed
SO200211,C2340,西南,东线,BU-5,IT 服务,46.48,2025-06-04,2025Q2,直销,SM122,closed
SO200212,C3875,华东,北线,BU-5,IT 服务,33.22,2026-01-24,2026Q1,项目集采,SM127,shipping
SO200213,C2982,华东,北线,BU-5,智能客服,119.87,2025-06-12,2025Q2,电商,SM170,pending
SO200214,C2861,华北,南线,BU-3,智能客服,24.17,2024-03-05,2024Q1,项目集采,SM130,closed
SO200215,C2546,华东,中线,BU-6,运营商网关,171.39,2026-01-09,2026Q1,电商,SM116,closed
SO200216,C2965,华中,东线,BU-4,IT 服务,78.23,2025-12-09,2025Q4,渠道,SM234,closed
SO200217,C3706,华南,北线,BU-6,云平台,63.59,2025-02-14,2025Q1,项目集采,SM119,closed
SO200218,C3617,华东,东线,BU-1,IT 服务,13.8,2025-05-10,2025Q2,电商,SM189,closed
SO200219,C1035,华南,东线,BU-6,IT 服务,2.63,2024-08-13,2024Q3,直销,SM221,closed
SO200220,C3749,华南,南线,BU-4,BSS-OSS,11.89,2025-04-15,2025Q2,电商,SM101,closed
SO200221,C3718,华南,北线,BU-6,BSS-OSS,42.27,2025-09-05,2025Q3,项目集采,SM129,closed
SO200222,C3831,华中,北线,BU-1,智能客服,52.64,2025-12-06,2025Q4,项目集采,SM250,closed
SO200223,C3170,华东,南线,BU-6,IT 服务,41.25,2025-05-26,2025Q2,电商,SM111,closed
SO200224,C3598,华北,东线,BU-1,云平台,32.62,2024-07-04,2024Q3,电商,SM175,closed
SO200225,C3035,西南,北线,BU-6,BSS-OSS,10.86,2025-04-15,2025Q2,直销,SM205,closed
SO200226,C3738,华南,中线,BU-5,运营商网关,101.57,2025-11-18,2025Q4,渠道,SM112,closed
SO200227,C2354,西南,东线,BU-6,BSS-OSS,25.39,2025-09-01,2025Q3,渠道,SM234,closed
SO200228,C3025,西南,中线,BU-6,IT 服务,127.86,2025-01-01,2025Q1,项目集采,SM127,closed
SO200229,C1335,华东,中线,BU-1,IT 服务,12.28,2026-01-26,2026Q1,直销,SM222,closed
SO200230,C1579,华东,中线,BU-2,云平台,26.89,2025-09-14,2025Q3,渠道,SM208,closed
SO200231,C1949,西南,中线,BU-2,AI 助理,91.42,2026-02-17,2026Q1,电商,SM163,closed
SO200232,C1157,华中,东线,BU-1,AI 助理,26.92,2025-01-15,2025Q1,电商,SM132,closed
SO200233,C3039,华中,东线,BU-3,IT 服务,78.09,2025-10-21,2025Q4,直销,SM134,closed
SO200234,C1416,华北,北线,BU-6,智能客服,5.05,2026-01-12,2026Q1,电商,SM212,closed
SO200235,C1084,华东,东线,BU-2,智能客服,52.16,2026-01-26,2026Q1,电商,SM239,shipping
SO200236,C1792,华北,东线,BU-4,数据中台,27.41,2026-01-02,2026Q1,项目集采,SM157,shipping
SO200237,C1395,华北,中线,BU-6,数据中台,66.95,2026-03-05,2026Q1,渠道,SM243,closed
SO200238,C2198,华东,南线,BU-6,智能客服,54.57,2024-12-08,2024Q4,渠道,SM214,closed
SO200239,C1135,华东,南线,BU-5,BSS-OSS,146.11,2025-07-16,2025Q3,直销,SM161,closed
SO200240,C1234,西南,南线,BU-4,智能客服,129.46,2024-08-09,2024Q3,直销,SM142,closed
SO200241,C1119,东北,南线,BU-2,BSS-OSS,15.12,2026-02-12,2026Q1,渠道,SM177,pending
SO200242,C2578,华东,南线,BU-2,智能客服,11.61,2024-01-03,2024Q1,直销,SM120,closed
SO200243,C2741,华南,南线,BU-3,智能客服,88.77,2024-09-08,2024Q3,电商,SM162,closed
SO200244,C1975,华南,北线,BU-3,BSS-OSS,32.48,2025-04-10,2025Q2,电商,SM228,closed
SO200245,C1167,华东,北线,BU-6,BSS-OSS,141.3,2026-02-07,2026Q1,电商,SM108,closed
SO200246,C3112,华北,北线,BU-1,云平台,25.15,2026-02-17,2026Q1,直销,SM129,closed
SO200247,C1708,华东,中线,BU-5,云平台,97.41,2024-06-24,2024Q2,直销,SM118,closed
SO200248,C3564,华中,北线,BU-2,BSS-OSS,0.04,2025-11-27,2025Q4,项目集采,SM147,closed
SO200249,C2066,华中,东线,BU-3,数据中台,14.56,2025-10-18,2025Q4,直销,SM218,closed
SO200250,C3852,华东,北线,BU-1,运营商网关,34.47,2026-02-21,2026Q1,项目集采,SM159,closed
SO200251,C3437,华中,南线,BU-6,AI 助理,145.91,2025-06-19,2025Q2,项目集采,SM231,closed
SO200252,C2081,华北,北线,BU-3,IT 服务,78.59,2026-01-04,2026Q1,渠道,SM100,closed
SO200253,C1152,东北,南线,BU-1,云平台,11.26,2024-06-07,2024Q2,电商,SM170,closed
SO200254,C3684,华东,南线,BU-5,IT 服务,82.43,2025-12-21,2025Q4,项目集采,SM169,closed
SO200255,C2810,华北,东线,BU-5,运营商网关,151.27,2024-12-23,2024Q4,电商,SM106,closed
SO200256,C3194,华南,南线,BU-4,运营商网关,1.24,2026-02-25,2026Q1,项目集采,SM125,closed
SO200257,C3884,华北,东线,BU-2,云平台,168.28,2025-10-13,2025Q4,渠道,SM180,closed
SO200258,C3820,华中,南线,BU-6,BSS-OSS,110.92,2025-08-26,2025Q3,渠道,SM126,closed
