campaign_id,campaign_name,channel,start_date,end_date,budget_wan,spend_wan,impressions,clicks,ctr_pct,conversions,cvr_pct,revenue_wan,roi
CMP1065,营销活动-0065,线下,2026-01-13,2026-01-23,343.31,337.52,1912292,32126,1.68,1392,4.3329,222388.41,658.89
CMP1066,营销活动-0066,短视频,2025-03-02,2025-03-14,68.34,71.3,184696,1032,0.5588,88,8.5271,12353.78,173.26
CMP1067,营销活动-0067,联盟,2025-06-16,2025-06-24,156.79,156.64,239830,5397,2.2503,201,3.7243,46770.9,298.59
CMP1068,营销活动-0068,短视频,2026-02-15,2026-03-12,203.47,197.84,869267,7704,0.8863,305,3.959,46092.35,232.98
CMP1069,营销活动-0069,短视频,2025-08-20,2025-08-28,130.6,128.75,1918445,49351,2.5724,3883,7.8681,1131135.08,8785.52
CMP1070,营销活动-0070,短视频,2025-12-06,2025-12-25,448.95,400.26,1116191,26607,2.3837,892,3.3525,166252.1,415.36
CMP1071,营销活动-0071,联盟,2025-05-20,2025-05-28,495.5,461.94,345088,6863,1.9888,615,8.9611,114525.98,247.92
CMP1072,营销活动-0072,社交,2025-01-08,2025-02-07,96.01,98.8,312205,5506,1.7636,344,6.2477,52543.83,531.82
CMP1073,营销活动-0073,线下,2026-04-07,2026-04-23,155.48,147.5,265508,5706,2.1491,448,7.8514,109543.41,742.67
CMP1074,营销活动-0074,邮件,2025-09-08,2025-09-25,270.56,254.65,293759,7106,2.419,332,4.6721,68112.39,267.47
CMP1075,营销活动-0075,搜索,2025-07-31,2025-08-10,390.51,394.34,427609,4446,1.0397,207,4.6559,27469.79,69.66
CMP1076,营销活动-0076,线下,2025-10-09,2025-10-17,293.49,299.74,285406,4176,1.4632,86,2.0594,14156.51,47.23
CMP1077,营销活动-0077,社交,2025-06-17,2025-07-08,379.98,326.96,582427,4849,0.8326,186,3.8358,38908.16,119.0
CMP1078,营销活动-0078,线下,2025-12-29,2026-01-26,303.31,315.21,131567,2446,1.8591,67,2.7392,16033.39,50.87
CMP1079,营销活动-0079,邮件,2025-03-22,2025-04-08,496.45,485.49,360583,4067,1.1279,390,9.5894,84701.44,174.47
CMP1080,营销活动-0080,联盟,2025-12-22,2026-01-06,476.08,481.68,25478,155,0.6084,13,8.3871,3293.06,6.84
CMP1081,营销活动-0081,短视频,2025-05-26,2025-06-15,304.72,292.23,448605,4785,1.0666,148,3.093,30251.24,103.52
CMP1082,营销活动-0082,信息流,2025-06-22,2025-07-07,244.16,212.62,358226,8107,2.2631,537,6.6239,125783.08,591.59
CMP1083,营销活动-0083,短视频,2025-04-26,2025-05-16,304.0,285.3,162356,3325,2.048,297,8.9323,45648.97,160.0
CMP1084,营销活动-0084,信息流,2025-06-08,2025-07-01,417.52,383.2,115028,1726,1.5005,110,6.3731,15499.04,40.45
CMP1085,营销活动-0085,搜索,2026-03-01,2026-03-24,107.5,111.71,260768,2065,0.7919,51,2.4697,6527.87,58.44
CMP1086,营销活动-0086,搜索,2025-07-25,2025-08-08,455.82,426.71,109461,2505,2.2885,204,8.1437,24946.06,58.46
CMP1087,营销活动-0087,短视频,2025-07-28,2025-08-16,189.55,168.08,1331486,39302,2.9517,2382,6.0608,205381.12,1221.92
CMP1088,营销活动-0088,搜索,2025-11-11,2025-12-01,287.49,282.47,410826,9205,2.2406,859,9.3319,115906.6,410.33
CMP1089,营销活动-0089,短视频,2025-04-20,2025-04-28,112.23,96.96,562376,3861,0.6866,327,8.4693,46947.89,484.2
CMP1090,营销活动-0090,信息流,2025-02-25,2025-03-27,286.03,288.64,1523189,30043,1.9724,854,2.8426,98243.92,340.37
CMP1091,营销活动-0091,短视频,2026-02-15,2026-03-03,302.61,312.24,1050518,26282,2.5018,1125,4.2805,294252.98,942.39
CMP1092,营销活动-0092,线下,2025-01-29,2025-02-24,399.33,366.23,653615,9394,1.4372,340,3.6193,68487.21,187.01
CMP1093,营销活动-0093,联盟,2025-12-15,2026-01-05,494.98,493.55,5268,141,2.6765,3,2.1277,244.75,0.5
CMP1094,营销活动-0094,线下,2025-10-09,2025-10-25,260.43,246.12,1011677,10630,1.0507,567,5.334,105766.72,429.74
CMP1095,营销活动-0095,信息流,2025-06-18,2025-07-08,137.67,130.96,852853,13934,1.6338,1039,7.4566,239967.65,1832.37
CMP1096,营销活动-0096,短视频,2025-09-09,2025-09-28,233.93,229.02,137127,1949,1.4213,57,2.9246,5242.41,22.89
CMP1097,营销活动-0097,线下,2025-10-27,2025-11-21,462.7,413.3,89577,916,1.0226,23,2.5109,6586.71,15.94
CMP1098,营销活动-0098,邮件,2025-08-16,2025-08-27,152.34,155.07,11690,275,2.3524,14,5.0909,4113.75,26.53
CMP1099,营销活动-0099,线下,2025-06-06,2025-06-20,462.82,429.54,691444,18756,2.7126,1742,9.2877,351703.24,818.79
CMP1100,营销活动-0100,短视频,2025-03-15,2025-04-12,261.84,230.71,400965,7521,1.8757,227,3.0182,66958.02,290.23
CMP1101,营销活动-0101,搜索,2025-02-18,2025-03-20,429.88,373.12,1084356,6382,0.5886,136,2.131,30515.41,81.78
CMP1102,营销活动-0102,搜索,2026-04-02,2026-04-13,121.82,111.06,516846,6810,1.3176,351,5.1542,61452.82,553.33
CMP1103,营销活动-0103,短视频,2025-08-26,2025-09-11,70.83,74.27,246836,1502,0.6085,99,6.5912,10874.16,146.41
CMP1104,营销活动-0104,联盟,2025-01-27,2025-02-09,328.57,300.24,96076,1818,1.8923,116,6.3806,10094.87,33.62
CMP1105,营销活动-0105,信息流,2025-12-25,2026-01-24,497.69,465.85,563601,5583,0.9906,550,9.8513,65648.03,140.92
CMP1106,营销活动-0106,信息流,2025-12-13,2025-12-21,494.92,516.79,1483163,40378,2.7224,3441,8.522,510498.84,987.83
CMP1107,营销活动-0107,信息流,2026-02-13,2026-03-15,278.82,256.21,45254,1137,2.5125,39,3.4301,3514.45,13.72
CMP1108,营销活动-0108,搜索,2026-04-06,2026-04-19,216.7,219.79,256601,2394,0.933,199,8.3124,59215.95,269.42
CMP1109,营销活动-0109,搜索,2026-02-22,2026-03-02,227.94,212.07,837727,23158,2.7644,1281,5.5316,325015.93,1532.59
CMP1110,营销活动-0110,邮件,2026-03-13,2026-03-29,456.48,467.17,8431,249,2.9534,9,3.6145,2310.64,4.95
CMP1111,营销活动-0111,联盟,2025-05-17,2025-05-29,119.49,112.98,216524,6236,2.8801,429,6.8794,68326.35,604.77
CMP1112,营销活动-0112,短视频,2025-10-19,2025-10-30,490.42,500.17,149067,1555,1.0432,132,8.4887,35264.39,70.5
CMP1113,营销活动-0113,搜索,2026-02-01,2026-02-28,403.63,382.56,149140,3566,2.391,130,3.6455,35877.47,93.78
CMP1114,营销活动-0114,社交,2025-08-19,2025-09-11,280.44,266.1,429610,12223,2.8451,1057,8.6476,310226.37,1165.83
CMP1115,营销活动-0115,短视频,2025-11-24,2025-12-15,56.22,54.69,132870,2233,1.6806,170,7.6131,50381.01,921.21
CMP1116,营销活动-0116,社交,2025-08-25,2025-09-22,434.17,445.64,143716,1529,1.0639,113,7.3905,15728.6,35.29
CMP1117,营销活动-0117,信息流,2025-08-11,2025-09-02,264.36,240.08,191457,3925,2.0501,217,5.5287,20762.22,86.48
CMP1118,营销活动-0118,邮件,2026-03-04,2026-04-01,154.61,152.43,102954,661,0.642,57,8.6233,11356.99,74.51
CMP1119,营销活动-0119,邮件,2025-05-12,2025-06-02,287.42,275.18,71564,1630,2.2777,121,7.4233,30789.53,111.89
CMP1120,营销活动-0120,搜索,2025-12-27,2026-01-12,174.88,165.82,408434,7195,1.7616,382,5.3092,60393.81,364.21
CMP1121,营销活动-0121,社交,2025-09-04,2025-09-19,463.35,442.13,1906018,40487,2.1242,2953,7.2937,844647.27,1910.4
CMP1122,营销活动-0122,短视频,2026-01-26,2026-02-09,336.33,316.33,5857,93,1.5878,3,3.2258,372.88,1.18
CMP1123,营销活动-0123,邮件,2025-09-10,2025-10-04,440.62,440.19,884931,5459,0.6169,247,4.5246,52150.12,118.47
CMP1124,营销活动-0124,线下,2026-02-01,2026-02-24,56.64,55.91,319639,7252,2.2688,195,2.6889,57635.91,1030.87
CMP1125,营销活动-0125,社交,2025-02-04,2025-02-24,289.34,269.97,165507,3808,2.3008,165,4.333,16556.87,61.33
CMP1126,营销活动-0126,联盟,2025-02-04,2025-03-05,342.45,297.98,148441,986,0.6642,90,9.1278,26049.81,87.42
CMP1127,营销活动-0127,联盟,2025-05-17,2025-05-25,405.13,357.77,409617,9525,2.3253,448,4.7034,128582.73,359.4
CMP1128,营销活动-0128,社交,2025-05-24,2025-06-08,245.98,232.02,819666,19167,2.3384,1776,9.2659,429618.77,1851.65
CMP1129,营销活动-0129,联盟,2025-08-02,2025-08-10,152.47,137.75,159472,3097,1.942,180,5.8121,28769.65,208.85
CMP1130,营销活动-0130,线下,2025-04-02,2025-04-15,110.51,108.55,1138109,14202,1.2479,1315,9.2593,258437.28,2380.81
CMP1131,营销活动-0131,线下,2025-07-28,2025-08-12,424.15,388.59,36065,941,2.6092,81,8.6079,16830.16,43.31
CMP1132,营销活动-0132,搜索,2025-03-09,2025-03-18,391.93,357.51,314616,5772,1.8346,437,7.571,121725.64,340.48
CMP1133,营销活动-0133,社交,2026-01-19,2026-02-12,233.93,244.86,291599,7083,2.429,511,7.2145,82996.43,338.95
CMP1134,营销活动-0134,短视频,2025-06-26,2025-07-21,450.73,460.38,372535,5899,1.5835,387,6.5604,83788.26,182.0
CMP1135,营销活动-0135,线下,2025-11-28,2025-12-23,67.26,70.09,121896,2463,2.0206,119,4.8315,34632.21,494.11
CMP1136,营销活动-0136,搜索,2025-11-15,2025-12-09,283.31,274.54,141451,1906,1.3475,76,3.9874,18761.53,68.34
CMP1137,营销活动-0137,联盟,2025-02-11,2025-02-23,68.99,66.22,339823,4544,1.3372,426,9.375,126114.53,1904.48
CMP1138,营销活动-0138,线下,2025-08-19,2025-08-27,109.95,105.14,220038,5843,2.6555,337,5.7676,73430.3,698.4
CMP1139,营销活动-0139,联盟,2025-07-21,2025-08-08,379.92,370.56,839532,10022,1.1938,668,6.6653,198936.75,536.85
CMP1140,营销活动-0140,搜索,2025-01-30,2025-02-19,194.96,174.6,664859,13363,2.0099,638,4.7744,181951.28,1042.1
CMP1141,营销活动-0141,邮件,2025-02-05,2025-02-12,226.79,204.69,181193,1721,0.9498,67,3.8931,16839.55,82.27
CMP1142,营销活动-0142,社交,2025-11-30,2025-12-16,225.1,210.75,2609789,76176,2.9189,6913,9.075,761588.45,3613.71
CMP1143,营销活动-0143,搜索,2025-12-05,2025-12-19,295.58,296.41,795146,16178,2.0346,337,2.0831,67666.85,228.29
CMP1144,营销活动-0144,社交,2026-04-23,2026-05-07,232.41,231.77,518095,7900,1.5248,689,8.7215,86215.62,371.99
CMP1145,营销活动-0145,搜索,2025-10-31,2025-11-10,282.89,295.37,221626,5875,2.6509,528,8.9872,148412.74,502.46
CMP1146,营销活动-0146,搜索,2025-07-15,2025-07-26,432.7,387.98,866604,6451,0.7444,552,8.5568,139074.01,358.46
CMP1147,营销活动-0147,搜索,2025-08-09,2025-09-03,81.76,78.1,139930,3267,2.3347,185,5.6627,46877.64,600.23
CMP1148,营销活动-0148,社交,2025-06-22,2025-07-19,162.92,158.32,78790,1074,1.3631,59,5.4935,15774.87,99.64
CMP1149,营销活动-0149,社交,2025-02-01,2025-02-09,172.27,166.85,173579,1901,1.0952,130,6.8385,38997.9,233.73
CMP1150,营销活动-0150,线下,2025-08-04,2025-08-20,82.5,79.93,70652,1633,2.3113,125,7.6546,36182.81,452.68
CMP1151,营销活动-0151,信息流,2025-12-05,2025-12-28,297.62,261.42,302780,3681,1.2157,202,5.4876,22136.88,84.68
CMP1152,营销活动-0152,短视频,2026-02-06,2026-02-16,97.85,93.01,1164213,7729,0.6639,155,2.0054,34469.65,370.6
CMP1153,营销活动-0153,短视频,2025-03-18,2025-04-03,274.68,286.11,196713,3676,1.8687,169,4.5974,25558.03,89.33
CMP1154,营销活动-0154,搜索,2025-10-13,2025-11-02,493.39,450.71,144973,2172,1.4982,105,4.8343,25796.51,57.24
CMP1155,营销活动-0155,联盟,2025-08-27,2025-09-06,97.63,85.52,1565250,31090,1.9863,1580,5.082,148426.99,1735.58
CMP1156,营销活动-0156,社交,2025-12-16,2026-01-01,358.04,353.69,524997,15067,2.8699,758,5.0309,61335.25,173.42
CMP1157,营销活动-0157,邮件,2025-11-16,2025-12-04,352.0,322.04,101157,2841,2.8085,258,9.0813,75678.85,235.0
CMP1158,营销活动-0158,信息流,2026-01-12,2026-02-11,303.59,314.86,1604536,13216,0.8237,1038,7.8541,180852.5,574.39
CMP1159,营销活动-0159,社交,2025-07-17,2025-08-09,269.04,279.57,2282364,50089,2.1946,1853,3.6994,509776.62,1823.43
CMP1160,营销活动-0160,短视频,2025-07-30,2025-08-09,231.88,222.85,236415,5221,2.2084,317,6.0716,93469.12,419.43
CMP1161,营销活动-0161,邮件,2025-12-27,2026-01-22,403.4,412.35,185546,5264,2.837,343,6.516,58228.94,141.21
CMP1162,营销活动-0162,信息流,2025-10-08,2025-10-30,347.45,328.07,304338,5226,1.7172,198,3.7887,48537.61,147.95
CMP1163,营销活动-0163,邮件,2026-01-19,2026-02-05,254.65,242.17,718488,7118,0.9907,607,8.5277,84272.62,347.99
CMP1164,营销活动-0164,信息流,2026-03-19,2026-04-02,474.05,469.81,1510382,15744,1.0424,462,2.9345,45332.77,96.49
CMP1165,营销活动-0165,线下,2026-03-25,2026-04-15,254.14,228.29,574667,10004,1.7408,458,4.5782,48949.95,214.42
CMP1166,营销活动-0166,线下,2025-02-06,2025-03-08,407.24,416.41,120874,979,0.8099,83,8.478,12455.89,29.91
CMP1167,营销活动-0167,搜索,2025-12-29,2026-01-08,355.93,305.79,328645,1748,0.5319,117,6.6934,21933.99,71.73
CMP1168,营销活动-0168,短视频,2026-02-21,2026-03-22,217.8,220.63,200445,2059,1.0272,64,3.1083,17593.53,79.74
CMP1169,营销活动-0169,线下,2025-03-02,2025-03-31,121.96,118.33,1505096,27480,1.8258,691,2.5146,68225.03,576.57
CMP1170,营销活动-0170,联盟,2025-01-16,2025-01-29,125.19,108.02,446622,5497,1.2308,282,5.1301,54652.48,505.95
CMP1171,营销活动-0171,联盟,2025-10-11,2025-10-26,152.79,141.33,33555,739,2.2024,38,5.1421,9974.62,70.58
CMP1172,营销活动-0172,社交,2025-10-05,2025-11-01,64.98,58.5,1194133,11527,0.9653,341,2.9583,97326.86,1663.71
CMP1173,营销活动-0173,信息流,2025-03-17,2025-04-06,498.78,505.16,619706,10626,1.7147,446,4.1973,81056.32,160.46
CMP1174,营销活动-0174,短视频,2025-04-15,2025-05-11,342.39,333.1,123340,1104,0.8951,37,3.3514,4172.57,12.53
CMP1175,营销活动-0175,短视频,2026-04-10,2026-04-26,181.58,168.73,232028,3780,1.6291,105,2.7778,13012.73,77.12
CMP1176,营销活动-0176,信息流,2026-01-25,2026-02-14,410.31,372.35,63015,335,0.5316,17,5.0746,1403.35,3.77
CMP1177,营销活动-0177,信息流,2025-10-18,2025-10-27,232.26,242.47,266112,4611,1.7327,348,7.5472,44479.78,183.44
CMP1178,营销活动-0178,社交,2025-07-31,2025-08-20,414.31,420.72,244231,1891,0.7743,87,4.6007,17985.56,42.75
CMP1179,营销活动-0179,社交,2025-07-27,2025-08-20,394.2,363.12,22586,603,2.6698,28,4.6434,8058.89,22.19
CMP1180,营销活动-0180,联盟,2025-09-20,2025-10-18,431.91,419.98,81329,429,0.5275,9,2.0979,1978.44,4.71
CMP1181,营销活动-0181,信息流,2025-12-25,2026-01-03,427.86,398.78,1634250,11738,0.7182,514,4.3789,87109.73,218.44
CMP1182,营销活动-0182,联盟,2025-09-14,2025-10-02,279.6,279.42,643819,9648,1.4986,821,8.5095,175117.18,626.72
CMP1183,营销活动-0183,线下,2025-12-20,2026-01-05,206.74,200.55,272787,3320,1.2171,330,9.9398,87148.88,434.55
CMP1184,营销活动-0184,联盟,2026-04-19,2026-04-28,163.49,159.24,74004,1998,2.6999,117,5.8559,16739.75,105.12
CMP1185,营销活动-0185,短视频,2026-04-22,2026-04-30,231.33,217.04,79029,516,0.6529,42,8.1395,9195.85,42.37
CMP1186,营销活动-0186,信息流,2025-01-27,2025-02-06,190.29,170.69,20679,144,0.6964,11,7.6389,1995.52,11.69
CMP1187,营销活动-0187,联盟,2025-02-08,2025-03-02,378.18,351.89,163451,1873,1.1459,132,7.0475,30444.41,86.52
CMP1188,营销活动-0188,搜索,2025-04-09,2025-05-03,289.06,300.33,482205,2688,0.5574,185,6.8824,28285.74,94.18
CMP1189,营销活动-0189,联盟,2025-01-20,2025-02-04,213.72,223.05,324095,8240,2.5425,456,5.534,87452.36,392.08
CMP1190,营销活动-0190,联盟,2026-03-17,2026-04-07,281.42,269.11,351951,8518,2.4202,386,4.5316,40450.13,150.31
CMP1191,营销活动-0191,线下,2026-02-16,2026-02-24,376.8,342.62,215744,6336,2.9368,324,5.1136,55570.84,162.19
CMP1192,营销活动-0192,联盟,2025-04-11,2025-04-22,107.91,100.78,107144,2332,2.1765,49,2.1012,8692.14,86.25
CMP1193,营销活动-0193,短视频,2025-06-29,2025-07-15,443.03,440.63,989248,21473,2.1706,882,4.1075,82278.82,186.73
CMP1194,营销活动-0194,邮件,2025-02-02,2025-02-11,420.0,436.44,4583,64,1.3965,5,7.8125,695.86,1.59
CMP1195,营销活动-0195,邮件,2025-09-28,2025-10-16,254.97,222.2,489664,6962,1.4218,541,7.7708,136306.93,613.44
CMP1196,营销活动-0196,信息流,2025-10-09,2025-11-03,287.47,295.57,596676,16619,2.7853,676,4.0676,105174.24,355.84
CMP1197,营销活动-0197,联盟,2025-01-29,2025-02-23,374.74,386.74,1073224,6322,0.5891,321,5.0775,89736.64,232.03
CMP1198,营销活动-0198,社交,2025-08-04,2025-08-25,175.76,166.55,20442,583,2.852,48,8.2333,12114.82,72.74
CMP1199,营销活动-0199,社交,2025-02-02,2025-02-09,249.89,232.62,97943,1588,1.6214,112,7.0529,23896.7,102.73
