store_id,store_name,region,city,format,month,weekday_sales,weekend_sales,total_sales,gross_margin,headcount
S2014,门店-0014,华东,深圳,标准店,2026-04,118.58,143.78,262.36,0.3358,5
S2014,门店-0014,华东,上海,标准店,2025-05,66.98,59.17,126.14,0.325,14
S2014,门店-0014,华东,广州,标准店,2025-06,270.63,417.51,688.14,0.1978,12
S2014,门店-0014,华东,西安,标准店,2025-07,68.69,72.88,141.57,0.1988,7
S2014,门店-0014,华东,重庆,标准店,2025-08,297.29,335.83,633.12,0.3292,15
S2014,门店-0014,华东,西安,标准店,2025-09,109.12,169.62,278.74,0.2632,10
S2014,门店-0014,华东,广州,标准店,2025-10,211.85,293.62,505.47,0.2287,3
S2014,门店-0014,华东,南京,标准店,2025-11,270.2,387.32,657.52,0.2874,6
S2014,门店-0014,华东,武汉,标准店,2025-12,144.6,123.72,268.32,0.3148,9
S2015,门店-0015,华东,上海,无人店,2026-01,88.6,90.05,178.65,0.2812,5
S2015,门店-0015,华东,西安,无人店,2026-02,213.18,258.93,472.11,0.2688,5
S2015,门店-0015,华东,西安,无人店,2026-03,237.26,241.45,478.72,0.2974,8
S2015,门店-0015,华东,武汉,无人店,2026-04,129.71,191.82,321.53,0.2591,11
S2015,门店-0015,华东,武汉,无人店,2025-05,246.95,386.38,633.33,0.2862,11
S2015,门店-0015,华东,武汉,无人店,2025-06,201.34,233.97,435.31,0.3109,7
S2015,门店-0015,华东,重庆,无人店,2025-07,64.64,79.89,144.54,0.3075,14
S2015,门店-0015,华东,武汉,无人店,2025-08,97.34,154.57,251.91,0.2204,8
S2015,门店-0015,华东,深圳,无人店,2025-09,223.32,334.39,557.71,0.2485,14
S2015,门店-0015,华东,上海,无人店,2025-10,87.41,102.51,189.93,0.2839,7
S2015,门店-0015,华东,南京,无人店,2025-11,337.27,526.0,863.27,0.2202,13
S2015,门店-0015,华东,深圳,无人店,2025-12,189.92,206.57,396.49,0.315,13
S2016,门店-0016,华北,广州,无人店,2026-01,177.37,260.55,437.93,0.2293,3
S2016,门店-0016,华北,西安,无人店,2026-02,131.66,121.54,253.2,0.1809,14
S2016,门店-0016,华北,南京,无人店,2026-03,125.74,170.96,296.7,0.2187,13
S2016,门店-0016,华北,广州,无人店,2026-04,45.96,68.38,114.34,0.3194,6
S2016,门店-0016,华北,杭州,无人店,2025-05,244.15,362.12,606.26,0.3188,11
S2016,门店-0016,华北,杭州,无人店,2025-06,93.96,143.84,237.81,0.2302,10
S2016,门店-0016,华北,重庆,无人店,2025-07,176.7,173.7,350.41,0.2688,7
S2016,门店-0016,华北,深圳,无人店,2025-08,217.4,186.61,404.01,0.3076,14
S2016,门店-0016,华北,西安,无人店,2025-09,254.99,357.05,612.05,0.2665,3
S2016,门店-0016,华北,上海,无人店,2025-10,76.36,61.99,138.34,0.181,14
S2016,门店-0016,华北,南京,无人店,2025-11,57.25,86.95,144.21,0.2901,8
S2016,门店-0016,华北,深圳,无人店,2025-12,63.9,82.51,146.41,0.2981,15
S2017,门店-0017,东北,北京,旗舰店,2026-01,65.87,83.27,149.14,0.2147,11
S2017,门店-0017,东北,广州,旗舰店,2026-02,221.75,260.65,482.4,0.3123,13
S2017,门店-0017,东北,南京,旗舰店,2026-03,197.47,250.46,447.93,0.1939,10
S2017,门店-0017,东北,重庆,旗舰店,2026-04,184.76,253.95,438.71,0.2971,8
S2017,门店-0017,东北,重庆,旗舰店,2025-05,53.51,58.22,111.72,0.1819,8
S2017,门店-0017,东北,杭州,旗舰店,2025-06,84.96,134.24,219.2,0.2323,6
S2017,门店-0017,东北,上海,旗舰店,2025-07,196.58,271.13,467.71,0.3145,6
S2017,门店-0017,东北,广州,旗舰店,2025-08,119.76,189.1,308.86,0.2158,4
S2017,门店-0017,东北,广州,旗舰店,2025-09,261.57,398.18,659.75,0.27,8
S2017,门店-0017,东北,杭州,旗舰店,2025-10,216.76,316.73,533.49,0.264,11
S2017,门店-0017,东北,杭州,旗舰店,2025-11,83.38,91.82,175.2,0.3064,8
S2017,门店-0017,东北,深圳,旗舰店,2025-12,249.22,203.4,452.62,0.2544,3
S2018,门店-0018,华东,北京,便利店,2026-01,122.35,117.21,239.56,0.2229,10
S2018,门店-0018,华东,上海,便利店,2026-02,181.37,232.24,413.61,0.3259,15
S2018,门店-0018,华东,北京,便利店,2026-03,173.64,140.05,313.69,0.2647,10
S2018,门店-0018,华东,深圳,便利店,2026-04,179.3,183.12,362.42,0.3077,14
S2018,门店-0018,华东,重庆,便利店,2025-05,251.43,380.49,631.92,0.2326,15
S2018,门店-0018,华东,武汉,便利店,2025-06,67.84,67.41,135.25,0.259,14
S2018,门店-0018,华东,南京,便利店,2025-07,328.01,468.02,796.02,0.2193,13
S2018,门店-0018,华东,南京,便利店,2025-08,352.52,511.0,863.53,0.264,14
S2018,门店-0018,华东,西安,便利店,2025-09,242.5,321.72,564.22,0.2751,9
S2018,门店-0018,华东,北京,便利店,2025-10,91.19,134.81,226.0,0.2921,8
S2018,门店-0018,华东,杭州,便利店,2025-11,232.66,192.21,424.87,0.2254,8
S2018,门店-0018,华东,南京,便利店,2025-12,276.3,318.12,594.42,0.2128,15
S2019,门店-0019,东北,西安,标准店,2026-01,131.76,164.56,296.32,0.2634,10
S2019,门店-0019,东北,上海,标准店,2026-02,243.11,356.0,599.1,0.2261,12
S2019,门店-0019,东北,武汉,标准店,2026-03,149.02,183.31,332.34,0.209,3
S2019,门店-0019,东北,武汉,标准店,2026-04,104.32,92.19,196.51,0.1826,14
S2019,门店-0019,东北,南京,标准店,2025-05,218.58,285.61,504.19,0.2141,8
S2019,门店-0019,东北,武汉,标准店,2025-06,97.16,112.18,209.34,0.3169,13
S2019,门店-0019,东北,西安,标准店,2025-07,88.8,135.95,224.75,0.3044,15
S2019,门店-0019,东北,上海,标准店,2025-08,192.04,304.02,496.06,0.1961,9
S2019,门店-0019,东北,北京,标准店,2025-09,247.12,249.88,496.99,0.255,13
S2019,门店-0019,东北,北京,标准店,2025-10,173.62,150.96,324.58,0.2139,6
S2019,门店-0019,东北,重庆,标准店,2025-11,220.21,306.09,526.3,0.2993,9
S2019,门店-0019,东北,北京,标准店,2025-12,130.58,149.88,280.46,0.1802,9
S2020,门店-0020,华北,重庆,无人店,2026-01,265.26,293.96,559.22,0.2939,3
S2020,门店-0020,华北,成都,无人店,2026-02,141.86,123.03,264.89,0.2166,3
S2020,门店-0020,华北,武汉,无人店,2026-03,222.79,237.19,459.98,0.2529,7
S2020,门店-0020,华北,武汉,无人店,2026-04,174.47,267.28,441.75,0.2478,15
S2020,门店-0020,华北,重庆,无人店,2025-05,248.66,254.98,503.64,0.2759,11
S2020,门店-0020,华北,西安,无人店,2025-06,189.56,297.62,487.18,0.185,9
S2020,门店-0020,华北,深圳,无人店,2025-07,244.48,379.47,623.95,0.3124,9
S2020,门店-0020,华北,西安,无人店,2025-08,76.37,83.12,159.49,0.2842,4
S2020,门店-0020,华北,成都,无人店,2025-09,77.42,63.92,141.34,0.2871,11
S2020,门店-0020,华北,杭州,无人店,2025-10,135.86,194.02,329.88,0.3159,6
S2020,门店-0020,华北,杭州,无人店,2025-11,117.51,123.14,240.65,0.1825,6
S2020,门店-0020,华北,成都,无人店,2025-12,237.37,308.57,545.93,0.1941,10
S2021,门店-0021,东北,南京,标准店,2026-01,68.0,105.24,173.24,0.2327,13
S2021,门店-0021,东北,杭州,标准店,2026-02,140.66,196.0,336.66,0.256,11
S2021,门店-0021,东北,南京,标准店,2026-03,195.12,250.43,445.55,0.1865,15
S2021,门店-0021,东北,西安,标准店,2026-04,137.89,207.65,345.54,0.292,7
S2021,门店-0021,东北,广州,标准店,2025-05,183.21,151.14,334.35,0.3034,8
S2021,门店-0021,东北,北京,标准店,2025-06,135.93,173.47,309.4,0.264,11
S2021,门店-0021,东北,杭州,标准店,2025-07,122.01,136.73,258.74,0.2244,13
S2021,门店-0021,东北,成都,标准店,2025-08,155.41,155.32,310.73,0.2167,14
S2021,门店-0021,东北,深圳,标准店,2025-09,251.4,367.39,618.78,0.2292,14
S2021,门店-0021,东北,杭州,标准店,2025-10,240.65,257.7,498.35,0.2745,12
S2021,门店-0021,东北,成都,标准店,2025-11,141.12,116.15,257.27,0.3021,9
S2021,门店-0021,东北,广州,标准店,2025-12,259.13,229.87,489.0,0.3092,11
S2022,门店-0022,华北,西安,无人店,2026-01,216.68,251.45,468.12,0.3176,14
S2022,门店-0022,华北,武汉,无人店,2026-02,133.87,124.83,258.7,0.2752,15
S2022,门店-0022,华北,武汉,无人店,2026-03,50.02,67.26,117.28,0.2953,4
S2022,门店-0022,华北,北京,无人店,2026-04,203.79,164.88,368.67,0.1998,5
S2022,门店-0022,华北,西安,无人店,2025-05,77.2,84.75,161.95,0.2699,14
S2022,门店-0022,华北,上海,无人店,2025-06,212.7,310.01,522.71,0.2802,8
S2022,门店-0022,华北,南京,无人店,2025-07,109.31,154.15,263.45,0.2834,3
S2022,门店-0022,华北,成都,无人店,2025-08,167.34,224.86,392.19,0.2088,8
S2022,门店-0022,华北,南京,无人店,2025-09,167.1,170.7,337.8,0.2394,4
S2022,门店-0022,华北,西安,无人店,2025-10,89.63,92.44,182.07,0.2735,11
S2022,门店-0022,华北,西安,无人店,2025-11,216.74,215.68,432.43,0.2456,15
S2022,门店-0022,华北,广州,无人店,2025-12,97.02,129.09,226.11,0.2537,15
S2023,门店-0023,东北,广州,无人店,2026-01,191.51,180.33,371.84,0.2311,10
S2023,门店-0023,东北,上海,无人店,2026-02,108.65,173.41,282.06,0.2992,13
S2023,门店-0023,东北,上海,无人店,2026-03,212.96,263.99,476.96,0.2371,7
S2023,门店-0023,东北,上海,无人店,2026-04,173.48,191.49,364.97,0.2726,13
S2023,门店-0023,东北,南京,无人店,2025-05,45.61,61.31,106.92,0.1817,15
S2023,门店-0023,东北,武汉,无人店,2025-06,243.7,202.09,445.79,0.2388,12
S2023,门店-0023,东北,杭州,无人店,2025-07,222.46,256.43,478.89,0.2224,10
S2023,门店-0023,东北,南京,无人店,2025-08,209.67,233.35,443.02,0.2941,13
S2023,门店-0023,东北,西安,无人店,2025-09,162.49,177.4,339.88,0.2091,7
S2023,门店-0023,东北,武汉,无人店,2025-10,138.2,128.18,266.39,0.2508,7
S2023,门店-0023,东北,重庆,无人店,2025-11,48.48,38.89,87.37,0.293,4
S2023,门店-0023,东北,重庆,无人店,2025-12,229.81,247.47,477.28,0.1914,10
S2024,门店-0024,华东,重庆,便利店,2026-01,306.25,267.41,573.66,0.3195,9
S2024,门店-0024,华东,武汉,便利店,2026-02,283.13,394.47,677.6,0.3335,8
S2024,门店-0024,华东,深圳,便利店,2026-03,299.21,294.87,594.07,0.2953,10
S2024,门店-0024,华东,南京,便利店,2026-04,344.09,545.8,889.89,0.245,7
S2024,门店-0024,华东,成都,便利店,2025-05,290.81,237.07,527.88,0.1992,8
S2024,门店-0024,华东,西安,便利店,2025-06,345.52,436.77,782.29,0.2182,8
S2024,门店-0024,华东,广州,便利店,2025-07,195.4,245.84,441.24,0.2375,11
S2024,门店-0024,华东,成都,便利店,2025-08,271.55,366.33,637.88,0.3061,6
S2024,门店-0024,华东,重庆,便利店,2025-09,131.84,159.87,291.72,0.2851,7
S2024,门店-0024,华东,武汉,便利店,2025-10,163.71,220.54,384.25,0.1925,10
S2024,门店-0024,华东,北京,便利店,2025-11,123.79,167.91,291.7,0.3064,11
S2024,门店-0024,华东,北京,便利店,2025-12,293.39,376.03,669.42,0.2468,10
S2025,门店-0025,华东,西安,标准店,2026-01,95.88,115.31,211.2,0.2119,9
S2025,门店-0025,华东,北京,标准店,2026-02,189.75,257.56,447.31,0.3334,11
S2025,门店-0025,华东,杭州,标准店,2026-03,100.39,97.45,197.83,0.245,5
S2025,门店-0025,华东,西安,标准店,2026-04,186.46,291.93,478.39,0.303,11
S2025,门店-0025,华东,北京,标准店,2025-05,84.77,127.31,212.07,0.2746,5
S2025,门店-0025,华东,成都,标准店,2025-06,290.95,385.26,676.21,0.1933,14
S2025,门店-0025,华东,广州,标准店,2025-07,301.9,415.48,717.38,0.2809,6
S2025,门店-0025,华东,武汉,标准店,2025-08,326.79,262.14,588.93,0.2904,7
S2025,门店-0025,华东,深圳,标准店,2025-09,75.64,77.45,153.09,0.2938,15
S2025,门店-0025,华东,武汉,标准店,2025-10,231.01,300.51,531.52,0.1998,15
S2025,门店-0025,华东,杭州,标准店,2025-11,93.33,125.61,218.95,0.2788,6
