employee_id,bu_id,department,skill_tags,has_ai_skill,cert_count,has_cert,main_cert,hire_date,tenure_years,manager_id,performance_score,salary_band,region,gender,age,is_active,leave_date
E10123,BU-4,运营,Java|Spark|PM|K8s,0,0,0,,2020-04-21,3.76,M195,4.38,P6,西南,男,31,1,
E10124,BU-5,客服,审计,0,0,0,,2020-08-24,1.6,M153,3.49,P3,西南,女,36,1,
E10125,BU-2,客服,运营,0,0,0,,2021-03-04,5.77,M158,3.43,P7,西南,女,36,1,
E10126,BU-5,运营,React,0,0,0,,2022-12-14,1.72,M158,3.7,P7,华中,女,22,1,
E10127,BU-3,市场,财务|Spark|AI/ML,1,0,0,,2021-04-05,0.1,M134,3.2,P3,西南,男,43,1,
E10128,BU-5,客服,K8s|PM|BD,0,0,0,,2020-11-23,6.67,M142,3.88,P4,华北,女,37,1,
E10129,BU-5,HR,财务|运营|PM,0,0,0,,2021-10-17,3.26,M128,4.2,P7,华中,男,46,1,
E10130,BU-6,财务,财务|K8s,0,2,1,Oracle DBA,2022-06-08,10.45,M175,4.07,P6,华北,女,38,1,
E10131,BU-2,运营,Go|Java|AI/ML,1,0,0,,2021-07-17,4.75,M189,3.19,P5,华北,女,39,1,
E10132,BU-5,市场,React|AI/ML|PM|Java,1,0,0,,2020-03-09,4.35,M139,4.16,P7,华北,女,35,1,
E10133,BU-1,市场,运营|Java|React,0,0,0,,2020-09-29,5.71,M187,4.49,P6,西南,男,22,1,
E10134,BU-3,运营,财务|React|审计|AI/ML,1,0,0,,2022-11-22,4.91,M105,4.32,P5,东北,男,34,1,
E10135,BU-5,市场,Python|Spark|PM,0,0,0,,2024-11-19,1.04,M185,3.59,P7,华中,男,35,1,
E10136,BU-1,产品,Spark|审计|Java|AI/ML,1,0,0,,2022-12-17,2.0,M129,3.17,P7,东北,女,23,1,
E10137,BU-5,财务,Python|财务|React|审计,0,1,1,TensorFlow,2023-07-20,20.92,M179,3.86,P6,华东,男,36,1,
E10138,BU-4,市场,Java|Spark|Go|React,0,0,0,,2024-10-18,1.55,M189,4.86,P7,华南,女,36,1,
E10139,BU-1,市场,审计,0,3,1,AWS,2021-04-28,2.8,M189,3.12,P3,华东,女,34,1,
E10140,BU-6,研发,K8s|运营,0,0,0,,2024-04-27,5.34,M155,3.49,P7,华南,女,28,1,
E10141,BU-2,运营,Go|BD|PM|Python,0,0,0,,2023-02-20,0.37,M134,4.47,P5,东北,男,26,1,
E10142,BU-5,财务,BD|审计,0,0,0,,2020-03-17,3.61,M135,2.26,P3,华东,男,29,1,
E10143,BU-4,销售,BD|Python|审计|AI/ML,1,0,0,,2020-02-21,1.32,M119,2.8,P4,华中,男,36,1,
E10144,BU-4,研发,Spark,0,0,0,,2022-11-07,3.32,M139,3.79,P7,西南,女,37,1,
E10145,BU-1,HR,Spark,0,0,0,,2023-01-05,6.92,M184,3.57,P6,西南,男,29,0,
E10146,BU-4,客服,React,0,2,1,K8s-CKA,2021-08-04,4.97,M108,4.03,P6,西南,女,39,1,
E10147,BU-2,产品,审计|Spark|运营|React,0,0,0,,2022-03-20,2.3,M157,3.38,P3,华北,男,40,1,
E10148,BU-6,市场,Python|审计,0,0,0,,2020-01-06,2.26,M145,4.13,P5,华南,男,23,1,
E10149,BU-6,研发,Java|K8s|审计|React,0,0,0,,2021-03-27,1.87,M164,4.24,P5,东北,男,31,0,
E10150,BU-6,市场,运营|BD|K8s|PM,0,0,0,,2020-09-05,19.2,M170,3.38,P7,华东,男,23,1,
E10151,BU-2,运营,运营|Python|K8s|Go,0,0,0,,2023-06-11,0.16,M156,2.45,P6,华东,男,29,1,
E10152,BU-2,财务,PM,0,0,0,,2023-11-09,0.8,M188,3.99,P3,华中,男,25,1,
E10153,BU-3,研发,Go|K8s|审计,0,0,0,,2023-12-30,2.92,M146,3.02,P7,华中,女,22,1,
E10154,BU-3,研发,K8s|React|财务,0,0,0,,2020-01-21,5.06,M137,3.94,P6,华中,男,33,1,
E10155,BU-5,市场,PM|AI/ML|Python|运营,1,0,0,,2020-02-01,1.77,M196,3.63,P7,华东,女,26,1,
E10156,BU-2,研发,BD|财务|K8s|运营,0,0,0,,2024-05-14,0.17,M181,3.27,P6,华中,女,40,1,
E10157,BU-1,HR,财务,0,0,0,,2021-12-19,0.73,M157,3.21,P4,华中,男,29,1,
E10158,BU-3,研发,运营|AI/ML|Java|Go,1,0,0,,2023-01-11,3.13,M121,3.32,P3,华中,女,26,1,
E10159,BU-6,HR,财务|Java|K8s|运营,0,0,0,,2023-10-12,6.27,M121,2.65,P6,华南,男,43,1,
E10160,BU-5,HR,财务|Java,0,2,1,CFA,2021-06-03,3.56,M148,2.4,P6,华北,男,35,1,
E10161,BU-4,产品,Go|AI/ML|BD|Spark,1,0,0,,2024-02-28,0.37,M126,3.46,P5,华南,女,45,1,
E10162,BU-3,市场,BD|运营,0,0,0,,2022-11-14,6.67,M136,3.12,P6,华南,男,42,0,
E10163,BU-4,HR,PM|BD,0,2,1,K8s-CKA,2023-03-24,6.8,M121,4.24,P3,华南,女,22,1,
E10164,BU-5,运营,AI/ML|BD|运营,1,0,0,,2021-10-03,1.27,M112,3.07,P6,华中,男,22,1,
E10165,BU-4,客服,Spark|K8s,0,0,0,,2021-05-01,1.6,M167,3.75,P7,西南,男,27,1,
E10166,BU-1,财务,运营|审计,0,0,0,,2020-12-09,0.68,M105,3.41,P6,华北,男,27,1,
E10167,BU-5,HR,React|Java|财务|Spark,0,0,0,,2020-01-11,7.61,M185,3.04,P4,华北,男,28,1,
E10168,BU-2,市场,Java|Spark,0,3,1,ACP,2023-10-28,0.7,M123,2.47,P5,华南,女,36,1,
E10169,BU-2,运营,PM,0,0,0,,2022-12-16,0.19,M190,3.5,P7,华中,女,30,1,
E10170,BU-2,HR,React|运营,0,3,1,AWS,2024-06-07,3.79,M172,3.55,P7,东北,女,22,1,
E10171,BU-2,财务,审计|Python|Java|运营,0,0,0,,2022-10-08,6.48,M163,3.04,P6,东北,男,34,1,
E10172,BU-3,研发,K8s|审计|React,0,0,0,,2023-01-01,7.87,M198,3.47,P3,东北,男,29,0,
E10173,BU-3,产品,React,0,0,0,,2022-03-24,5.5,M185,3.42,P3,华北,男,28,0,
E10174,BU-3,HR,审计|React,0,0,0,,2021-03-27,6.84,M114,2.84,P4,华东,男,55,1,
E10175,BU-1,客服,审计,0,2,1,Oracle DBA,2023-03-14,0.82,M156,3.03,P6,华南,男,39,1,
E10176,BU-4,产品,财务|K8s,0,0,0,,2023-07-30,1.81,M143,2.8,P3,东北,女,30,1,
E10177,BU-4,销售,Java|BD|PM|React,0,2,1,Oracle DBA,2020-11-17,0.11,M159,3.27,P4,东北,男,27,1,
E10178,BU-2,产品,审计|AI/ML|Spark,1,0,0,,2020-07-13,8.02,M158,3.81,P4,华北,男,30,1,
E10179,BU-5,运营,运营|Java,0,0,0,,2021-06-29,1.33,M159,3.8,P5,西南,女,33,1,
E10180,BU-3,产品,BD|Python|React,0,0,0,,2020-05-05,1.29,M159,3.58,P5,东北,女,27,1,
E10181,BU-2,市场,Go|Java|运营|K8s,0,0,0,,2024-06-05,1.33,M160,3.25,P4,东北,男,22,1,
E10182,BU-6,销售,Go,0,1,1,AWS,2022-10-01,0.11,M146,2.64,P7,华中,女,27,1,
E10183,BU-4,运营,运营|React,0,0,0,,2023-11-15,2.93,M186,3.74,P3,华中,女,42,1,
E10184,BU-5,财务,运营|K8s|React|Java,0,0,0,,2021-11-04,0.57,M165,3.78,P6,华南,女,29,1,
E10185,BU-4,产品,审计,0,0,0,,2022-10-02,3.85,M154,3.2,P6,华中,女,27,1,
E10186,BU-3,财务,AI/ML,1,0,0,,2024-03-20,1.07,M135,3.34,P4,华北,男,35,1,
E10187,BU-2,客服,React,0,0,0,,2024-02-01,6.71,M150,3.45,P4,华中,女,39,1,
E10188,BU-2,销售,BD,0,0,0,,2022-09-18,1.4,M109,4.41,P5,西南,女,34,1,
E10189,BU-1,研发,Python|PM|Go,0,0,0,,2021-11-05,3.1,M150,3.11,P7,西南,男,28,1,
E10190,BU-1,客服,BD,0,0,0,,2023-12-08,18.34,M170,3.85,P3,华南,女,52,1,
E10191,BU-6,客服,BD|审计|Java|AI/ML,1,0,0,,2024-11-16,3.94,M169,3.63,P4,西南,女,22,1,
E10192,BU-1,市场,React|财务|Java|AI/ML,1,0,0,,2020-10-26,0.11,M120,3.39,P4,华东,女,36,1,
E10193,BU-2,客服,Java|审计|Python,0,0,0,,2024-01-09,12.2,M153,4.03,P3,东北,女,26,1,
E10194,BU-3,客服,Go,0,0,0,,2024-10-02,1.22,M161,3.46,P3,华东,男,24,1,
E10195,BU-1,财务,Spark,0,0,0,,2023-07-04,0.21,M181,3.77,P3,东北,女,26,1,
E10196,BU-2,财务,Java|Go|BD|Python,0,0,0,,2024-11-14,6.63,M162,3.42,P7,华中,女,27,1,
E10197,BU-5,产品,K8s|React|BD|PM,0,0,0,,2024-10-30,5.15,M122,3.55,P4,华东,女,38,1,
E10198,BU-3,市场,BD|React,0,0,0,,2020-02-25,0.1,M164,3.49,P3,西南,男,31,1,
E10199,BU-2,客服,AI/ML|React|财务|K8s,1,0,0,,2023-06-29,2.43,M131,3.51,P6,华北,女,38,1,
E10200,BU-5,研发,运营|PM|Spark|K8s,0,0,0,,2022-08-01,4.09,M118,2.11,P5,华东,女,35,1,
E10201,BU-1,产品,财务|Go|Spark,0,0,0,,2020-12-06,0.34,M187,4.27,P4,华中,女,24,1,
E10202,BU-2,财务,AI/ML|React|Go|K8s,1,0,0,,2020-04-22,3.46,M158,3.87,P7,华中,男,23,1,
E10203,BU-2,产品,运营,0,2,1,PMP,2024-02-24,4.6,M120,2.89,P4,东北,男,31,1,
E10204,BU-5,销售,AI/ML,1,0,0,,2023-12-02,3.34,M153,3.88,P3,华中,男,31,1,
E10205,BU-2,HR,财务,0,0,0,,2024-03-01,1.04,M143,2.47,P5,东北,女,30,1,
E10206,BU-4,运营,Java|审计|PM,0,0,0,,2021-12-07,14.28,M111,3.39,P7,华北,女,25,1,
E10207,BU-5,销售,PM|BD|审计|财务,0,0,0,,2021-06-19,0.16,M144,2.67,P3,西南,女,33,1,
E10208,BU-1,财务,财务|AI/ML|Java,1,0,0,,2023-11-06,1.05,M163,3.3,P5,华北,男,36,1,
E10209,BU-2,市场,Go,0,0,0,,2021-11-16,5.36,M193,3.33,P6,西南,女,25,1,
E10210,BU-3,研发,Spark|审计,0,0,0,,2021-08-07,0.24,M107,3.26,P4,华北,女,35,1,
E10211,BU-1,产品,Java|Spark|BD|审计,0,0,0,,2020-06-14,22.04,M174,2.59,P7,华东,男,33,1,
E10212,BU-3,销售,AI/ML,1,0,0,,2022-06-30,7.01,M113,3.36,P5,东北,男,34,1,
E10213,BU-2,财务,React|Go|运营|K8s,0,3,1,ACP,2024-02-26,15.06,M190,3.8,P4,华东,男,40,1,
E10214,BU-1,市场,BD,0,0,0,,2024-10-09,3.7,M123,3.52,P4,华北,男,22,1,
E10215,BU-2,财务,React|审计|Java|Spark,0,0,0,,2024-04-02,10.86,M154,3.92,P4,东北,男,35,0,
E10216,BU-5,销售,审计|React|Spark,0,0,0,,2021-05-18,5.93,M155,3.55,P5,西南,女,31,1,
E10217,BU-2,市场,React|BD|PM|审计,0,1,1,ACP,2021-11-10,2.91,M111,2.61,P7,东北,男,33,1,
E10218,BU-1,财务,财务|AI/ML|Spark,1,0,0,,2020-04-15,2.07,M179,2.63,P3,华北,男,35,1,
E10219,BU-4,运营,Go|PM|BD,0,2,1,CFA,2023-05-08,3.15,M169,3.06,P5,华中,男,35,1,
E10220,BU-2,产品,审计|BD|财务,0,0,0,,2020-02-05,0.19,M155,2.63,P6,华东,男,31,1,
E10221,BU-3,市场,Go,0,0,0,,2021-03-17,0.58,M111,3.98,P7,华中,女,49,1,
E10222,BU-3,产品,财务|Java|审计|Spark,0,0,0,,2022-09-27,3.59,M120,4.78,P5,西南,男,35,1,
E10223,BU-4,销售,K8s|AI/ML|财务|Go,1,0,0,,2024-11-21,2.01,M107,3.51,P4,西南,女,43,1,
E10224,BU-3,客服,React|Python,0,0,0,,2024-07-19,1.2,M198,3.89,P6,华南,男,40,0,
E10225,BU-6,研发,Python|React,0,0,0,,2023-10-01,1.09,M102,3.37,P4,华中,女,37,1,
E10226,BU-4,销售,运营|K8s,0,1,1,K8s-CKA,2023-02-05,0.66,M165,3.42,P6,东北,女,25,1,
E10227,BU-3,运营,Python|Go|审计,0,0,0,,2020-02-18,0.78,M185,3.76,P6,华南,男,32,1,
E10228,BU-3,研发,React|AI/ML|财务|PM,1,0,0,,2023-06-18,1.65,M139,4.68,P5,东北,男,32,1,
E10229,BU-1,财务,财务|Java|Go|审计,0,0,0,,2020-05-14,1.31,M177,4.33,P6,华东,女,34,1,
E10230,BU-2,销售,AI/ML,1,0,0,,2020-09-23,2.13,M185,3.52,P5,华北,男,32,1,
E10231,BU-6,运营,运营|Go,0,0,0,,2022-06-24,4.08,M102,2.97,P3,西南,女,22,1,
E10232,BU-2,产品,AI/ML|Java|财务|Go,1,0,0,,2020-02-08,5.65,M161,3.04,P3,西南,男,34,1,
E10233,BU-6,研发,React|Spark|Python,0,0,0,,2022-02-19,5.96,M194,2.87,P5,华东,女,32,1,
