voyage_id,ship_id,ship_type,departure_port,arrival_port,departure_time,arrival_time,distance_nm,duration_hours,fuel_consumption_ton,cargo_weight_ton,weather_grade
V50028,SH114,渔船,宁波,大连,2024-01-07 08:00,2024-01-09 06:09,504.9,46.16,71.21,651.3,A
V50029,SH145,集装箱船,深圳,天津,2024-04-06 17:00,2024-04-13 02:18,2130.4,153.3,150.44,966.5,D
V50030,SH217,集装箱船,大连,青岛,2024-12-31 05:00,2025-01-01 00:35,267.4,19.59,29.56,8178.2,B
V50031,SH249,集装箱船,青岛,深圳,2025-06-24 08:00,2025-06-27 05:36,1233.9,69.6,181.52,2392.0,D
V50032,SH249,客船,上海,广州,2025-06-06 13:00,2025-06-08 13:41,711.5,48.68,76.33,92.0,A
V50033,SH224,散货船,广州,广州,2025-02-23 19:00,2025-02-24 17:59,382.4,23.0,29.88,1625.9,C
V50034,SH166,油轮,深圳,宁波,2025-05-23 02:00,2025-05-27 22:27,1133.2,116.46,134.61,8.0,A
V50035,SH147,集装箱船,宁波,大连,2024-04-21 01:00,2024-04-23 08:12,543.5,55.21,45.05,1439.4,B
V50036,SH229,散货船,厦门,青岛,2024-04-03 05:00,2024-04-13 15:02,3354.6,250.04,379.56,1982.2,D
V50037,SH163,散货船,宁波,广州,2024-11-05 22:00,2024-11-15 23:29,2989.7,241.49,393.55,1300.6,B
V50038,SH190,渔船,广州,天津,2025-08-30 00:00,2025-08-30 23:18,349.5,23.32,19.95,319.1,C
V50039,SH232,客船,广州,青岛,2025-03-12 22:00,2025-03-20 07:56,1736.6,177.94,175.62,2845.5,B
V50040,SH103,散货船,大连,宁波,2024-02-19 17:00,2024-02-22 05:51,832.9,60.85,116.72,1408.0,D
V50041,SH160,集装箱船,广州,宁波,2025-05-01 04:00,2025-05-06 23:13,1863.8,139.22,206.85,6557.0,C
V50042,SH182,渔船,天津,上海,2025-09-17 03:00,2025-09-19 10:28,933.0,55.48,118.08,10.5,A
V50043,SH136,客船,天津,大连,2024-11-09 02:00,2024-11-13 00:46,1626.0,94.78,195.95,291.1,A
V50044,SH131,散货船,厦门,宁波,2025-06-15 20:00,2025-06-17 11:53,563.5,39.9,48.72,3687.8,D
V50045,SH117,客船,天津,青岛,2025-07-06 17:00,2025-07-06 21:18,42.4,4.31,4.31,589.7,B
V50046,SH188,客船,深圳,上海,2024-08-02 07:00,2024-08-06 12:29,973.7,101.48,130.59,933.3,C
V50047,SH126,集装箱船,青岛,上海,2025-07-24 09:00,2025-07-25 08:56,229.9,23.94,20.77,2167.7,C
V50048,SH131,渔船,青岛,青岛,2024-05-20 20:00,2024-05-22 21:34,476.3,49.57,59.9,526.8,D
V50049,SH106,渔船,大连,宁波,2025-06-14 20:00,2025-06-15 18:08,376.4,22.15,19.53,871.2,D
V50050,SH207,集装箱船,宁波,天津,2025-03-28 06:00,2025-04-07 05:30,2092.9,239.51,287.75,1834.6,A
V50051,SH247,渔船,大连,厦门,2025-03-04 02:00,2025-03-06 18:44,645.1,64.74,59.16,582.0,B
V50052,SH170,散货船,青岛,广州,2025-05-09 15:00,2025-05-09 21:29,59.2,6.48,7.35,98.7,B
V50053,SH120,渔船,宁波,宁波,2025-01-31 15:00,2025-01-31 20:16,50.6,5.27,6.11,610.4,A
V50054,SH152,渔船,宁波,上海,2025-07-23 20:00,2025-07-31 01:14,2960.7,173.24,405.35,2292.6,C
V50055,SH131,集装箱船,厦门,宁波,2024-05-03 06:00,2024-05-03 10:42,38.9,4.7,4.06,3871.7,A
V50056,SH103,客船,宁波,广州,2025-08-31 10:00,2025-09-09 01:32,3173.5,207.54,347.62,693.8,A
V50057,SH160,客船,广州,大连,2024-07-05 01:00,2024-07-13 21:02,3278.5,212.03,233.97,1070.3,B
V50058,SH185,客船,上海,宁波,2024-01-26 04:00,2024-01-30 23:26,984.6,115.43,51.82,367.3,A
V50059,SH144,渔船,深圳,大连,2024-08-23 12:00,2024-08-23 15:16,27.7,3.27,3.03,2855.8,C
V50060,SH221,散货船,广州,青岛,2024-03-26 03:00,2024-04-10 01:21,3952.1,358.37,327.77,1482.2,A
V50061,SH112,渔船,青岛,宁波,2024-04-11 14:00,2024-04-12 14:07,232.9,24.12,27.67,5790.3,D
V50062,SH243,油轮,深圳,深圳,2024-12-16 01:00,2024-12-18 00:45,813.1,47.76,49.59,112.2,B
V50063,SH228,集装箱船,广州,大连,2025-11-07 11:00,2025-11-11 13:34,970.7,98.58,64.07,15399.7,B
V50064,SH183,油轮,深圳,厦门,2024-11-10 21:00,2024-11-17 14:53,2423.4,161.89,331.91,670.0,D
V50065,SH192,集装箱船,大连,宁波,2024-01-23 12:00,2024-01-27 16:31,1013.5,100.53,93.91,1032.3,A
V50066,SH217,集装箱船,大连,深圳,2025-09-21 14:00,2025-09-29 06:52,2701.8,184.87,317.8,4366.5,B
V50067,SH157,客船,上海,宁波,2025-03-21 04:00,2025-03-21 10:57,88.8,6.96,13.26,422.6,B
V50068,SH175,散货船,厦门,深圳,2024-02-14 13:00,2024-02-14 17:22,52.9,4.38,4.03,848.8,D
V50069,SH145,客船,广州,深圳,2024-09-25 03:00,2024-10-09 23:01,5435.7,356.03,742.72,13.1,D
V50070,SH192,客船,青岛,天津,2025-10-16 02:00,2025-10-19 06:39,895.7,76.65,91.59,2459.7,C
V50071,SH241,渔船,上海,上海,2024-01-10 20:00,2024-01-11 03:22,121.0,7.38,8.7,5261.7,B
V50072,SH167,散货船,大连,青岛,2025-02-09 16:00,2025-02-21 02:40,3931.0,274.67,460.12,206.1,B
V50073,SH223,散货船,青岛,大连,2025-01-25 03:00,2025-01-25 04:14,20.3,1.24,2.32,2655.9,A
V50074,SH143,油轮,厦门,天津,2024-09-06 00:00,2024-09-11 22:54,1363.5,142.9,199.56,2297.9,A
V50075,SH171,渔船,青岛,深圳,2025-11-29 07:00,2025-11-30 11:00,478.0,28.01,50.02,2646.8,A
V50076,SH119,集装箱船,天津,深圳,2025-07-12 13:00,2025-07-17 10:19,1671.6,117.32,200.67,697.7,A
V50077,SH103,客船,厦门,青岛,2024-11-19 02:00,2024-11-22 16:01,1478.9,86.02,126.62,1039.2,B
V50078,SH247,渔船,上海,广州,2025-01-11 21:00,2025-01-13 06:47,463.4,33.79,59.32,2932.3,B
V50079,SH136,渔船,上海,大连,2024-11-10 07:00,2024-11-11 06:48,385.0,23.8,33.41,455.1,D
V50080,SH171,油轮,深圳,上海,2024-08-04 06:00,2024-08-07 13:15,1335.4,79.25,184.02,1.3,A
V50081,SH239,散货船,天津,上海,2025-02-25 06:00,2025-02-26 17:43,431.0,35.72,23.88,920.3,B
V50082,SH247,散货船,大连,青岛,2024-09-11 00:00,2024-09-11 19:12,318.8,19.2,44.54,506.7,B
V50083,SH163,油轮,宁波,宁波,2024-09-23 00:00,2024-09-26 18:29,849.6,90.49,91.17,3691.2,D
V50084,SH228,油轮,大连,宁波,2024-12-02 06:00,2024-12-03 17:29,463.8,35.48,26.14,1595.9,A
V50085,SH184,集装箱船,宁波,青岛,2024-10-05 08:00,2024-10-09 09:35,1095.2,97.6,150.33,510.2,B
V50086,SH132,渔船,广州,厦门,2024-03-11 09:00,2024-03-13 04:01,455.8,43.03,40.81,458.9,C
V50087,SH218,渔船,厦门,宁波,2025-10-30 18:00,2025-11-06 08:17,2521.1,158.29,336.03,608.9,A
V50088,SH171,油轮,厦门,大连,2024-09-14 02:00,2024-09-14 09:17,99.9,7.29,10.4,381.0,B
V50089,SH167,油轮,上海,天津,2024-05-08 07:00,2024-05-22 14:04,6018.3,343.08,441.01,419.5,C
V50090,SH117,集装箱船,厦门,青岛,2025-08-26 14:00,2025-08-27 10:15,361.7,20.26,30.49,3480.5,B
V50091,SH127,渔船,深圳,上海,2024-05-11 12:00,2024-05-14 04:11,854.5,64.19,51.8,1163.2,B
V50092,SH156,渔船,深圳,天津,2024-12-03 18:00,2024-12-05 06:49,605.7,36.83,57.93,840.9,A
V50093,SH125,油轮,宁波,大连,2025-07-25 05:00,2025-08-08 20:09,3079.8,351.16,282.01,8.9,A
V50094,SH156,集装箱船,天津,厦门,2024-09-19 09:00,2024-09-23 04:03,1284.5,91.05,158.33,318.9,D
V50095,SH211,客船,上海,深圳,2025-11-02 17:00,2025-11-03 21:25,409.7,28.43,44.41,2622.8,B
V50096,SH194,散货船,上海,宁波,2025-09-24 02:00,2025-09-28 12:10,890.6,106.18,94.6,4811.3,C
V50097,SH209,客船,上海,宁波,2024-11-27 09:00,2024-12-08 09:36,3732.8,264.61,495.12,254.8,A
V50098,SH186,散货船,厦门,青岛,2025-08-11 12:00,2025-08-16 08:32,1786.7,116.55,180.31,2414.4,C
V50099,SH164,客船,天津,厦门,2024-11-27 15:00,2024-12-07 04:03,4003.6,229.06,472.54,630.5,C
V50100,SH183,渔船,厦门,青岛,2025-01-05 19:00,2025-01-07 03:24,325.1,32.41,38.15,443.4,B
V50101,SH234,散货船,厦门,上海,2025-09-23 16:00,2025-09-27 10:18,786.1,90.3,56.73,6136.3,D
V50102,SH104,集装箱船,大连,广州,2025-04-01 11:00,2025-04-04 13:14,602.7,74.25,64.29,29.4,B
V50103,SH148,渔船,天津,深圳,2024-08-24 14:00,2024-08-26 00:57,447.3,34.96,40.05,1371.1,A
V50104,SH133,集装箱船,天津,上海,2024-04-14 21:00,2024-04-17 06:20,844.8,57.35,50.93,5542.6,D
V50105,SH226,渔船,天津,上海,2025-02-20 19:00,2025-03-15 08:58,6700.1,541.97,419.14,3687.3,A
V50106,SH145,渔船,天津,天津,2024-07-14 02:00,2024-07-14 12:50,170.8,10.84,9.28,5646.9,C
V50107,SH152,客船,广州,上海,2025-04-25 06:00,2025-04-26 12:30,394.2,30.51,53.91,2818.3,C
V50108,SH148,油轮,青岛,大连,2025-01-28 07:00,2025-01-31 14:38,829.2,79.64,80.81,1838.1,B
V50109,SH226,散货船,深圳,上海,2024-06-25 04:00,2024-06-30 06:28,1491.6,122.47,200.37,1329.8,B
V50110,SH213,散货船,青岛,厦门,2025-11-29 21:00,2025-12-06 23:23,1789.8,170.39,123.41,3102.6,A
V50111,SH244,渔船,宁波,青岛,2025-05-05 22:00,2025-05-08 14:46,781.9,64.78,112.89,384.4,C
V50112,SH116,油轮,上海,青岛,2024-09-27 00:00,2024-09-29 12:21,1057.6,60.35,156.2,3633.7,C
V50113,SH121,集装箱船,广州,广州,2025-05-25 08:00,2025-05-28 10:52,1342.5,74.88,124.64,4160.4,D
V50114,SH168,渔船,深圳,深圳,2025-06-13 08:00,2025-06-13 23:28,197.8,15.48,19.3,2350.8,C
V50115,SH127,渔船,广州,宁波,2025-03-13 18:00,2025-03-15 14:35,779.9,44.58,116.88,1615.6,B
V50116,SH185,集装箱船,上海,广州,2024-02-05 21:00,2024-02-16 07:48,2616.3,250.81,150.28,5220.1,C
V50117,SH238,油轮,广州,深圳,2025-02-17 04:00,2025-02-18 17:56,663.8,37.95,36.35,555.9,D
V50118,SH220,散货船,天津,广州,2025-08-30 01:00,2025-09-02 19:01,1267.1,90.02,90.72,119.1,C
V50119,SH210,油轮,青岛,天津,2025-07-25 04:00,2025-07-26 11:42,330.5,31.71,32.23,227.0,D
V50120,SH106,客船,深圳,上海,2025-08-13 17:00,2025-08-14 18:16,282.8,25.27,34.13,1222.3,A
V50121,SH195,渔船,深圳,宁波,2024-03-15 08:00,2024-03-16 05:20,171.9,21.34,12.87,2907.3,B
V50122,SH234,集装箱船,深圳,上海,2025-06-29 05:00,2025-06-29 19:30,148.3,14.51,8.23,76.1,A
V50123,SH123,渔船,厦门,上海,2024-12-26 20:00,2024-12-27 10:10,128.8,14.18,16.07,696.8,C
V50124,SH175,散货船,天津,厦门,2024-06-02 20:00,2024-06-06 00:00,717.3,76.01,102.87,160.9,C
V50125,SH244,油轮,大连,宁波,2024-08-15 13:00,2024-08-18 10:05,939.1,69.1,48.86,873.7,A
V50126,SH202,集装箱船,天津,深圳,2024-06-25 08:00,2024-06-28 19:56,1463.1,83.94,185.67,2357.6,D
V50127,SH193,渔船,天津,宁波,2024-06-16 00:00,2024-06-16 15:14,247.1,15.24,17.83,293.6,B
V50128,SH192,集装箱船,宁波,厦门,2025-03-16 05:00,2025-03-19 10:20,759.9,77.34,80.76,2002.2,D
V50129,SH139,客船,天津,上海,2024-04-28 22:00,2024-05-05 16:28,2567.2,162.47,326.2,768.2,D
V50130,SH178,集装箱船,青岛,天津,2025-04-23 21:00,2025-04-23 22:52,27.8,1.88,3.13,952.5,B
V50131,SH186,客船,厦门,广州,2024-02-16 06:00,2024-02-16 14:25,111.4,8.42,9.95,1083.2,D
V50132,SH174,散货船,宁波,上海,2024-09-16 21:00,2024-09-18 03:35,458.1,30.59,45.97,5942.2,A
V50133,SH224,集装箱船,厦门,广州,2024-04-28 18:00,2024-04-29 02:59,135.9,8.99,19.85,9281.3,D
V50134,SH100,集装箱船,厦门,厦门,2024-01-05 08:00,2024-01-13 18:19,2549.1,202.33,135.55,1217.6,B
V50135,SH231,客船,大连,天津,2025-01-25 04:00,2025-01-31 18:30,1622.4,158.51,111.45,639.4,B
V50136,SH104,渔船,大连,上海,2024-07-05 05:00,2024-07-11 12:33,2516.6,151.56,373.32,2877.5,A
V50137,SH144,渔船,上海,宁波,2025-04-26 22:00,2025-04-29 10:01,1050.5,60.02,104.05,63.2,C
V50138,SH221,渔船,厦门,厦门,2025-06-15 15:00,2025-06-17 01:10,418.6,34.18,24.04,233.9,A
V50139,SH136,客船,上海,大连,2025-10-30 18:00,2025-11-05 15:28,1687.3,141.47,161.83,202.0,C
V50140,SH110,集装箱船,厦门,厦门,2024-04-01 04:00,2024-04-07 16:00,1461.3,156.0,170.34,2303.8,A
V50141,SH221,渔船,上海,上海,2024-01-09 08:00,2024-01-10 13:26,472.9,29.44,59.83,10516.2,A
V50142,SH238,散货船,广州,广州,2025-04-13 16:00,2025-04-18 10:13,1906.9,114.22,207.15,1150.8,C
V50143,SH201,散货船,厦门,宁波,2025-08-11 17:00,2025-08-16 03:27,1095.8,106.46,133.05,0.2,B
V50144,SH181,散货船,上海,青岛,2024-01-22 00:00,2024-01-24 18:11,1036.6,66.2,63.17,2798.6,C
V50145,SH115,油轮,广州,宁波,2024-05-12 07:00,2024-05-15 05:57,1013.9,70.95,94.31,1249.4,D
V50146,SH215,集装箱船,大连,深圳,2025-06-07 09:00,2025-06-09 10:17,811.2,49.3,93.33,4467.5,A
V50147,SH232,散货船,厦门,广州,2024-10-20 20:00,2024-10-22 09:28,321.6,37.47,40.39,248.7,A
V50148,SH102,散货船,广州,广州,2025-01-31 00:00,2025-02-03 04:42,1207.3,76.71,114.01,1235.1,B
V50149,SH241,渔船,上海,深圳,2025-08-21 16:00,2025-08-22 03:33,184.3,11.56,11.91,595.1,B
V50150,SH230,散货船,上海,青岛,2025-06-13 11:00,2025-06-14 12:08,219.1,25.15,20.29,3394.3,A
V50151,SH141,渔船,青岛,天津,2024-02-20 11:00,2024-02-25 09:02,1595.1,118.04,111.86,285.4,D
V50152,SH243,集装箱船,深圳,天津,2025-09-14 16:00,2025-09-20 14:57,1584.6,142.96,155.31,3052.1,C
V50153,SH169,渔船,天津,天津,2024-10-31 10:00,2024-11-03 21:19,719.2,83.32,83.52,5606.1,A
V50154,SH222,客船,上海,上海,2024-02-15 03:00,2024-02-16 01:55,302.7,22.92,16.79,4049.9,D
V50155,SH243,油轮,天津,大连,2025-06-01 02:00,2025-06-02 10:11,397.2,32.18,23.37,5784.4,B
V50156,SH232,集装箱船,广州,上海,2024-12-19 21:00,2024-12-23 01:27,995.4,76.46,80.4,2705.9,B
V50157,SH145,油轮,深圳,深圳,2025-11-07 08:00,2025-11-08 15:19,445.3,31.32,37.4,973.2,A
V50158,SH117,客船,厦门,青岛,2024-04-04 12:00,2024-04-12 06:55,1569.5,186.92,106.26,2872.9,C
V50159,SH149,集装箱船,大连,大连,2024-12-08 06:00,2024-12-09 07:14,273.7,25.24,16.7,536.1,D
V50160,SH177,油轮,厦门,厦门,2024-09-24 01:00,2024-09-29 09:59,1102.4,128.99,136.72,1740.6,D
V50161,SH192,油轮,深圳,厦门,2024-03-31 17:00,2024-04-04 03:06,1225.6,82.1,61.38,834.6,C
V50162,SH184,客船,深圳,宁波,2025-01-20 23:00,2025-01-22 13:29,653.7,38.49,37.89,667.9,D
V50163,SH165,渔船,广州,深圳,2025-06-14 11:00,2025-06-15 13:43,226.8,26.72,30.35,7788.7,A
V50164,SH125,油轮,广州,广州,2024-09-29 13:00,2024-09-29 20:25,93.6,7.43,7.88,1034.6,B
V50165,SH108,渔船,厦门,上海,2024-02-20 01:00,2024-02-23 05:02,686.5,76.04,60.88,643.4,B
V50166,SH137,油轮,宁波,大连,2025-10-07 04:00,2025-10-10 23:35,970.7,91.59,79.54,187.0,B
V50167,SH229,渔船,厦门,深圳,2025-07-08 13:00,2025-07-11 08:20,623.5,67.35,45.22,3960.5,A
V50168,SH203,渔船,深圳,大连,2025-02-22 01:00,2025-02-23 08:37,334.9,31.62,42.11,1790.6,D
V50169,SH138,客船,大连,天津,2025-10-01 09:00,2025-10-06 22:06,2181.2,133.1,304.21,864.0,C
V50170,SH237,集装箱船,天津,天津,2024-02-06 18:00,2024-02-08 22:10,782.6,52.18,91.66,1357.0,B
V50171,SH244,散货船,厦门,深圳,2024-11-12 08:00,2024-11-22 06:27,2520.7,238.46,205.15,9172.9,D
V50172,SH120,客船,宁波,广州,2024-03-12 21:00,2024-03-14 17:06,414.2,44.11,48.44,5733.0,B
V50173,SH103,渔船,天津,青岛,2025-07-29 01:00,2025-08-04 05:22,2448.4,148.37,196.82,1933.2,D
V50174,SH126,油轮,天津,天津,2024-07-31 21:00,2024-08-03 14:57,632.9,65.95,44.32,709.2,A
V50175,SH226,集装箱船,深圳,宁波,2025-01-16 01:00,2025-01-27 12:29,4538.5,275.5,465.19,301.9,C
V50176,SH186,油轮,深圳,大连,2025-11-04 13:00,2025-11-04 21:41,141.6,8.69,10.33,2580.3,D
V50177,SH210,渔船,宁波,厦门,2025-09-17 09:00,2025-09-18 12:18,372.2,27.32,50.63,699.8,C
V50178,SH128,渔船,宁波,大连,2025-06-12 04:00,2025-06-14 12:17,857.8,56.3,93.61,3188.4,C
V50179,SH245,油轮,宁波,天津,2024-04-28 10:00,2024-05-01 07:08,758.7,69.14,58.17,2517.9,B
V50180,SH243,客船,宁波,上海,2025-07-20 05:00,2025-07-20 13:47,78.8,8.78,5.62,1854.3,D
V50181,SH233,油轮,深圳,青岛,2024-02-09 20:00,2024-02-13 20:42,871.6,96.7,104.62,1972.3,D
V50182,SH141,散货船,广州,广州,2025-05-15 05:00,2025-05-15 22:33,227.6,17.56,30.01,3510.0,C
V50183,SH164,客船,深圳,天津,2024-09-24 06:00,2024-09-25 01:33,333.2,19.56,28.35,240.4,B
V50184,SH100,散货船,深圳,广州,2024-07-28 04:00,2024-07-28 06:19,32.0,2.32,1.88,149.9,C
V50185,SH213,油轮,宁波,宁波,2024-10-24 18:00,2024-10-25 11:00,184.4,17.01,10.06,1094.0,A
V50186,SH126,集装箱船,天津,深圳,2025-07-02 00:00,2025-07-05 01:31,867.1,73.52,47.3,797.9,B
V50187,SH174,集装箱船,大连,广州,2024-05-03 00:00,2024-05-05 21:44,1114.8,69.75,65.65,2397.9,C
V50188,SH140,客船,青岛,厦门,2024-04-17 06:00,2024-04-17 19:01,231.5,13.02,19.78,109.9,B
V50189,SH222,客船,天津,宁波,2025-07-10 05:00,2025-07-15 04:18,1878.1,119.31,275.77,1025.3,A
V50190,SH122,散货船,厦门,上海,2024-09-23 07:00,2024-10-02 08:13,2144.0,217.23,162.65,919.8,C
V50191,SH123,散货船,上海,厦门,2024-11-04 10:00,2024-11-05 03:50,196.2,17.84,15.48,1840.9,A
V50192,SH159,散货船,上海,天津,2024-04-29 06:00,2024-04-29 08:13,20.6,2.23,2.22,3603.9,A
V50193,SH108,散货船,宁波,上海,2024-02-26 04:00,2024-03-03 08:00,1685.6,148.01,191.42,2864.1,D
V50194,SH227,渔船,上海,广州,2024-06-21 11:00,2024-07-03 10:35,4566.8,287.59,492.64,1220.0,B
V50195,SH187,渔船,深圳,上海,2025-01-08 19:00,2025-01-09 18:17,304.5,23.3,22.95,508.8,C
V50196,SH134,客船,大连,厦门,2024-01-09 15:00,2024-01-11 23:15,659.2,56.26,92.85,4238.9,A
V50197,SH158,散货船,深圳,深圳,2025-11-29 12:00,2025-12-02 09:54,1203.1,69.9,125.66,7768.5,D
V50198,SH214,渔船,厦门,大连,2025-10-26 12:00,2025-10-30 16:23,1350.2,100.39,78.3,782.8,C
V50199,SH124,客船,深圳,厦门,2024-10-16 12:00,2024-10-19 22:02,799.7,82.04,49.13,1250.0,D
V50200,SH242,散货船,大连,青岛,2024-11-17 13:00,2024-11-21 17:49,1732.2,100.82,111.67,470.1,C
V50201,SH152,集装箱船,宁波,大连,2024-11-26 14:00,2024-12-05 18:17,2238.7,220.3,257.62,1274.4,D
V50202,SH186,油轮,厦门,上海,2024-10-08 21:00,2024-10-10 14:38,336.6,41.63,38.43,230.1,C
V50203,SH182,客船,宁波,青岛,2024-07-02 01:00,2024-07-04 15:08,621.2,62.14,42.4,1427.0,D
V50204,SH139,油轮,上海,大连,2024-08-31 05:00,2024-09-01 03:47,262.8,22.79,16.03,3958.6,C
V50205,SH109,渔船,宁波,青岛,2024-06-08 13:00,2024-06-08 17:02,56.9,4.05,8.4,70.6,B
V50206,SH168,集装箱船,大连,厦门,2025-08-11 05:00,2025-08-16 02:43,1243.2,117.72,103.53,1079.0,D
V50207,SH162,油轮,青岛,上海,2024-11-18 17:00,2024-11-22 12:25,1571.1,91.43,190.15,590.7,A
V50208,SH150,集装箱船,大连,青岛,2025-09-21 20:00,2025-09-24 11:35,978.1,63.6,107.69,2291.8,A
V50209,SH191,渔船,青岛,大连,2025-01-31 14:00,2025-01-31 17:38,47.9,3.65,5.12,1240.6,A
V50210,SH183,渔船,青岛,天津,2024-01-30 15:00,2024-02-02 15:10,803.5,72.17,107.16,299.5,D
V50211,SH230,渔船,青岛,天津,2025-11-12 21:00,2025-11-12 23:08,28.7,2.15,2.05,1083.2,A
V50212,SH136,渔船,广州,上海,2025-10-30 18:00,2025-11-12 22:24,5673.7,316.41,391.53,367.1,A
V50213,SH135,渔船,厦门,上海,2025-01-12 06:00,2025-01-15 04:51,889.9,70.87,133.28,1500.5,A
V50214,SH184,客船,广州,青岛,2024-11-12 21:00,2024-11-16 00:23,1235.4,75.4,97.21,144.1,B
V50215,SH221,集装箱船,深圳,宁波,2024-11-18 07:00,2024-11-20 16:01,843.8,57.03,62.61,834.3,D
V50216,SH170,客船,天津,广州,2024-04-26 06:00,2024-04-26 10:27,37.2,4.46,2.11,1837.2,A
V50217,SH153,散货船,深圳,厦门,2024-06-16 03:00,2024-06-16 19:41,197.0,16.68,11.38,273.8,C
V50218,SH179,渔船,青岛,广州,2025-04-28 02:00,2025-05-04 13:28,1981.0,155.47,250.33,3543.1,C
V50219,SH199,渔船,广州,广州,2024-03-28 19:00,2024-03-29 21:06,340.0,26.11,44.66,994.5,A
V50220,SH103,散货船,大连,上海,2025-11-14 16:00,2025-11-15 12:07,246.9,20.13,36.82,2782.3,D
V50221,SH141,集装箱船,广州,青岛,2025-11-01 11:00,2025-11-05 16:41,1309.7,101.69,86.35,1478.9,B
V50222,SH136,散货船,深圳,宁波,2024-05-01 14:00,2024-05-10 00:11,3350.7,202.19,374.58,999.7,B
V50223,SH173,散货船,青岛,厦门,2024-07-26 04:00,2024-07-27 06:42,216.6,26.7,14.25,664.0,D
V50224,SH121,散货船,上海,青岛,2025-06-13 12:00,2025-06-13 18:23,115.0,6.39,6.4,331.0,B
V50225,SH142,渔船,深圳,深圳,2025-05-11 08:00,2025-05-18 12:09,1544.5,172.17,151.28,5260.3,B
V50226,SH155,渔船,天津,深圳,2025-06-09 06:00,2025-06-17 18:33,3354.9,204.56,260.63,3214.3,D
V50227,SH185,客船,深圳,大连,2024-11-25 11:00,2024-11-25 13:25,25.2,2.42,1.4,539.9,C
V50228,SH191,散货船,上海,上海,2025-03-14 12:00,2025-03-15 08:36,205.9,20.61,22.85,1455.7,C
